recommender,alpha,MAP
RP3beta-P3alpha,0.30435459397868003,0.018347097238816914
RP3beta-P3alpha,0.5418354281953822,0.01875665233568145
RP3beta-P3alpha,0.8111277607491656,0.018870223013025354
RP3beta-P3alpha,0.09036720726916614,0.01762607749803803
RP3beta-P3alpha,0.7009034104159992,0.01883881197074794
RP3beta-P3alpha,0.05339462928849903,0.01743207985184819
RP3beta-P3alpha,0.5158895520762147,0.018731025786040658
RP3beta-P3alpha,0.888738887403124,0.018850350804075502
RP3beta-P3alpha,0.04593222688521048,0.017400885247122248
RP3beta-P3alpha,0.4602864514953702,0.01865244584596085
RP3beta-P3alpha,0.9158380894796999,0.018837599004493052
RP3beta-P3alpha,0.9988800928414103,0.0187791689417712
RP3beta-P3alpha,0.7993869214813958,0.018868012784080315
RP3beta-P3alpha,0.7559643826254263,0.018865873327908986
RP3beta-P3alpha,0.7279354365728341,0.018853714712403515
RP3beta-P3alpha,0.8172538554328521,0.01886387053113661
RP3beta-P3alpha,0.6204496053870956,0.018807758846373483
RP3beta-P3alpha,0.3099648021798005,0.01836087926638273
RP3beta-P3alpha,0.9875687533004981,0.018789104697211966
RP3beta-P3alpha,0.6390694447344903,0.018825229692389003
RP3beta-P3alpha,0.8343436630518475,0.018866984709398443
RP3beta-P3alpha,0.8356370408337157,0.018871145557478212
RP3beta-P3alpha,0.8085747879817485,0.018872171189782783
RP3beta-P3alpha,0.8978687769494419,0.018847228937055507
RP3beta-P3alpha,0.6581209673151145,0.018827516572316686
RP3beta-P3alpha,0.5940942528978035,0.018786764554444058
RP3beta-P3alpha,0.41903119942920675,0.018597784169095685
RP3beta-P3alpha,0.7732787552102718,0.018849660414139456
RP3beta-P3alpha,0.8793964629422022,0.018855419781474227
RP3beta-P3alpha,0.3956405392194071,0.018566471052704044
RP3beta-P3alpha,0.18339896677340983,0.018011625404750122
RP3beta-P3alpha,0.794651506375694,0.018861411562760184
RP3beta-P3alpha,0.6954986417568924,0.01883992493814472
RP3beta-P3alpha,0.9573715255790952,0.01880688808864844
RP3beta-P3alpha,0.8372999513068992,0.018869408678283375
RP3beta-P3alpha,0.5691445800885058,0.018773503223022885
RP3beta-P3alpha,0.8540600199813976,0.0188567291985097
RP3beta-P3alpha,0.7053635083094518,0.018837850097171104
RP3beta-P3alpha,0.9356366264635672,0.0188252160306582
RP3beta-P3alpha,0.8509566666774602,0.018864636682950808
RP3beta-P3alpha,0.7425182229262705,0.01885876799868652
RP3beta-P3alpha,0.7915033601646528,0.018862619008397124
RP3beta-P3alpha,0.6627752311541756,0.0188327227574507
RP3beta-P3alpha,0.8192782315527194,0.018865676892757883
RP3beta-P3alpha,0.899605344033807,0.01884587863427202
RP3beta-P3alpha,0.9490633797627873,0.018811152574151824
RP3beta-P3alpha,0.7551172859349359,0.01886451093738616
RP3beta-P3alpha,0.5067348222266308,0.018717183374493594
RP3beta-P3alpha,0.8489126750378726,0.018868575028433286
RP3beta-P3alpha,0.8565075081462208,0.018854107126852093
RP3beta-P3alpha,0.6903218941256694,0.01883352003672549
RP3beta-P3alpha,0.7965615573470656,0.018865357757222267
RP3beta-P3alpha,0.9204506772663171,0.018831688441789823
RP3beta-P3alpha,0.7309369381431253,0.018854692404730537
RP3beta-P3alpha,0.873099638190183,0.01885491437110653
RP3beta-P3alpha,0.9772533052113825,0.01879489454406578
RP3beta-P3alpha,0.8221373700412765,0.018865359701880722
RP3beta-P3alpha,0.7698330693993025,0.018854747502767343
RP3beta-P3alpha,0.9200620623002422,0.018833351453450716
RP3beta-P3alpha,0.1727848086762389,0.017975453926551362
RP3beta-P3alpha,0.0010947051516655981,0.017146873873304887
RP3beta-P3alpha,0.8432356830261326,0.018869280276347877
RP3beta-P3alpha,0.8280164899188657,0.01886190964159824
RP3beta-P3alpha,0.7912242919543298,0.018862302591350414
RP3beta-P3alpha,0.8864109712885859,0.0188528366703889
RP3beta-P3alpha,0.7147366400445376,0.01884235656102139
RP3beta-P3alpha,0.8523221473580744,0.018859249754902052
RP3beta-P3alpha,0.6698344844314523,0.018836561436672273
RP3beta-P3alpha,0.6258873017245139,0.018811315642421975
RP3beta-P3alpha,0.9711996995865564,0.018796025206275508
RP3beta-P3alpha,0.7588746883219486,0.018865432293302734
RP3beta-P3alpha,0.8310499886062399,0.018865357024893097
RP3beta-P3alpha,0.8894965349952706,0.01885221963438419
RP3beta-P3alpha,0.8057959433878972,0.018871023021189384
RP3beta-P3alpha,0.7959440305026605,0.018863626855343214
RP3beta-P3alpha,0.8694155238982599,0.018855855995906855
RP3beta-P3alpha,0.9351484424492711,0.018825972671911998
RP3beta-P3alpha,0.77945786775058,0.018851664030418835
RP3beta-P3alpha,0.728842228466871,0.01885374518785
RP3beta-P3alpha,0.4663783416586733,0.018664075705324575
RP3beta-P3alpha,0.8101094194724398,0.018869959450376755
RP3beta-P3alpha,0.817344325955508,0.018864185339555486
RP3beta-P3alpha,0.846118265262813,0.018870727533184948
RP3beta-P3alpha,0.9061282430111258,0.018844661166402654
RP3beta-P3alpha,0.8528968088167032,0.018859433334874543
RP3beta-P3alpha,0.838849244855763,0.018865879411195396
RP3beta-P3alpha,0.8083413731284143,0.01887235205060306
RP3beta-P3alpha,0.7425998452586313,0.018858767243117153
RP3beta-P3alpha,0.8129476873233071,0.018867784566979847
RP3beta-P3alpha,0.5435468388306718,0.01875619366000689
RP3beta-P3alpha,0.7680763419627142,0.018861527072339887
RP3beta-P3alpha,0.8039188212395566,0.018873100792335427
RP3beta-P3alpha,0.8742837170349909,0.018855746973227092
RP3beta-P3alpha,0.8093109049123024,0.01887137485617677
RP3beta-P3alpha,0.689880428990393,0.018833520717455615
RP3beta-P3alpha,0.7986547949951283,0.018867214747715993
RP3beta-P3alpha,0.7592546359107911,0.018866105011469448
RP3beta-P3alpha,0.3471858542894493,0.018455690961985176
RP3beta-P3alpha,0.8148638499191656,0.01886775436062164
RP3beta-P3alpha,0.780732067664112,0.01885269278204642
