recommender,alpha,beta,MAP
RP3beta-Slim-IALS,0.06613639449407938,0.6807350189218413,0.012838868159499597
RP3beta-Slim-IALS,0.3242271037112495,0.031959103108573084,0.01961671398031153
RP3beta-Slim-IALS,0.3574046786849714,0.1661212616658252,0.01797247679020419
RP3beta-Slim-IALS,0.4508948462552861,0.3547684608491165,0.016552297006264653
RP3beta-Slim-IALS,0.6930553865259875,0.8808695094249798,0.015285974589882557
RP3beta-Slim-IALS,0.5339735122604535,0.9523012867281656,0.014538029331295367
RP3beta-Slim-IALS,0.21899685309422878,0.9301945200870253,0.013408036278014665
RP3beta-Slim-IALS,0.9511375962337255,0.7283993873322538,0.016614108367236074
RP3beta-Slim-IALS,0.5609833152453382,0.9219343720263141,0.014708767898878716
RP3beta-Slim-IALS,0.8874024420209462,0.48046235527862435,0.017576478195371975
RP3beta-Slim-IALS,0.014728973307320259,0.0035809148941442805,0.019078685440214377
RP3beta-Slim-IALS,0.004914978448867577,0.0006434216446243174,0.019517774660457014
RP3beta-Slim-IALS,0.2379096809099825,0.08056544022695299,0.018597615249868023
RP3beta-Slim-IALS,0.13111820959187703,0.26077139493938867,0.014350199896195013
RP3beta-Slim-IALS,0.3054453975903912,0.18973852882835257,0.017216608671847333
RP3beta-Slim-IALS,0.16486478916241248,0.3490070915058755,0.014246311632352642
RP3beta-Slim-IALS,0.7251135403190095,0.0232682883841685,0.019751782371473493
RP3beta-Slim-IALS,0.7473424420212612,0.5174042959287734,0.01690171875914812
RP3beta-Slim-IALS,0.6592887850293682,0.11805831020190614,0.01933606019751432
RP3beta-Slim-IALS,0.4297473545615306,0.2786839678780283,0.017107409490895564
RP3beta-Slim-IALS,0.7947022979897466,0.42073964965486826,0.01764037436328318
RP3beta-Slim-IALS,0.6044491338039079,0.011221041626318273,0.01975078842888595
RP3beta-Slim-IALS,0.6240346113621053,0.07948681876975765,0.01953183721732438
RP3beta-Slim-IALS,0.8511160866473522,0.21650164491721618,0.019044633263865834
