recommender,alpha,beta,MAP
RP3beta-Slim,0.11290514564480902,0.887094854355191,0.01954062446099598
RP3beta-Slim,0.8172598630385728,0.1827401369614272,0.01926727838146168
RP3beta-Slim,0.29664516697665566,0.7033548330233443,0.019673603100230176
RP3beta-Slim,0.8177488853300029,0.1822511146699971,0.01926921582775913
RP3beta-Slim,0.8937659674609626,0.1062340325390374,0.019034632520139688
RP3beta-Slim,0.07291118228591209,0.9270888177140879,0.01952898297025219
RP3beta-Slim,0.04784401279780637,0.9521559872021936,0.01953237622101605
RP3beta-Slim,0.7364245010399401,0.26357549896005994,0.01944688825751251
RP3beta-Slim,0.9340874310175818,0.06591256898241815,0.018873507998221142
RP3beta-Slim,0.5680725265378025,0.4319274734621975,0.019652315915898493
RP3beta-Slim,0.31460250119410677,0.6853974988058933,0.01969626499122523
RP3beta-Slim,0.32013290116747645,0.6798670988325235,0.01969210724531691
RP3beta-Slim,0.35153783875348477,0.6484621612465152,0.019698442763939335
RP3beta-Slim,0.42141998089268223,0.5785800191073178,0.019698041230913933
RP3beta-Slim,0.5216445057834463,0.47835549421655366,0.019647462904677688
RP3beta-Slim,0.4411689151463795,0.5588310848536204,0.019696560701507493
RP3beta-Slim,0.6345908696906076,0.36540913030939237,0.019593619897365463
RP3beta-Slim,0.4506213143491272,0.5493786856508728,0.019695665658679952
RP3beta-Slim,0.1990817298193427,0.8009182701806573,0.019626233082206672
RP3beta-Slim,0.2223685400438261,0.7776314599561739,0.01964981276297407
RP3beta-Slim,0.39537341268361054,0.6046265873163894,0.019698254854395445
RP3beta-Slim,0.38635448574315595,0.613645514256844,0.019701124925429192
RP3beta-Slim,0.3611229816623899,0.6388770183376101,0.01969873748522398
RP3beta-Slim,0.6071756424031034,0.3928243575968966,0.01963112169734111
RP3beta-Slim,0.22542902851482466,0.7745709714851754,0.019654933792544307
RP3beta-Slim,0.34787249646600704,0.652127503533993,0.01969370052044971
RP3beta-Slim,0.4972362656826467,0.5027637343173532,0.019660923162006926
RP3beta-Slim,0.1531535590473065,0.8468464409526935,0.019571978651893047
RP3beta-Slim,0.001683206438284901,0.9983167935617151,0.01951081805134204
RP3beta-Slim,0.6994990330888863,0.3005009669111137,0.019505078898272132
RP3beta-Slim,0.3709423020139978,0.6290576979860022,0.019702676662662812
RP3beta-Slim,0.3726520230066129,0.6273479769933872,0.019704091918227702
RP3beta-Slim,0.26623944152967793,0.7337605584703221,0.019672900911934507
