recommender,alpha,beta,MAP
RP3beta-Slim,0.17450306637578883,0.9050219786636776,0.019647818943813452
RP3beta-Slim,0.25896906126097474,0.39572127606908525,0.01967781919699687
RP3beta-Slim,0.3099119494340685,0.32762411257429935,0.01968116398687847
RP3beta-Slim,0.8078508591605112,0.8865215554805966,0.01968820169379652
RP3beta-Slim,0.9940774890773757,0.7528600961749111,0.019612469202614436
RP3beta-Slim,0.7163624477444672,0.971836960234339,0.019685720298819303
RP3beta-Slim,0.8351450773434225,0.9171350047041895,0.019687017863669904
RP3beta-Slim,0.2347789823103381,0.7644225892995405,0.019683747248608233
RP3beta-Slim,0.9429505776633524,0.96366813866668,0.0196694799692379
RP3beta-Slim,0.026361790037055077,0.23503998679123472,0.019581539291687447
RP3beta-Slim,0.6201283815559113,0.0011711903748236607,0.018670820852183346
RP3beta-Slim,0.7807746170037472,0.5986090185454364,0.019608279808782932
RP3beta-Slim,0.4891204366454505,0.7175587237395252,0.019690147052074676
RP3beta-Slim,0.4382710428752197,0.6519259739751061,0.019690687044764014
RP3beta-Slim,0.4991195936608712,0.5883873385633599,0.019685281183885166
RP3beta-Slim,0.447722859739536,0.7065842374805835,0.019679423351103256
RP3beta-Slim,0.41173964942645563,0.4996712620928404,0.019686980281761125
RP3beta-Slim,0.6118665391443645,0.6336841715650966,0.019669356344537973
RP3beta-Slim,0.360534997804452,0.4821587926077201,0.019680460809585153
RP3beta-Slim,0.6084706368692762,0.8134307962748111,0.019680484545527538
RP3beta-Slim,0.09853469838630291,0.6822314207886124,0.01959202958922537
RP3beta-Slim,0.5566551173400426,0.8477318754262037,0.019677954689667997
RP3beta-Slim,0.7193572855282923,0.8207039724388691,0.019692270429920868
RP3beta-Slim,0.7019629881656666,0.5599171630629464,0.01960476886730469
RP3beta-Slim,0.4955014833506499,0.7933313910790503,0.019684729323224594
RP3beta-Slim,0.6934465920985977,0.69153794278898,0.019666636601139337
RP3beta-Slim,0.35393046446907284,0.40396979067698985,0.01969171362427235
RP3beta-Slim,0.3729684878017203,0.23524259962821936,0.01958397914876548
RP3beta-Slim,0.8945476267920043,0.4117907807169433,0.019496339126485362
RP3beta-Slim,0.18243155304402164,0.07382037806896502,0.01945494166496526
RP3beta-Slim,0.3235662616069057,0.3260091282940575,0.01966925447778522
RP3beta-Slim,0.4547661723547587,0.537568753794112,0.01968608820592637
RP3beta-Slim,0.5421951425453082,0.6522480804938091,0.019690290456726673
RP3beta-Slim,0.5664101650750148,0.4229227520039953,0.019609010678009003
RP3beta-Slim,0.2692554751206099,0.649608291108488,0.01971604395421767
RP3beta-Slim,0.2960799076594686,0.45867054226242115,0.01967825336694305
RP3beta-Slim,0.22471896861695695,0.33580867306030693,0.019688818828298545
RP3beta-Slim,0.1449675427048872,0.9144931367857334,0.019608015746423735
RP3beta-Slim,0.27009903065595503,0.8458217047287523,0.019690539684121648
RP3beta-Slim,0.3956767928903851,0.7471067252356571,0.01969361645565376
RP3beta-Slim,0.3590380254059352,0.9988758801862906,0.01971757690049693
RP3beta-Slim,0.3606751369309883,0.8786659009808538,0.019719157318660915
RP3beta-Slim,0.40130479650773826,0.986185987978011,0.019722383428830495
RP3beta-Slim,0.40319889008002263,0.9743103077164912,0.019715784836846603
RP3beta-Slim,0.3240642062894675,0.9976160577163438,0.019693024046091606
RP3beta-Slim,0.2177883334201999,0.9477988735273201,0.019649643644384554
RP3beta-Slim,0.2797415753006569,0.882788760198701,0.01968697039178504
RP3beta-Slim,0.41451852808157946,0.9411945956457671,0.019695148412935317
RP3beta-Slim,0.062305740701910556,0.9923096685674186,0.0195654591797171
RP3beta-Slim,0.16095477957325233,0.8812995050473522,0.01963781226610165
RP3beta-Slim,0.3330345798606333,0.9311543670865954,0.019716028130256108
RP3beta-Slim,0.34432293258619523,0.9405495210896557,0.01971969236636226
RP3beta-Slim,0.24792304407372218,0.9195031579399026,0.01966966985677687
RP3beta-Slim,0.364614387545855,0.8713575192069642,0.01971472166442713
RP3beta-Slim,0.3186134242354802,0.9450463140964684,0.01970563376548529
RP3beta-Slim,0.4699151763904904,0.7807880410915673,0.01969416139333106
