recommender,alpha,beta,MAP
Slim-Ials,0.7556873619629834,0.6430618609062018,0.017425948138751635
Slim-Ials,0.5135801923265031,0.3064070608473709,0.017516664064777674
Slim-Ials,0.30240153457382013,0.43373228579500045,0.01734099550887584
Slim-Ials,0.49516515813214124,0.8921468893901435,0.01731628784599661
Slim-Ials,0.31095410782621413,0.26396294166506806,0.017427316293194925
Slim-Ials,0.2199811691314698,0.2562475267963007,0.017377221958440846
Slim-Ials,0.6052884523879898,0.1615781688163237,0.01778417788281986
Slim-Ials,0.02078849099507052,0.15693098862026078,0.017248913335143754
Slim-Ials,0.8879060062012911,0.6911638475163313,0.017446711951581262
Slim-Ials,0.05735520761903978,0.02207242307145474,0.01763798404858725
Slim-Ials,0.6548395332113532,0.03974101063730273,0.01844757914310983
Slim-Ials,0.6365089635071998,0.024557158489834918,0.01859601606392974
Slim-Ials,0.7184136211187959,0.015490270305758579,0.018743029787694775
Slim-Ials,0.9643481400419771,0.003597700936608883,0.018853147968696856
Slim-Ials,0.9918657520118664,0.4776072448927624,0.017570254337977653
Slim-Ials,0.8137261602203648,0.1499070560836801,0.017940740263810012
Slim-Ials,0.9940394305957054,0.9649768585442732,0.017404028900029393
Slim-Ials,0.8419081919568112,0.38674772016278836,0.017581828779866925
Slim-Ials,0.7221314670932478,0.6795052277872448,0.017406179505765337
Slim-Ials,0.9119801080031624,0.11777001853403976,0.018106253078229856
Slim-Ials,0.5310912684291751,0.36846458752582434,0.01747479968525735
Slim-Ials,0.6597578050436068,0.03311557533869125,0.01851501768077422
Slim-Ials,0.42604982575532685,0.001022326904267663,0.01885654836001891
Slim-Ials,0.4156943236635491,0.10408061381864978,0.01781722711030879
Slim-Ials,0.4134539595959645,0.5875410029187719,0.01734223215762142
Slim-Ials,0.7544765435193276,0.19949104749259292,0.01778952794496615
Slim-Ials,0.12792630279481076,0.08189788106626958,0.01749810571852271
Slim-Ials,0.4158060298074469,0.0019439241797471873,0.018841596708527877
Slim-Ials,0.38692679439854283,0.23137006469073082,0.017515970015885337
Slim-Ials,0.22992438539427024,0.8273759581190654,0.0172781653451054
Slim-Ials,0.4687677368135339,0.3261699801040172,0.017473766792935507
Slim-Ials,0.5654739840979836,0.08290419553466877,0.018048890088990684
Slim-Ials,0.704579997828256,0.004761773059028109,0.018833318451538482
Slim-Ials,0.32168458966960867,0.07896520201847937,0.017820726245267638
Slim-Ials,0.467184958912772,0.19264750129684002,0.017622383638393975
Slim-Ials,0.5554900111787212,0.0007711776219062566,0.01886544440840653
Slim-Ials,0.3615045881856165,0.12237114041678383,0.017681398191635677
Slim-Ials,0.23519354224340555,0.248670321131589,0.017391067161991472
Slim-Ials,0.5448596376525828,0.07188506518379544,0.018094171527160596
Slim-Ials,0.28300246866539486,0.5783751519041547,0.017309674315632514
Slim-Ials,0.17861374975454972,0.28586499733732995,0.017326734667344985
Slim-Ials,0.6123810233573719,0.010239756253071981,0.018789277615586852
Slim-Ials,0.44792663824458984,0.16547888867231542,0.017648107190792166
Slim-Ials,0.583363574060678,0.0585298899491771,0.018246907798496154
Slim-Ials,0.5070901102570975,0.12675484743125784,0.017817307351297138
Slim-Ials,0.6908714371604805,0.0027586750409339957,0.0188486313707969
Slim-Ials,0.934270824074076,0.0003430945951263778,0.01885986121683142
Slim-Ials,0.947248731489281,0.19744202912340453,0.017888180227978626
Slim-Ials,0.8144868632356622,0.7912351154417658,0.017403659550808304
Slim-Ials,0.8529419531395773,0.054027525393343975,0.018427624860046034
Slim-Ials,0.9168152104871735,0.1400251851607318,0.018030383222730036
Slim-Ials,0.7804593492246613,0.001122537615763045,0.01886307867770624
Slim-Ials,0.8037379836386633,0.05415514970402355,0.01839977408802132
Slim-Ials,0.9531074621335994,0.0013417857790106772,0.01886478810159218
Slim-Ials,0.9677877931049903,0.04451922602712689,0.018538936434787445
Slim-Ials,0.8970854157251116,0.10095164953540431,0.018179080630187267
Slim-Ials,0.8676233306919687,0.16159330634104005,0.017933334981940812
Slim-Ials,0.9452425369817535,0.04637232836474281,0.01851846157916127
Slim-Ials,0.7870245728524733,0.11009648602039829,0.01806784371655763
Slim-Ials,0.9888739823041359,0.45915997207960485,0.017579072094549408
Slim-Ials,0.9313581234421405,0.03954169244246696,0.01856882335050399
Slim-Ials,0.6814620674928078,0.01531026174585079,0.018735475591076356
Slim-Ials,0.7540431912842376,0.0850407111278043,0.01817831188741254
Slim-Ials,0.8814114038820554,0.0066655503031170064,0.01882996375532665
Slim-Ials,0.8374232461509425,0.03476429001189623,0.01858068335554433
Slim-Ials,0.622492801512872,0.0017308666591562185,0.018855481213082278
Slim-Ials,0.618661004690041,0.09793254920205141,0.01801891856314257
