recommender,alpha,beta,MAP
Slim-Ials,0.5490923622571192,0.5841831674394428,0.01739115015486625
Slim-Ials,0.5550047180384148,0.11274465919827426,0.0179005854891469
Slim-Ials,0.016079359618993205,0.053287809900821714,0.017280389296314678
Slim-Ials,0.7238992374643145,0.21532405672667732,0.017737953677590113
Slim-Ials,0.545647106401012,0.8118959870889273,0.01733774328315858
Slim-Ials,0.8638519535982662,0.21539383284347857,0.017819148126042444
Slim-Ials,0.2649623982052285,0.6257569691764681,0.017298486779223063
Slim-Ials,0.8281851431713125,0.5352114185694883,0.017493230041448805
Slim-Ials,0.3871239191743059,0.17419753036440044,0.017590075433804614
Slim-Ials,0.8724750810982813,0.14802945540766932,0.01798022033438067
Slim-Ials,0.5833024357836711,0.7221320035465192,0.017364796891843715
Slim-Ials,0.1968758821893366,0.5453079248805189,0.017290055619828746
Slim-Ials,0.2650545388223181,0.8733547502960444,0.017281131126692585
Slim-Ials,0.20034073177988165,0.20853382401369502,0.01739068653349254
Slim-Ials,0.6073026283318942,0.10062992666312953,0.017991061385113007
Slim-Ials,0.7954439831704583,0.04121753152737784,0.01850487133335716
Slim-Ials,0.09319553217707843,0.9818598913423305,0.017239530750546562
Slim-Ials,0.7959715303056464,0.2581803286897184,0.01770117279850122
Slim-Ials,0.18232675675281562,0.16798855169914473,0.017409639342024812
Slim-Ials,0.31166100248378925,0.2902434497003069,0.01740705077275307
Slim-Ials,0.9200590326478345,0.36641895502813515,0.017625424088678013
Slim-Ials,0.5578980343337657,0.868813964859783,0.01733011631167317
Slim-Ials,0.9422904175106981,0.38543419777885773,0.01762204526121167
Slim-Ials,0.9786720508310532,0.03950525007926155,0.01858359397796038
Slim-Ials,0.8451460203398402,0.33039393712544546,0.017629117977337957
Slim-Ials,0.991381083053658,0.009635494363888001,0.01882828825432543
Slim-Ials,0.7569158333458088,0.3252289337376735,0.017609687615041905
Slim-Ials,0.9890547376209352,0.3714459983028451,0.017642330856524172
Slim-Ials,0.7247859275493398,0.0744427942949726,0.018229353389113096
Slim-Ials,0.004248071111874474,0.0075581062779341845,0.01731755027667931
Slim-Ials,0.7091146921623668,0.006900214871952026,0.018828159010967762
Slim-Ials,0.9793379962539045,0.4478424020113744,0.017584325271624752
Slim-Ials,0.7523871937736488,0.04911969382092004,0.018417324537098934
Slim-Ials,0.667309048053059,0.7485001112979658,0.01738482848512697
Slim-Ials,0.6923393194274148,0.015214766195144894,0.01874039014959145
Slim-Ials,0.4231649960734889,0.0002622651949057628,0.018867804837312235
Slim-Ials,0.4032475936917569,0.2072354245219624,0.01754673261433187
Slim-Ials,0.41459694977266065,0.6622322075359144,0.017326996319375954
Slim-Ials,0.6900913313530967,0.48996884718288763,0.017467810972918694
Slim-Ials,0.41620624026267855,0.3952906106006955,0.01740627122619112
Slim-Ials,0.842490656978585,0.001279960420464743,0.018860310833101575
Slim-Ials,0.6633240673712453,0.11937284407906851,0.017950714506229818
Slim-Ials,0.8584307969110556,0.003486106602519705,0.018844386326073655
Slim-Ials,0.9474861644649576,0.0048397026215179495,0.018848539926357714
Slim-Ials,0.849369755651231,0.21187066645158467,0.0178189221840563
Slim-Ials,0.4687550047880895,0.01491408052851162,0.0186601577715486
Slim-Ials,0.9784653744829387,0.006835855618157241,0.018830191812968924
Slim-Ials,0.8901439493527595,0.1155593736832855,0.018103941839369853
Slim-Ials,0.815565149991149,0.25962240946571297,0.017713012517596497
Slim-Ials,0.3505868904136895,0.9753206904877878,0.017289917689697152
Slim-Ials,0.9212691748728552,0.13618499346130963,0.01804554694339157
Slim-Ials,0.5929155292005626,0.3437801245827177,0.017518149764483
Slim-Ials,0.9997517988507195,0.003392935578003025,0.018854085190033915
Slim-Ials,0.25933355034743244,0.0685183003488623,0.01778923323206715
Slim-Ials,0.9822022222202007,0.2790716434851331,0.017756827079106585
Slim-Ials,0.08487515905267345,0.1550301904061012,0.017316994107210285
Slim-Ials,0.8708218156294624,0.4493622034754205,0.017546203141415116
Slim-Ials,0.7418291990459377,0.6249849332181849,0.01742973364966914
Slim-Ials,0.7996976128905494,0.11398558401129527,0.018064033220693762
Slim-Ials,0.9139198554893062,0.11266410952618838,0.018128490992027086
Slim-Ials,0.470912823613214,0.5709059955431456,0.017366691548200714
Slim-Ials,0.4522776196277107,0.31736642745048516,0.01746935561140836
Slim-Ials,0.9900521303303847,0.021558880163536555,0.018741043739736212
Slim-Ials,0.5019887652127478,0.002195430535971647,0.018839417116934962
Slim-Ials,0.9027684131858617,0.10128024588942316,0.018179441504554503
Slim-Ials,0.5285689301353639,0.003074218992393638,0.01883541460567415
Slim-Ials,0.9996254811252505,0.0020461450594973195,0.018856750541012452
Slim-Ials,0.5105823394327567,0.1892312835222577,0.017648181962095142
Slim-Ials,0.9975803624180941,0.06385310961897389,0.018423325287869302
Slim-Ials,0.6225088294463703,0.10267534490848297,0.017995712937682585
Slim-Ials,0.647255270722327,0.2376410597886498,0.017649523239475547
Slim-Ials,0.5167639739425981,0.07099684984684433,0.018076813171040342
Slim-Ials,0.7939453315843381,0.15586277168826898,0.017913349685876233
Slim-Ials,0.3491506524779131,0.23699567741670208,0.01748408411105427
Slim-Ials,0.8862508505551322,0.08781442726101166,0.018253409473532146
Slim-Ials,0.7181383371523793,0.17823263415774143,0.01781875517651171
Slim-Ials,0.5163922737585309,0.00071176409675764,0.01886544513161169
Slim-Ials,0.26435002575351085,0.06849186841191987,0.01779585574392329
