recommender,alpha,beta,MAP
RP3betaP3alpha-ItemKNN,0.6135333781601926,0.002287313818325587,0.018889023977453876
RP3betaP3alpha-ItemKNN,0.7625277370112536,0.7395636134792847,0.017745380184139726
RP3betaP3alpha-ItemKNN,0.9773092186552469,0.8807123714049834,0.017750592152672415
RP3betaP3alpha-ItemKNN,0.14368817439593495,0.05155526187738113,0.017941402715692403
RP3betaP3alpha-ItemKNN,0.23233578631302054,0.7852623512469915,0.0176486596675775
RP3betaP3alpha-ItemKNN,0.8351367656831443,0.062145431935350715,0.018490604340390453
RP3betaP3alpha-ItemKNN,0.7537908091130646,0.3028310105107115,0.017915448064152396
RP3betaP3alpha-ItemKNN,0.1471709602495218,0.23627411983432522,0.017692432175291692
RP3betaP3alpha-ItemKNN,0.5618315398002166,0.1631275476910189,0.018002963333290715
RP3betaP3alpha-ItemKNN,0.9376858575368854,0.6037904375007545,0.017817676659144955
RP3betaP3alpha-ItemKNN,0.4153370669140716,0.4135018179204297,0.017741398468475205
RP3betaP3alpha-ItemKNN,0.6664846807561317,0.027445127106130694,0.018676330714261297
RP3betaP3alpha-ItemKNN,0.5343358865208188,0.007611899941980022,0.018873552659805035
RP3betaP3alpha-ItemKNN,0.3708394598309219,0.4290343748914716,0.017726191316164975
RP3betaP3alpha-ItemKNN,0.5431837583091063,0.1718283543962078,0.017976465719229732
RP3betaP3alpha-ItemKNN,0.004022781201398762,0.5761023945750152,0.01760474708154301
RP3betaP3alpha-ItemKNN,0.6180309480485069,0.30337699521182615,0.017872734669478658
RP3betaP3alpha-ItemKNN,0.4323652049130449,0.13134648571149582,0.017990592303058005
RP3betaP3alpha-ItemKNN,0.3280789668636557,0.02495773263795467,0.01848324248032528
RP3betaP3alpha-ItemKNN,0.6787126143696456,0.29757712552413124,0.017896524838300815
RP3betaP3alpha-ItemKNN,0.4748690114222518,0.9506003600756627,0.017672181844259203
RP3betaP3alpha-ItemKNN,0.6694777334245231,0.04235851791766557,0.01855598001402466
RP3betaP3alpha-ItemKNN,0.5875256237912698,0.12691500957001878,0.018096813748899983
RP3betaP3alpha-ItemKNN,0.8376050303458487,0.0037041748700455254,0.018894106800547265
RP3betaP3alpha-ItemKNN,0.8570835404457433,0.22421584773335684,0.01803910319748452
RP3betaP3alpha-ItemKNN,0.78929471612102,0.13720082117460752,0.01817980342534509
RP3betaP3alpha-ItemKNN,0.49955776276018377,0.008698393201912362,0.01885223225035214
RP3betaP3alpha-ItemKNN,0.8856097781110441,0.23840749169261094,0.018029719768418686
RP3betaP3alpha-ItemKNN,0.7157488685284585,0.39886356638055526,0.017849196951303117
RP3betaP3alpha-ItemKNN,0.8050849615632684,0.09485908462670943,0.01833621449767218
RP3betaP3alpha-ItemKNN,0.7442616630218382,0.6823698870077102,0.0177499950483937
RP3betaP3alpha-ItemKNN,0.46788602840737475,0.006620250196460724,0.01887167659216956
RP3betaP3alpha-ItemKNN,0.3058677373981673,0.008508683521764177,0.01878330144043168
RP3betaP3alpha-ItemKNN,0.5260091453521171,0.08582208974768712,0.01820882506113716
RP3betaP3alpha-ItemKNN,0.9974932163750387,0.1922958665569076,0.01813986157784778
RP3betaP3alpha-ItemKNN,0.6139249093613585,0.09039665755247696,0.018254719677281584
RP3betaP3alpha-ItemKNN,0.42284980255335647,0.00048812584582134987,0.01887609467152273
RP3betaP3alpha-ItemKNN,0.27231564744916126,0.7847246436905936,0.017655581382861527
RP3betaP3alpha-ItemKNN,0.9302073815822132,0.08987999287745119,0.01839955374737729
RP3betaP3alpha-ItemKNN,0.189447613612634,0.2849715574725159,0.01769843452194626
RP3betaP3alpha-ItemKNN,0.3902116128999607,0.06785420230550598,0.018179505475644796
RP3betaP3alpha-ItemKNN,0.47050184230884246,0.01230614395532276,0.01878920415217133
RP3betaP3alpha-ItemKNN,0.4589723579828966,0.057903929109185834,0.01830937627990025
RP3betaP3alpha-ItemKNN,0.3612735083976928,0.11971372498154245,0.017962443826098382
RP3betaP3alpha-ItemKNN,0.42700931128106867,0.0036578355042977966,0.018875742310031262
RP3betaP3alpha-ItemKNN,0.5394713092306017,0.1682874911009127,0.017981975156198662
RP3betaP3alpha-ItemKNN,0.6285083051474172,0.20289539116063654,0.017971009233893217
RP3betaP3alpha-ItemKNN,0.26670799970259434,0.36644436660944296,0.017707835290679947
RP3betaP3alpha-ItemKNN,0.3419666901882832,0.05599761630998047,0.018206765605259797
RP3betaP3alpha-ItemKNN,0.4187849101534598,0.15185895878476846,0.017938991232728175
RP3betaP3alpha-ItemKNN,0.08877640326884573,0.524656520987144,0.017633674889230875
RP3betaP3alpha-ItemKNN,0.5734007708772011,0.007891707041593123,0.018871160005421286
RP3betaP3alpha-ItemKNN,0.501239089522314,0.04653986770170907,0.018416411104927588
RP3betaP3alpha-ItemKNN,0.3980488856880628,0.00035920585317320486,0.018879241228106785
RP3betaP3alpha-ItemKNN,0.41562952780021845,0.09148760356540435,0.01808960559352681
RP3betaP3alpha-ItemKNN,0.301029882276203,0.052149604180203715,0.01818140366917201
RP3betaP3alpha-ItemKNN,0.7068377035596327,0.1128808392829648,0.018219237585542187
RP3betaP3alpha-ItemKNN,0.39164515550462015,0.04044552576071412,0.01838289760349935
RP3betaP3alpha-ItemKNN,0.44324023620383857,0.15101021638159898,0.01795223297973209
RP3betaP3alpha-ItemKNN,0.511765558472524,0.0020426553729927287,0.018889091503205863
RP3betaP3alpha-ItemKNN,0.5027639584375301,0.2602279030735886,0.017865093825385942
RP3betaP3alpha-ItemKNN,0.5899882643270469,0.04035475215244169,0.01851845699636143
RP3betaP3alpha-ItemKNN,0.6487891967121836,0.00218109973942282,0.018885855995892604
RP3betaP3alpha-ItemKNN,0.6725416761206916,0.00454610941502313,0.018874893402762393
RP3betaP3alpha-ItemKNN,0.6175030690480754,0.07448588684674773,0.018329168925497456
RP3betaP3alpha-ItemKNN,0.7789365052672423,0.8833328497909447,0.017725859992971087
RP3betaP3alpha-ItemKNN,0.3835110021375412,0.10865288544015064,0.01801386859687251
RP3betaP3alpha-ItemKNN,0.6470410363585091,0.0316696065719104,0.018634200217093406
RP3betaP3alpha-ItemKNN,0.8371960342530945,0.6477771773853281,0.017781192712433353
RP3betaP3alpha-ItemKNN,0.5563345018390464,0.18706610828431483,0.017957023657189573
RP3betaP3alpha-ItemKNN,0.7236205730430921,0.0019191448167854026,0.0188755410411807
RP3betaP3alpha-ItemKNN,0.7181749106484469,0.07026034739416202,0.018396955339569417
RP3betaP3alpha-ItemKNN,0.7504078618220107,0.002403209530715663,0.018884414764746595
RP3betaP3alpha-ItemKNN,0.9053054649069138,0.0347014339983194,0.0186884647426578
RP3betaP3alpha-ItemKNN,0.808391773397787,0.1346804575328734,0.018201080677322925
RP3betaP3alpha-ItemKNN,0.5153579713580727,0.00046751206564949344,0.018879647390470176
RP3betaP3alpha-ItemKNN,0.7581115794000898,0.07431009070072657,0.018396816734941243
RP3betaP3alpha-ItemKNN,0.6872715726814813,0.03215047601005477,0.018643094243349298
RP3betaP3alpha-ItemKNN,0.5188548586850298,0.11567801974253866,0.01808642705326979
RP3betaP3alpha-ItemKNN,0.5911596927765185,0.06558493859744656,0.018356156021389593
RP3betaP3alpha-ItemKNN,0.645803779811359,0.0932254638688124,0.01826134280196925
RP3betaP3alpha-ItemKNN,0.44574926956705774,0.025753066470456748,0.018583844639495774
RP3betaP3alpha-ItemKNN,0.4863055009016154,0.0016643456536441332,0.018885544093600222
RP3betaP3alpha-ItemKNN,0.4921029985446966,0.027141171636620963,0.01858983307245628
RP3betaP3alpha-ItemKNN,0.8640611425076712,0.0015918619765846772,0.018879396524809425
RP3betaP3alpha-ItemKNN,0.8722786915579662,0.05610193611990015,0.018545287027918
RP3betaP3alpha-ItemKNN,0.9257469550397621,0.03514838257018942,0.018689600545205964
RP3betaP3alpha-ItemKNN,0.8517376990625618,0.00022262480948361652,0.0188770401403726
RP3betaP3alpha-ItemKNN,0.8087959923951307,0.102500622172874,0.018308764106072465
RP3betaP3alpha-ItemKNN,0.5716520505060698,0.07358352545960938,0.018303959687103636
RP3betaP3alpha-ItemKNN,0.8946222142531018,0.4725604571734729,0.01786214345258272
RP3betaP3alpha-ItemKNN,0.9668737008656361,0.03021179307651662,0.018752496514770147
RP3betaP3alpha-ItemKNN,0.7793775423405164,0.005282594567856416,0.018873438712743166
RP3betaP3alpha-ItemKNN,0.8584483440241438,0.04771384197137827,0.018590540838092584
RP3betaP3alpha-ItemKNN,0.8408408549875863,0.35118133198249635,0.017905645205746255
RP3betaP3alpha-ItemKNN,0.7439203046332437,0.01656634049480363,0.018818405130591406
RP3betaP3alpha-ItemKNN,0.9596333083242843,0.9909894807128914,0.017734041578187282
RP3betaP3alpha-ItemKNN,0.8193353102485665,0.0010895601257610178,0.01887360035996746
RP3betaP3alpha-ItemKNN,0.5491986419868151,0.06650668925930427,0.018328139981307234
RP3betaP3alpha-ItemKNN,0.4823158755376339,0.13551981779868913,0.01801614319972496
