recommender,alpha,beta,MAP
Slim-Ials,0.027668079184003713,0.3322113971772538,0.01964145411494593
Slim-Ials,0.11588674178565928,0.180351514591662,0.019742329302187302
Slim-Ials,0.4167812578391643,0.06149962793436414,0.019497964548800307
Slim-Ials,0.16376755618549976,0.5314476754016675,0.019691114351120958
Slim-Ials,0.347739071466051,0.8942179285348136,0.019704554135279332
Slim-Ials,0.6456835338941951,0.8179585443845164,0.019761372267496472
Slim-Ials,0.0993141274550089,0.6498164659527799,0.019662748835334868
Slim-Ials,0.41025354474109565,0.40113230147301226,0.019768859269675743
Slim-Ials,0.5094173744757882,0.6846267226173101,0.019752138459825753
Slim-Ials,0.3440319593858929,0.5461412433372719,0.01974155818230843
Slim-Ials,0.5356842914963964,0.04926191705082095,0.019352042780416846
Slim-Ials,0.1846862498437707,0.8288164862949816,0.019682017168787105
Slim-Ials,0.1551680599404882,0.19233877301070956,0.019763616754658448
Slim-Ials,0.8727080662991925,0.5980688204930985,0.019768401879944133
Slim-Ials,0.12530079368398406,0.27722443340804437,0.019718370788960406
Slim-Ials,0.08336014357265897,0.7278905400649949,0.019655442401800397
Slim-Ials,0.0875719650850465,0.27390345032877494,0.019696093363628663
Slim-Ials,0.2744956631934683,0.09604880705957353,0.0197079408151575
Slim-Ials,0.5327603458079282,0.22057426530490298,0.01973160166611625
Slim-Ials,0.4584844155936413,0.4434457320755302,0.019774134667086916
Slim-Ials,0.9142234281011525,0.15219285591178755,0.019539825936318242
Slim-Ials,0.8092406766110108,0.6624930269607728,0.01977044248788164
Slim-Ials,0.7022771444540586,0.3937911685915635,0.019755752751492283
Slim-Ials,0.8980229926712425,0.8904028184307354,0.01976778129950564
Slim-Ials,0.31729108195628863,0.8173481533416115,0.019704322400379688
Slim-Ials,0.31673031972538435,0.5591883840905421,0.019732082607432304
Slim-Ials,0.2115542969256896,0.7762669824461916,0.019689830173288493
Slim-Ials,0.7816419698811449,0.9453575321550308,0.019768401838698487
Slim-Ials,0.020368318713179456,0.5107122084188777,0.01962764285225183
Slim-Ials,0.07335937153866934,0.10092555294739658,0.01975016730181192
Slim-Ials,0.8912282927643148,0.39469020941481003,0.01973619352552916
Slim-Ials,0.9321772982224057,0.3073095717584542,0.01968867161073468
Slim-Ials,0.9710073118631459,0.7959331588462774,0.01976883844214419
Slim-Ials,0.2359645651848713,0.027956250762010804,0.019422758570442802
