recommender,factors,alpha,regularization,iterations,MAP
ImplicitALSRecommender,709,19,0.007557783934746152,17,0.012215830330737004
ImplicitALSRecommender,765,49,0.006942395099169459,80,0.012147799163862246
ImplicitALSRecommender,472,71,0.0032868078359469905,68,0.011962530243546928
ImplicitALSRecommender,382,43,0.004599914310754929,32,0.012223123199035783
ImplicitALSRecommender,293,43,0.006987078576863221,59,0.012209354374455458
ImplicitALSRecommender,758,83,0.006755300830099175,95,0.012052871218271416
ImplicitALSRecommender,89,97,0.002399965384474698,96,0.008743615031497768
ImplicitALSRecommender,180,99,0.006321550783934945,99,0.00998239287573627
ImplicitALSRecommender,732,36,0.0011797983484182024,92,0.01229064898813713
ImplicitALSRecommender,493,45,0.009685572564704847,46,0.01236708861260293
ImplicitALSRecommender,149,3,0.000290475507702908,26,0.013869520359900484
ImplicitALSRecommender,58,5,0.009789378140123848,51,0.01437783446712028
ImplicitALSRecommender,555,9,0.004885785282098847,49,0.012730565999370676
ImplicitALSRecommender,234,26,0.00935320963485788,42,0.013053446023676155
ImplicitALSRecommender,54,4,0.0008466023917985468,13,0.014171674950510714
ImplicitALSRecommender,103,27,0.00022379888837819977,10,0.01190311720175427
ImplicitALSRecommender,53,1,0.009732415788816734,38,0.012543322050849138
ImplicitALSRecommender,248,17,0.0018450805344136856,69,0.013749045617316734
ImplicitALSRecommender,176,65,0.008442942040168704,22,0.010562352936057227
ImplicitALSRecommender,351,34,0.0035312880158584305,52,0.012761180420063273
ImplicitALSRecommender,595,13,0.005635454702528909,82,0.01286183070576484
ImplicitALSRecommender,190,60,0.001609863266865285,13,0.010352415448617477
ImplicitALSRecommender,447,32,0.005868023187634834,30,0.012431691913797758
ImplicitALSRecommender,321,1,0.008443527908484655,43,0.011106539964206515
ImplicitALSRecommender,148,8,1.2945168119321245e-05,19,0.014161299376694338
ImplicitALSRecommender,128,11,0.000854861655108011,17,0.014158934683433886
ImplicitALSRecommender,58,22,0.0010252752308558808,35,0.013230637800596188
ImplicitALSRecommender,225,10,0.0024452802464967043,22,0.014129030363017717
ImplicitALSRecommender,129,34,0.004093813835539555,61,0.012268982028727164
ImplicitALSRecommender,271,7,0.00015091909971308039,23,0.013874893583858535
ImplicitALSRecommender,53,17,0.0012002870057368279,45,0.013966513332478945
ImplicitALSRecommender,181,27,0.0021184214832683903,10,0.012087816459452238
ImplicitALSRecommender,647,18,0.0027835215263231593,17,0.01260106764268899
ImplicitALSRecommender,98,7,0.008447711940292995,27,0.01472527327981683
ImplicitALSRecommender,104,7,0.008698169517515036,18,0.014395227967902819
ImplicitALSRecommender,113,15,0.008561060945205813,28,0.014096142236843722
ImplicitALSRecommender,200,3,0.009099416114762593,14,0.013351094741223197
ImplicitALSRecommender,88,22,0.007606142149594473,35,0.013230359892270727
ImplicitALSRecommender,501,53,0.007677710231099378,69,0.01230587559517907
ImplicitALSRecommender,155,43,0.009995268499541507,81,0.011931576596677635
ImplicitALSRecommender,386,78,0.0064270598646930886,58,0.011668093790203093
ImplicitALSRecommender,87,6,0.008016288487260855,25,0.014503036618229612
ImplicitALSRecommender,92,96,0.008118173501275562,27,0.008710591412652735
ImplicitALSRecommender,273,38,0.008996239615522768,33,0.01228081241801244
ImplicitALSRecommender,79,6,0.007203956624606498,24,0.014508722365429124
ImplicitALSRecommender,93,7,0.0071184337751292555,38,0.014616682332388749
ImplicitALSRecommender,96,12,0.006480761419929414,39,0.014380954754546765
ImplicitALSRecommender,211,22,0.0071609924998861235,24,0.013311918568311555
ImplicitALSRecommender,163,6,0.007936520372601999,31,0.014415735822126224
ImplicitALSRecommender,159,14,0.007883199726626006,38,0.01384619781850888
ImplicitALSRecommender,794,1,0.007128260512885371,31,0.00914216820712955
ImplicitALSRecommender,135,5,0.0057876954143093835,45,0.014445669812470481
ImplicitALSRecommender,80,22,0.005533044613962432,47,0.013263792956122024
ImplicitALSRecommender,127,11,0.006247928893091878,51,0.014432500320435354
ImplicitALSRecommender,132,10,0.006117629590785303,53,0.01453179666842323
ImplicitALSRecommender,133,5,0.005179919294411563,56,0.014525761805071154
ImplicitALSRecommender,235,14,0.005071168708541178,62,0.013906889634197695
ImplicitALSRecommender,68,9,0.006785262932533562,76,0.014431156272697655
ImplicitALSRecommender,186,19,0.004913480284177853,55,0.013475600638022339
ImplicitALSRecommender,120,1,0.007320172093337438,54,0.012668302666496198
ImplicitALSRecommender,709,28,0.006133383597587232,64,0.012442803301828209
ImplicitALSRecommender,310,4,0.004496725679538063,90,0.013213461879285697
ImplicitALSRecommender,76,9,0.005366683885828653,40,0.01453776230194342
ImplicitALSRecommender,51,16,0.005142621580358704,42,0.013911178916786586
ImplicitALSRecommender,89,8,0.004001364949322817,26,0.014385092720503012
ImplicitALSRecommender,149,12,0.005397680076047612,38,0.014082043087065153
ImplicitALSRecommender,74,5,0.006746214691369003,57,0.01447695180654272
ImplicitALSRecommender,119,9,0.008256058240090241,49,0.014458907545339753
ImplicitALSRecommender,109,20,0.0044831857955423835,35,0.01354591540035436
ImplicitALSRecommender,71,3,0.005976229247463303,41,0.014019828215073171
ImplicitALSRecommender,168,25,0.007529063698743371,29,0.013057566187675673
ImplicitALSRecommender,139,15,0.006641508534589342,22,0.013897880855063757
ImplicitALSRecommender,257,10,0.006925641982665227,33,0.013884239611173837
ImplicitALSRecommender,215,6,0.009562549952274844,20,0.013972923025921465
ImplicitALSRecommender,76,4,0.007394263419413236,58,0.014391569665782245
ImplicitALSRecommender,77,7,0.005349027096639186,65,0.014603318007826578
ImplicitALSRecommender,99,1,0.005493576878717824,67,0.012696284375578994
ImplicitALSRecommender,53,11,0.005181178663847763,75,0.0143756240574854
ImplicitALSRecommender,109,17,0.008815053978458977,53,0.013771715420292518
ImplicitALSRecommender,192,8,0.004717809926634949,65,0.01422367941128552
ImplicitALSRecommender,144,13,0.006240972300575339,14,0.013845271127758137
ImplicitALSRecommender,82,68,0.0038182997013048287,24,0.009861298031657615
ImplicitALSRecommender,172,7,0.005851500804198941,71,0.014332606617897375
ImplicitALSRecommender,536,49,0.007938534681452503,61,0.01215693552368644
ImplicitALSRecommender,71,7,0.006576053480609632,58,0.014572753037013839
ImplicitALSRecommender,102,3,0.0064408127974990275,47,0.014091539442015655
ImplicitALSRecommender,129,13,0.007068144773904828,26,0.014136897838921688
ImplicitALSRecommender,50,10,0.007765802772257985,51,0.014561986809145734
ImplicitALSRecommender,65,10,0.008366968698648858,55,0.014557214895728069
ImplicitALSRecommender,66,19,0.008372859594030325,56,0.013682733328269806
ImplicitALSRecommender,52,10,0.009190651383815852,50,0.014518067403746815
ImplicitALSRecommender,115,15,0.005303686414607862,59,0.014161077841232002
ImplicitALSRecommender,399,53,0.006045175673357137,46,0.01201030377259103
ImplicitALSRecommender,144,3,0.007744329775575162,52,0.014095167085210723
ImplicitALSRecommender,50,9,0.009078297715029968,50,0.01462983995645249
ImplicitALSRecommender,70,9,0.009306109372204698,55,0.01459474043164612
ImplicitALSRecommender,69,12,0.009317151587349075,63,0.014362435774496045
ImplicitALSRecommender,94,92,0.008758898982598304,60,0.009145610907773398
ImplicitALSRecommender,51,9,0.009560101599159682,49,0.014645649083080626
ImplicitALSRecommender,52,8,0.009707432484235477,44,0.014591490585534132
ImplicitALSRecommender,53,7,0.009595652463115348,44,0.014518732999131305
ImplicitALSRecommender,93,16,0.009049594214503685,48,0.014027957775341028
ImplicitALSRecommender,66,13,0.009776058257303417,51,0.014383638894031775
ImplicitALSRecommender,105,24,0.009457528111375759,43,0.0131656784602655
ImplicitALSRecommender,83,8,0.009936051913195871,40,0.014639383783287859
ImplicitALSRecommender,51,8,0.009895782561516764,54,0.014412709489471579
ImplicitALSRecommender,83,2,0.009293088300263307,49,0.013734058347693841
ImplicitALSRecommender,62,11,0.008580533045062178,45,0.014436025107879953
ImplicitALSRecommender,89,5,0.008812492394605968,36,0.014588563152639674
ImplicitALSRecommender,114,5,0.008893724984159345,37,0.014443235889378053
ImplicitALSRecommender,83,7,0.009579603204692597,36,0.014631957400313122
ImplicitALSRecommender,88,1,0.00964681130500898,34,0.012669451881706812
ImplicitALSRecommender,348,7,0.00999106770766181,37,0.013438642786726539
ImplicitALSRecommender,122,4,0.0093794527047974,42,0.014373849795791963
ImplicitALSRecommender,100,14,0.009087748042700367,40,0.013994431745715413
ImplicitALSRecommender,77,8,0.008597469262185551,32,0.014538905583168515
ImplicitALSRecommender,50,78,0.008155089197368627,47,0.008973468952596316
ImplicitALSRecommender,83,5,0.009776689300018328,37,0.01448477477755483
ImplicitALSRecommender,67,9,0.008914987738195518,44,0.014540120072220667
ImplicitALSRecommender,104,17,0.009535064248415435,30,0.013765548031262034
ImplicitALSRecommender,451,12,0.009230718648622318,41,0.013141350108315424
ImplicitALSRecommender,158,20,0.009709430266627468,66,0.013463888928449083
ImplicitALSRecommender,634,6,0.009477514257792929,39,0.012151810538125838
ImplicitALSRecommender,118,38,0.00865839748445474,36,0.011925280637959168
ImplicitALSRecommender,68,10,0.00836045469387833,55,0.014436927073690731
ImplicitALSRecommender,88,10,0.008196590159799106,50,0.014488658571128053
ImplicitALSRecommender,64,4,0.007468224164656934,58,0.014369881937422696
ImplicitALSRecommender,97,7,0.009005468415322872,52,0.014548920172861099
ImplicitALSRecommender,76,14,0.008517436246132439,56,0.014193029386679214
ImplicitALSRecommender,51,3,0.007804172793632004,48,0.01397193205032675
ImplicitALSRecommender,126,12,0.009221129571942205,53,0.014205477899464263
ImplicitALSRecommender,84,9,0.00882846964629421,62,0.014542899155475188
ImplicitALSRecommender,109,1,0.009895707739913813,71,0.01264814590642068
ImplicitALSRecommender,65,7,0.008075598511004643,45,0.014496665495693568
ImplicitALSRecommender,96,6,0.009041309175061615,52,0.014651473289944171
ImplicitALSRecommender,91,5,0.009163348905646726,50,0.014624183879181045
ImplicitALSRecommender,141,5,0.009410642193427804,100,0.014366262206208643
ImplicitALSRecommender,94,3,0.009059333276354237,51,0.014091637352778009
ImplicitALSRecommender,110,58,0.009693244449983556,49,0.010699351850533481
ImplicitALSRecommender,78,6,0.008821719667667515,46,0.014448376698900239
ImplicitALSRecommender,129,8,0.009227377797204141,43,0.014416037466393968
ImplicitALSRecommender,95,12,0.00942920326074388,40,0.014404302020878255
ImplicitALSRecommender,62,3,0.009592533206026765,35,0.014124385041292794
ImplicitALSRecommender,81,15,0.0030598702647937574,48,0.014141820079974448
ImplicitALSRecommender,63,10,0.008403369185022576,54,0.01460003453579624
ImplicitALSRecommender,51,9,0.008619044285152616,53,0.014493907181388531
ImplicitALSRecommender,72,6,0.009015900943664243,57,0.014660775801365085
ImplicitALSRecommender,105,5,0.009006922160545458,57,0.014523137994439658
ImplicitALSRecommender,77,1,0.009168026671673216,59,0.012660474750496113
ImplicitALSRecommender,91,6,0.009946198438562705,60,0.014648376738460171
ImplicitALSRecommender,116,6,0.009836393517927026,64,0.014659533620380201
ImplicitALSRecommender,123,11,0.009991558480810634,68,0.014271802056482192
ImplicitALSRecommender,151,8,0.009801160009724863,64,0.014470662770807533
ImplicitALSRecommender,113,3,0.009717088167272327,62,0.014152716855525882
ImplicitALSRecommender,89,6,0.009362001696182523,60,0.014586651420279808
ImplicitALSRecommender,99,5,0.009537419283022212,55,0.014564625454741336
ImplicitALSRecommender,68,7,0.009864848933041055,65,0.014670692480295263
ImplicitALSRecommender,68,8,0.009923327190069177,70,0.014803458485045624
ImplicitALSRecommender,73,11,0.009925539064293954,74,0.01454191312486854
ImplicitALSRecommender,132,9,0.009481562753410992,71,0.014460443458611773
ImplicitALSRecommender,66,7,0.009823629284514038,66,0.014729235204200367
ImplicitALSRecommender,99,13,0.009839300171472078,65,0.014179147816372592
ImplicitALSRecommender,117,2,0.00998489861350521,67,0.01363852414657448
ImplicitALSRecommender,64,7,0.009621056390149579,70,0.014614277090226696
ImplicitALSRecommender,64,6,0.009670053604465266,70,0.014536774293341517
ImplicitALSRecommender,83,7,0.009584285846492015,69,0.014614100059656467
ImplicitALSRecommender,85,4,0.009604096734545986,73,0.01445388145953903
ImplicitALSRecommender,81,7,0.009815280581107514,66,0.014599678496660403
ImplicitALSRecommender,100,4,0.009984519803806846,69,0.01437072159638471
ImplicitALSRecommender,74,7,0.009359668019170653,63,0.01451195836557476
ImplicitALSRecommender,739,3,0.00916914041231924,73,0.010861533610885975
ImplicitALSRecommender,109,1,0.009562056656066928,67,0.012702696047016588
ImplicitALSRecommender,51,11,0.00977532254153652,69,0.014462835843804927
ImplicitALSRecommender,89,6,0.009391099300806642,61,0.014612333709943689
ImplicitALSRecommender,89,6,0.009482538104583787,64,0.014436565100569296
ImplicitALSRecommender,65,8,0.009029464971017892,61,0.014525591697483903
ImplicitALSRecommender,93,5,0.009222818041447204,65,0.01450862346566926
ImplicitALSRecommender,78,9,0.009671431148550593,78,0.014604509749934094
ImplicitALSRecommender,115,9,0.009705708956289751,82,0.014557324674461693
ImplicitALSRecommender,79,13,0.00999501998285969,77,0.014161541681106182
