recommender,factors,alpha,regularization,iterations,MAP
ImplicitALSRecommender,310,38,0.004030826053733353,15,0.012046067903784308
ImplicitALSRecommender,354,26,0.004817368471788947,74,0.012808257694797319
ImplicitALSRecommender,264,41,0.0027520794544014016,22,0.012098949605429891
ImplicitALSRecommender,378,11,0.00279409035075471,82,0.013511969046748992
ImplicitALSRecommender,280,45,0.0005622586751787124,17,0.011791381241959786
ImplicitALSRecommender,232,15,0.004625619328055178,50,0.013836862670167113
ImplicitALSRecommender,252,32,0.007132704902920491,46,0.012849825263904472
ImplicitALSRecommender,342,12,0.00035376578353726125,25,0.013402460309548638
ImplicitALSRecommender,353,35,0.003945788295081816,15,0.012107014880853856
ImplicitALSRecommender,337,1,0.003784690924542873,98,0.011051356865146985
ImplicitALSRecommender,204,18,0.009489659866275754,50,0.013498121102360781
ImplicitALSRecommender,400,10,0.006726841421810736,77,0.013449277477914037
ImplicitALSRecommender,212,18,0.0021015963108538364,68,0.013686299653613721
ImplicitALSRecommender,202,21,0.0016914680680750816,58,0.013457861977077707
ImplicitALSRecommender,235,4,0.006409522996468634,36,0.013668667804409802
ImplicitALSRecommender,226,26,0.0017887452228868947,60,0.013019779556391444
ImplicitALSRecommender,300,18,0.008245083251056605,70,0.013460322603105273
ImplicitALSRecommender,227,30,0.005730160836183401,39,0.012828368960983227
ImplicitALSRecommender,273,15,0.005078630218246285,89,0.013682056853911842
ImplicitALSRecommender,245,6,0.0022424314897142067,65,0.013995490962144572
ImplicitALSRecommender,246,7,0.0034063738677117595,63,0.014049038259174564
ImplicitALSRecommender,250,4,0.003166662460049023,60,0.013602971660867403
ImplicitALSRecommender,248,8,0.0050133816140444255,65,0.014084469098176842
ImplicitALSRecommender,292,7,0.0012396091801738917,65,0.013848868112027568
ImplicitALSRecommender,260,7,0.0057170980513068645,86,0.014013550058311508
ImplicitALSRecommender,263,2,0.0057296672669248086,88,0.012565800977288296
ImplicitALSRecommender,320,8,0.007783882904364372,83,0.013811678835293377
ImplicitALSRecommender,284,22,0.005757264799907678,95,0.013278481548469874
ImplicitALSRecommender,265,13,0.005248405072494162,81,0.013881324046250526
ImplicitALSRecommender,315,49,0.004305392670868734,73,0.012216085492117688
ImplicitALSRecommender,301,8,0.003728177636955605,54,0.013830526162547178
ImplicitALSRecommender,246,5,0.0032777177770554277,64,0.01381037335846208
ImplicitALSRecommender,243,1,0.0026360122630647914,77,0.01165311739955381
ImplicitALSRecommender,217,7,0.00441884803238885,42,0.014166978200910662
ImplicitALSRecommender,216,10,0.0046819670162482376,28,0.014049391331317558
ImplicitALSRecommender,215,11,0.004678615135432362,31,0.014094931703781993
ImplicitALSRecommender,215,14,0.004478897864245828,29,0.01370697563742902
ImplicitALSRecommender,218,11,0.004800110123703812,39,0.013932730163477612
ImplicitALSRecommender,200,10,0.005144223836221091,31,0.01409562202410644
ImplicitALSRecommender,204,23,0.006522110842640685,20,0.013099642101549033
ImplicitALSRecommender,232,15,0.005348997598224073,10,0.013310477598809094
ImplicitALSRecommender,216,10,0.004158829452859137,30,0.014101805237098553
ImplicitALSRecommender,222,10,0.004112705675195178,35,0.014086370940560589
ImplicitALSRecommender,200,17,0.0039243122332285425,33,0.013601078719461965
ImplicitALSRecommender,223,12,0.004260992581241811,45,0.013944915602901137
ImplicitALSRecommender,209,40,0.0035365193297994483,44,0.012000423686572014
ImplicitALSRecommender,236,10,0.0029939911085260754,23,0.013826706653817905
ImplicitALSRecommender,223,3,0.004137402032506252,32,0.013443709421428867
ImplicitALSRecommender,212,17,0.006042235251884301,41,0.013761853136230304
ImplicitALSRecommender,236,10,0.007178964323489424,50,0.01405148405023814
ImplicitALSRecommender,209,20,0.004668795159401261,26,0.013339828080569625
ImplicitALSRecommender,220,13,0.005233069442025563,34,0.013957249391964499
ImplicitALSRecommender,229,9,0.004943784164686682,18,0.013858936107590527
ImplicitALSRecommender,208,29,0.006205626844026923,31,0.012698229733857157
ImplicitALSRecommender,257,4,0.003987343732193638,24,0.013537150903627683
