recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,148,129,asym,bm25plus,0.016759243132180118
ItemKNNCFRecommender,12,1548,asym,bm25plus,0.01693631491256321
ItemKNNCFRecommender,135,389,cosine,bm25plus,0.016898577735853584
ItemKNNCFRecommender,110,1884,rp3beta,bm25plus,0.015270817507497059
ItemKNNCFRecommender,154,1576,jaccard,bm25plus,0.017082661744137164
ItemKNNCFRecommender,167,1494,rp3beta,tfidf,0.014068487857056057
ItemKNNCFRecommender,111,854,cosine,bm25,0.016942093663070458
ItemKNNCFRecommender,48,1804,jaccard,bm25,0.016933686966975236
ItemKNNCFRecommender,32,385,cosine,tfidf,0.016025430683412917
ItemKNNCFRecommender,78,517,dice,bm25,0.01700088749806077
ItemKNNCFRecommender,109,1622,dice,bm25plus,0.017011678353037362
ItemKNNCFRecommender,65,167,rp3beta,bm25,0.015570334596921734
ItemKNNCFRecommender,133,1080,rp3beta,tfidf,0.014365459526453623
ItemKNNCFRecommender,196,1229,jaccard,bm25plus,0.01706276655606124
ItemKNNCFRecommender,198,1260,jaccard,bm25plus,0.01704816681260611
ItemKNNCFRecommender,168,1330,jaccard,bm25plus,0.01706617329150459
ItemKNNCFRecommender,154,1483,asym,bm25plus,0.016925049892523577
ItemKNNCFRecommender,165,847,jaccard,bm25plus,0.017010183657262045
ItemKNNCFRecommender,140,1674,jaccard,bm25plus,0.01709145358391545
ItemKNNCFRecommender,139,1981,asym,bm25plus,0.016976847237615725
ItemKNNCFRecommender,87,1682,jaccard,bm25plus,0.01708640696330759
ItemKNNCFRecommender,84,1755,jaccard,bm25plus,0.01709693106578768
ItemKNNCFRecommender,22,1784,jaccard,tfidf,0.01596312482590461
ItemKNNCFRecommender,93,1992,cosine,bm25plus,0.016972596955548657
ItemKNNCFRecommender,85,1574,jaccard,bm25plus,0.01707394247450049
ItemKNNCFRecommender,59,1714,jaccard,bm25plus,0.017088350425707863
ItemKNNCFRecommender,50,1401,jaccard,bm25plus,0.017070857479208237
ItemKNNCFRecommender,65,1734,asym,bm25plus,0.016954115495504254
ItemKNNCFRecommender,126,1177,jaccard,bm25plus,0.017056991489787062
ItemKNNCFRecommender,12,885,dice,bm25plus,0.016893395581781632
ItemKNNCFRecommender,44,1851,jaccard,bm25,0.01691845032511087
ItemKNNCFRecommender,97,1455,jaccard,bm25plus,0.017068801475640823
ItemKNNCFRecommender,69,1950,jaccard,tfidf,0.01601169050049615
ItemKNNCFRecommender,119,1847,dice,bm25plus,0.017031600537110198
ItemKNNCFRecommender,79,1729,jaccard,bm25plus,0.017091797927144707
ItemKNNCFRecommender,75,1632,jaccard,bm25plus,0.017083012624429007
ItemKNNCFRecommender,56,1689,jaccard,bm25plus,0.017084524367649692
ItemKNNCFRecommender,97,1533,rp3beta,bm25plus,0.015399895960719653
ItemKNNCFRecommender,34,1375,cosine,bm25plus,0.016908182136705686
ItemKNNCFRecommender,105,1757,jaccard,bm25plus,0.01710103045511702
ItemKNNCFRecommender,106,1868,jaccard,bm25,0.016992486722157977
ItemKNNCFRecommender,117,1586,asym,tfidf,0.01616567750500703
ItemKNNCFRecommender,151,1774,cosine,bm25plus,0.016960281631730467
ItemKNNCFRecommender,137,727,rp3beta,bm25,0.014365985260857458
ItemKNNCFRecommender,80,1723,jaccard,bm25plus,0.017093400333669073
ItemKNNCFRecommender,79,1914,jaccard,bm25plus,0.017108194980467218
ItemKNNCFRecommender,80,1848,jaccard,bm25plus,0.01710598305156473
ItemKNNCFRecommender,102,1875,jaccard,bm25plus,0.01710338343201835
ItemKNNCFRecommender,102,1920,jaccard,bm25plus,0.01710779981137277
ItemKNNCFRecommender,101,1910,dice,tfidf,0.015969599023773803
ItemKNNCFRecommender,113,1908,jaccard,bm25plus,0.01710619297582611
ItemKNNCFRecommender,116,2000,jaccard,bm25,0.016980105713405833
ItemKNNCFRecommender,91,1872,rp3beta,bm25plus,0.015493308037904038
ItemKNNCFRecommender,129,1915,jaccard,bm25plus,0.01711357881603677
ItemKNNCFRecommender,127,1908,jaccard,bm25plus,0.017109417723751033
ItemKNNCFRecommender,123,1920,jaccard,bm25plus,0.017111262805142174
