recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,785,1221,rp3beta,tfidf,0.01231858223633761
ItemKNNCFRecommender,526,970,dice,bm25,0.017354986248977265
ItemKNNCFRecommender,712,108,rp3beta,tfidf,0.012143708669790691
ItemKNNCFRecommender,135,726,asym,tfidf,0.016086883636916044
ItemKNNCFRecommender,200,318,rp3beta,bm25,0.013718550865333476
ItemKNNCFRecommender,337,791,dice,bm25plus,0.016841230676964768
ItemKNNCFRecommender,500,1541,dice,bm25,0.017267370951637082
ItemKNNCFRecommender,225,1292,rp3beta,bm25,0.013648377529658277
ItemKNNCFRecommender,75,991,asym,bm25,0.01674740447469977
ItemKNNCFRecommender,194,810,dice,bm25plus,0.016788873144046985
ItemKNNCFRecommender,50,303,rp3beta,bm25,0.015821842170224636
ItemKNNCFRecommender,802,1099,dice,tfidf,0.016412515052543472
ItemKNNCFRecommender,919,527,rp3beta,tfidf,0.012149392438995085
ItemKNNCFRecommender,790,1913,cosine,tfidf,0.016334183475669842
ItemKNNCFRecommender,927,554,rp3beta,tfidf,0.012149478481786245
ItemKNNCFRecommender,371,488,jaccard,bm25,0.01718875256545966
ItemKNNCFRecommender,900,1847,asym,bm25plus,0.0168685131647447
ItemKNNCFRecommender,609,1249,jaccard,bm25plus,0.017006711733309126
ItemKNNCFRecommender,122,1148,asym,tfidf,0.016110852982737657
ItemKNNCFRecommender,94,435,cosine,bm25,0.017040046886398083
ItemKNNCFRecommender,770,1498,jaccard,bm25plus,0.017053458682844955
ItemKNNCFRecommender,967,1374,cosine,bm25plus,0.01687449066623611
ItemKNNCFRecommender,271,1465,asym,tfidf,0.01619555469314971
ItemKNNCFRecommender,493,309,cosine,bm25plus,0.016858430334217866
ItemKNNCFRecommender,741,999,rp3beta,bm25plus,0.012741859362959367
ItemKNNCFRecommender,165,862,cosine,tfidf,0.016054454405628284
ItemKNNCFRecommender,926,1541,rp3beta,bm25,0.012280339677159951
ItemKNNCFRecommender,487,1816,rp3beta,tfidf,0.01270178715822264
ItemKNNCFRecommender,663,1634,cosine,bm25,0.01680166780599181
ItemKNNCFRecommender,542,1631,rp3beta,tfidf,0.012608890613701124
ItemKNNCFRecommender,503,1131,cosine,bm25,0.01681638804626282
ItemKNNCFRecommender,104,536,asym,bm25,0.017073068527248023
ItemKNNCFRecommender,975,811,dice,tfidf,0.016412954167477584
ItemKNNCFRecommender,284,1704,dice,tfidf,0.016155167987176346
ItemKNNCFRecommender,139,1596,rp3beta,bm25plus,0.014912892058428391
ItemKNNCFRecommender,314,410,asym,bm25plus,0.016869568425183456
