recommender,shrink,topk,similarity,feature_weighting,MAP
ItemKNNCFRecommender,888,844,cosine,TF-IDF,0.01700016753619333
ItemKNNCFRecommender,661,1816,cosine,TF-IDF,0.0168823146262459
ItemKNNCFRecommender,988,1957,cosine,TF-IDF,0.016803111742487192
ItemKNNCFRecommender,563,1012,cosine,TF-IDF,0.0169846204939291
ItemKNNCFRecommender,449,1638,cosine,TF-IDF,0.016948000879812162
ItemKNNCFRecommender,648,696,cosine,TF-IDF,0.01708629538114377
ItemKNNCFRecommender,167,1909,cosine,TF-IDF,0.016903739281243963
ItemKNNCFRecommender,418,812,cosine,TF-IDF,0.017047731397746277
ItemKNNCFRecommender,616,164,cosine,TF-IDF,0.017317864224079844
ItemKNNCFRecommender,695,687,cosine,TF-IDF,0.017102730543252342
ItemKNNCFRecommender,372,1768,cosine,TF-IDF,0.016909484368299487
ItemKNNCFRecommender,226,316,cosine,TF-IDF,0.017265476032236517
ItemKNNCFRecommender,260,1534,cosine,TF-IDF,0.016966285467431865
ItemKNNCFRecommender,393,294,cosine,TF-IDF,0.017274604480079867
ItemKNNCFRecommender,801,1071,cosine,TF-IDF,0.01695964731554403
ItemKNNCFRecommender,89,1096,cosine,TF-IDF,0.017002246409147496
ItemKNNCFRecommender,360,1835,cosine,TF-IDF,0.016903416868026547
ItemKNNCFRecommender,747,1430,cosine,TF-IDF,0.01689699926260338
ItemKNNCFRecommender,729,429,cosine,TF-IDF,0.017195723020540937
ItemKNNCFRecommender,733,1551,cosine,TF-IDF,0.016873217826325632
ItemKNNCFRecommender,975,988,cosine,TF-IDF,0.0169226924312409
ItemKNNCFRecommender,486,1033,cosine,TF-IDF,0.016995662652127572
ItemKNNCFRecommender,861,1787,cosine,TF-IDF,0.01684102793245697
ItemKNNCFRecommender,138,1272,cosine,TF-IDF,0.016961660914656545
ItemKNNCFRecommender,694,1893,cosine,TF-IDF,0.016862830384538063
ItemKNNCFRecommender,169,1845,cosine,TF-IDF,0.016913761782917362
ItemKNNCFRecommender,622,1651,cosine,TF-IDF,0.016899753620917935
ItemKNNCFRecommender,337,729,cosine,TF-IDF,0.01710572226099087
ItemKNNCFRecommender,221,913,cosine,TF-IDF,0.0170267428906896
ItemKNNCFRecommender,915,722,cosine,TF-IDF,0.01702690409729825
ItemKNNCFRecommender,974,1804,cosine,TF-IDF,0.01684042859991166
ItemKNNCFRecommender,437,1194,cosine,TF-IDF,0.016964697137287044
ItemKNNCFRecommender,106,883,cosine,TF-IDF,0.017049713348935697
ItemKNNCFRecommender,214,1279,cosine,TF-IDF,0.016963550889069243
ItemKNNCFRecommender,966,1985,cosine,TF-IDF,0.01680616082208645
ItemKNNCFRecommender,986,467,cosine,TF-IDF,0.017113939842045067
ItemKNNCFRecommender,108,1196,cosine,TF-IDF,0.016980131433824923
ItemKNNCFRecommender,750,304,cosine,TF-IDF,0.017281062634404657
ItemKNNCFRecommender,311,1507,cosine,TF-IDF,0.016956979989018114
ItemKNNCFRecommender,138,1292,cosine,TF-IDF,0.016970418488400175
ItemKNNCFRecommender,430,1043,cosine,TF-IDF,0.016996182864864918
ItemKNNCFRecommender,369,697,cosine,TF-IDF,0.017091598386272337
ItemKNNCFRecommender,326,1539,cosine,TF-IDF,0.016963411440407684
ItemKNNCFRecommender,741,1494,cosine,TF-IDF,0.016877586228722676
ItemKNNCFRecommender,472,923,cosine,TF-IDF,0.016993479934425442
ItemKNNCFRecommender,911,1989,cosine,TF-IDF,0.016815261577997082
ItemKNNCFRecommender,181,1243,cosine,TF-IDF,0.016962798261895968
ItemKNNCFRecommender,30,721,cosine,TF-IDF,0.017099623112794723
ItemKNNCFRecommender,124,906,cosine,TF-IDF,0.017033189177043148
ItemKNNCFRecommender,797,995,cosine,TF-IDF,0.016950438758895042
ItemKNNCFRecommender,897,1550,cosine,TF-IDF,0.0168343423086843
ItemKNNCFRecommender,774,1325,cosine,TF-IDF,0.016904266416964554
ItemKNNCFRecommender,416,952,cosine,TF-IDF,0.017016974561399282
ItemKNNCFRecommender,704,1037,cosine,TF-IDF,0.01697206319140821
ItemKNNCFRecommender,317,1927,cosine,TF-IDF,0.016917739531262566
ItemKNNCFRecommender,244,1136,cosine,TF-IDF,0.01698035395828484
ItemKNNCFRecommender,167,1039,cosine,TF-IDF,0.016994262231526717
ItemKNNCFRecommender,397,1706,cosine,TF-IDF,0.016919291268496173
