recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.0010406189975667784,0.004379174807203446,225,0.01816220015570755
SLIMElasticNetRecommender,0.006821359624301518,0.0026392213777331293,185,0.018766232417600382
SLIMElasticNetRecommender,0.0004352164527975809,0.005000946027467922,219,0.016633477885222556
SLIMElasticNetRecommender,0.004856279824329563,0.00901609722268022,363,0.018940494783630767
SLIMElasticNetRecommender,0.004787512350384097,0.0074481042334530465,120,0.018850155786901576
SLIMElasticNetRecommender,0.0056090580766018664,0.0025526609789306856,127,0.018829827930241304
SLIMElasticNetRecommender,0.00045742996969122475,0.008817952711905037,154,0.016614998465075737
SLIMElasticNetRecommender,0.008330460082860248,0.004823004462237714,329,0.01862935811682173
SLIMElasticNetRecommender,0.003073254013153876,0.005551431010776944,303,0.019054283902441724
SLIMElasticNetRecommender,0.0031694454382008093,0.008550451449100169,101,0.01891588951235261
SLIMElasticNetRecommender,0.008784466929451753,0.002760659908713004,214,0.018660898239267507
SLIMElasticNetRecommender,0.007029031976455134,0.007529236440436666,389,0.01870094571906426
SLIMElasticNetRecommender,0.00646833403205726,0.004315205068149015,384,0.018851783676950378
SLIMElasticNetRecommender,0.0029908408773215342,0.008298990903734742,315,0.019082110338901424
SLIMElasticNetRecommender,0.007208551492934923,0.0079337468087301,332,0.018657518834470033
SLIMElasticNetRecommender,0.0011494043214449006,0.0054148854560235726,290,0.018436282049455997
SLIMElasticNetRecommender,0.006571505090020478,0.007239360925562383,366,0.01879108493827836
SLIMElasticNetRecommender,0.005888148842615874,0.0033619617958607077,365,0.018936007701521804
SLIMElasticNetRecommender,0.008096343853407137,0.0009122669366752001,88,0.018649685973481926
SLIMElasticNetRecommender,0.009973664533252189,0.007800710835389532,399,0.018290483034339337
SLIMElasticNetRecommender,0.000332210928861182,0.002290456648810721,218,0.016000342390969077
SLIMElasticNetRecommender,0.005518273231721448,0.0050738609049383685,160,0.01885407716238366
SLIMElasticNetRecommender,0.0036575903445558227,0.0036754514786910895,150,0.018915621494003127
SLIMElasticNetRecommender,0.0037755563351939865,0.0025602459720054506,89,0.018843375219359394
SLIMElasticNetRecommender,0.007505557619260103,0.008882928817982886,81,0.018552934316317566
SLIMElasticNetRecommender,0.0008665778357273308,0.0065132111511639655,142,0.017744059882617753
SLIMElasticNetRecommender,0.0012343410276842715,0.004783626512384086,367,0.018602252659612028
SLIMElasticNetRecommender,0.005914530591155998,0.009686425817537429,130,0.018778922245799606
SLIMElasticNetRecommender,0.009340145026542665,0.008956602006558277,105,0.01840304876311974
SLIMElasticNetRecommender,0.004297740437586143,0.0038485811861311186,42,0.018669825920598262
SLIMElasticNetRecommender,0.0009912797454420864,0.002709471756978894,129,0.01780525410908704
SLIMElasticNetRecommender,0.009337523453602788,0.005602374668279925,314,0.01846806052032325
SLIMElasticNetRecommender,0.00022509710359686435,0.002207065195912467,102,0.014642834395912602
SLIMElasticNetRecommender,0.004213360331442298,0.007823493386371894,363,0.019062999938286227
SLIMElasticNetRecommender,0.008664257571589416,0.005222295141031268,322,0.0185838869741893
SLIMElasticNetRecommender,0.0073409292564149825,0.0013434136917971726,103,0.01868577251789265
SLIMElasticNetRecommender,0.007040003961129729,0.003331567741262879,73,0.01865761476723714
SLIMElasticNetRecommender,0.009966289548626208,0.008279105385609008,131,0.0183479418168754
SLIMElasticNetRecommender,0.0003913974092659631,0.004179359638745377,114,0.015746860328220695
SLIMElasticNetRecommender,0.009016991996534558,0.008357399232355938,162,0.018442883608432714
SLIMElasticNetRecommender,0.009088091828923941,0.009248961896138443,58,0.018290489957322496
SLIMElasticNetRecommender,0.007207451565760228,0.003509810692283033,230,0.018830132541502006
SLIMElasticNetRecommender,0.0012737349943066452,0.009476433361847838,93,0.018263212414530678
SLIMElasticNetRecommender,0.008118928754102852,0.00914667222620876,145,0.01855642844483661
SLIMElasticNetRecommender,0.008489080630389521,0.0017250346462927765,337,0.018735547778078156
SLIMElasticNetRecommender,0.006836705236726957,0.009712304161231904,141,0.018686191852874814
SLIMElasticNetRecommender,0.003594167811657879,0.004059280849246312,232,0.01899050542524489
SLIMElasticNetRecommender,0.004505000193420643,0.0058447910732641745,134,0.0188862848582091
SLIMElasticNetRecommender,0.004368595796686403,0.0020452610925305037,353,0.018999913759408953
SLIMElasticNetRecommender,0.0004780702294748955,0.0012758419834498244,94,0.015922594322679146
