recommender,alpha,beta,topk,MAP
RP3betaRecommender,0.6004205428810041,0.5799425236445764,398,0.017700104873305245
RP3betaRecommender,0.4770544043893633,0.22623737980289454,55,0.018279598126759097
RP3betaRecommender,0.8096440161077795,0.18055202803889936,413,0.016253129188404655
RP3betaRecommender,0.331030582402876,0.31316903145500385,478,0.016957166909564298
RP3betaRecommender,0.5009393040714873,0.6709857360734787,312,0.016158617610803273
RP3betaRecommender,0.6976367927525764,0.7309737510470922,267,0.014349689573433608
RP3betaRecommender,0.7869875971657466,0.8902211556078428,216,0.007865671972441098
RP3betaRecommender,0.6753642219996607,0.3748578571803539,386,0.017452031638428633
RP3betaRecommender,0.5235549304697187,0.2508173330567264,238,0.017542526896778494
RP3betaRecommender,0.5005389548150808,0.14945788613434444,375,0.016462557342080672
RP3betaRecommender,0.13590697110102484,0.43712040338455754,38,0.017761547338172062
RP3betaRecommender,0.10243504951765803,0.42166026035595094,59,0.018013874251724245
RP3betaRecommender,0.3120873528410303,0.5060105981525012,11,0.015900842309475523
RP3betaRecommender,0.11690019657217834,0.27320101918838957,113,0.018090238712372322
RP3betaRecommender,0.347468433310082,0.26541208932175997,135,0.018221577593586655
RP3betaRecommender,0.3434036454959816,0.15935746975613357,143,0.017982834562063704
RP3betaRecommender,0.40443336972622473,0.3264273654944639,134,0.018270060233909504
RP3betaRecommender,0.24131079504785596,0.34739233308491946,81,0.018371899294725807
RP3betaRecommender,0.23393564471474493,0.5253722450360967,83,0.01757301868176888
RP3betaRecommender,0.24071633095902065,0.10144012384257883,176,0.017652292773354717
RP3betaRecommender,0.4142914832113578,0.3889587265617864,192,0.01817106750818471
RP3betaRecommender,0.42364888529343236,0.3168211907842058,90,0.01847030752286922
RP3betaRecommender,0.2228777676939883,0.22362704644302353,82,0.018229930667311958
RP3betaRecommender,0.4199319707569767,0.348831702509909,20,0.01704839996012352
RP3betaRecommender,0.5767123024853107,0.4635310465420551,94,0.01825101312914074
RP3betaRecommender,0.4309286320862298,0.21566971364210596,66,0.0183310863307869
RP3betaRecommender,0.2811583411614454,0.30095785832223787,156,0.01808535306423079
RP3betaRecommender,0.19526818157608364,0.5689934545527784,109,0.01704186960897398
RP3betaRecommender,0.3891440746574033,0.2057657029214882,296,0.01706847166640533
RP3betaRecommender,0.8931537850011605,0.6225049481253534,61,0.016890039686495602
RP3betaRecommender,0.5710575730178907,0.3954794211268382,199,0.01817990420173634
RP3betaRecommender,0.4616802704413805,0.22694130403806267,48,0.018053274927090912
RP3betaRecommender,0.4480594826867384,0.1361773619930869,59,0.01746029471337258
RP3betaRecommender,0.6267601695366266,0.1949286436304022,11,0.013056736418689827
RP3betaRecommender,0.4651800201897414,0.2984558285120503,77,0.018476746886239712
RP3betaRecommender,0.5339726524009929,0.29971430975949576,104,0.018445087095084297
RP3betaRecommender,0.5368511693685633,0.3401449065370756,165,0.018212566836457517
RP3betaRecommender,0.6252726089333113,0.28848038435727136,117,0.018411085357613297
RP3betaRecommender,0.6582272667782642,0.29038088342328094,115,0.0183776819636901
RP3betaRecommender,0.74566320143789,0.4591465071065619,493,0.017574189654926665
RP3betaRecommender,0.6242798106350924,0.8060540266285505,211,0.01137110176706211
RP3betaRecommender,0.6785266458737365,0.2957528536019255,105,0.018505335839848615
RP3betaRecommender,0.7213909350107506,0.3035911713927057,109,0.01844866924438977
RP3betaRecommender,0.730659190146452,0.37471447010738723,97,0.01853399699028219
RP3betaRecommender,0.7414737306255388,0.3715351007160044,235,0.01788988164467906
RP3betaRecommender,0.8436266568492082,0.4218706456201773,29,0.01808843972573894
RP3betaRecommender,0.7088268818153588,0.2567987118260839,137,0.018159173823053026
RP3betaRecommender,0.7941067368020931,0.47004252881974773,46,0.017969490017453616
RP3betaRecommender,0.7607266211352565,0.32617108375261034,328,0.017311650352162068
RP3betaRecommender,0.830644426779338,0.3743227563007589,443,0.017193462172028412
RP3betaRecommender,0.7051342951044667,0.24735891973634555,178,0.01779427920272523
RP3betaRecommender,0.4969847190623552,0.31433331850536034,100,0.01848712147105852
RP3betaRecommender,0.4876385362392576,0.4173172416424499,82,0.018354736230384097
RP3betaRecommender,0.3757699736736255,0.3544200489108366,126,0.018325912884344004
RP3betaRecommender,0.5096990206486832,0.32277681322921314,151,0.01825599767704223
RP3betaRecommender,0.6686545135793833,0.18215935072851655,95,0.01840530268864897
RP3betaRecommender,0.5627507727459755,0.24670351818802522,72,0.01851417154440253
RP3betaRecommender,0.570058643716014,0.2589596320392519,35,0.01797608168645446
RP3betaRecommender,0.4741145288414699,0.1647522628447443,72,0.018157586481905786
RP3betaRecommender,0.588694207899683,0.23400035506123967,93,0.018416559459326614
RP3betaRecommender,0.5478178548638171,0.404334497000782,42,0.01831111055727217
RP3betaRecommender,0.7234438329278449,0.27676527558814046,122,0.018290693690828003
RP3betaRecommender,0.7635684834455148,0.29841409037844896,71,0.018583253026728044
RP3betaRecommender,0.7802695628561639,0.35771244882200104,72,0.018574680395535493
RP3betaRecommender,0.7742774371627221,0.3584154820035661,75,0.018588868555097997
RP3betaRecommender,0.7834181063498842,0.5024230697885077,28,0.017682626318729223
RP3betaRecommender,0.8679122254736217,0.35666288792124523,53,0.018488538704618654
RP3betaRecommender,0.8737822656768895,0.36560731277276437,63,0.018521148922467066
RP3betaRecommender,0.8123054407044686,0.3861654555636101,68,0.018552801790639173
RP3betaRecommender,0.8909845218073683,0.43474729410895974,60,0.018290467210377775
RP3betaRecommender,0.8316407451283925,0.3903525342896547,73,0.018463901785417364
RP3betaRecommender,0.778385803014732,0.4510482410146194,24,0.01781412541755457
RP3betaRecommender,0.7997437510102945,0.3751509185326103,70,0.018550599292985106
RP3betaRecommender,0.8060354574383559,0.37693216078273867,10,0.015606758928274716
RP3betaRecommender,0.8542805973368514,0.3336707360565959,67,0.01855524758170279
RP3betaRecommender,0.8548724610586763,0.5320017866597316,38,0.017601440494783523
RP3betaRecommender,0.8170001610644793,0.4031588349083249,53,0.018271740540831125
RP3betaRecommender,0.8740953794194826,0.4813969131003388,85,0.018147218820070293
