recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.004507130907416967,0.001764808503055273,278,0.019370488192950654
SLIMElasticNetRecommender,0.0061021866937600614,0.003822416393005839,156,0.01924334167256072
SLIMElasticNetRecommender,0.00469206078561508,0.004321517545571476,125,0.019349046724993473
SLIMElasticNetRecommender,0.0011119295891022847,0.006724895303769243,67,0.018194570047139463
SLIMElasticNetRecommender,0.008655607042220346,0.004876252626204,284,0.019049527812985835
SLIMElasticNetRecommender,0.009792656807544554,0.000967714839685214,185,0.01899599139492945
SLIMElasticNetRecommender,0.0065667748123338044,0.0022976603067260746,103,0.01917566061083626
SLIMElasticNetRecommender,0.0019761443041264593,0.006410525810866221,97,0.019042998450833862
SLIMElasticNetRecommender,0.0018557148353412383,0.0063643158079593806,123,0.01908037860410477
SLIMElasticNetRecommender,0.0011758896690804985,0.009893071989187353,121,0.018640597085542575
SLIMElasticNetRecommender,0.004151108780350886,0.0006998493438060875,277,0.019395109288190368
SLIMElasticNetRecommender,0.004158621080493333,0.0001171652698093691,282,0.019376537891266848

SLIMElasticNetRecommender,0.007204737792988125,0.009980989478376457,202,0.019063839597248326

SLIMElasticNetRecommender,0.009006763316130392,0.0035474289925714725,61,0.01889559923760127

SLIMElasticNetRecommender,0.004625419397469884,0.0011386584626450565,173,0.019354220171436454

SLIMElasticNetRecommender,0.006598082911101421,0.009636770660644202,172,0.01913086989855234

SLIMElasticNetRecommender,0.008426988635657572,0.008480234743876146,113,0.018933825972817373

SLIMElasticNetRecommender,0.004784938989509165,0.0037656996448190826,163,0.019397995183185735

SLIMElasticNetRecommender,0.0010495459361286909,0.0029210502093725095,188,0.01856488635230767

SLIMElasticNetRecommender,0.00479879274328569,0.009416228706208184,169,0.01935918296139081

SLIMElasticNetRecommender,0.006130359492991206,0.006358229971598174,220,0.01924378573248291

SLIMElasticNetRecommender,0.0034207796568106845,0.009218665023950976,202,0.019497001754876994

SLIMElasticNetRecommender,0.0019094271355202148,0.006910010458202519,296,0.019349050680983852

SLIMElasticNetRecommender,0.0030109279925097836,0.00540085445541969,250,0.01943768761284431

SLIMElasticNetRecommender,0.0027974655266147556,0.005859637489633002,263,0.019470314643651974

SLIMElasticNetRecommender,0.0032335276651947386,0.007429715042380365,259,0.019500831153582275

SLIMElasticNetRecommender,0.0033659440094214316,0.007876976229941754,245,0.019505296477744

SLIMElasticNetRecommender,0.0012784416575274,0.007837280893114374,286,0.019018957897185076

SLIMElasticNetRecommender,0.0003452994354918395,0.007583836503255993,236,0.016665793381786333

SLIMElasticNetRecommender,0.0037624414223939784,0.007128510943574593,272,0.019479317488800264

SLIMElasticNetRecommender,0.005707178654516833,0.008187118805421096,139,0.01923356839828243

SLIMElasticNetRecommender,0.002478355648684748,0.004910300300437642,231,0.019420281255092976

SLIMElasticNetRecommender,0.00414985862859853,0.00013851971605677565,256,0.019346084677182948

SLIMElasticNetRecommender,0.003471658879554067,0.008835766492242061,205,0.0195017687233066

SLIMElasticNetRecommender,0.0019000868036586085,0.008673226291215334,213,0.0193352086705812

SLIMElasticNetRecommender,0.0035456129305221494,0.0072830993867147534,235,0.019522493168004175

SLIMElasticNetRecommender,0.004250879684489242,0.009033754110622398,239,0.019440418235216535

SLIMElasticNetRecommender,0.0055006499691373206,0.006574441997821746,194,0.01934358152425857

SLIMElasticNetRecommender,0.0023039920215026984,0.004601375632802005,149,0.01929212694614916

SLIMElasticNetRecommender,0.0037297493411200117,0.008162596871537487,222,0.019503135517989115

SLIMElasticNetRecommender,0.005254388792364641,0.005869896966316708,281,0.01938823575487387

SLIMElasticNetRecommender,0.00810452505389334,0.009775805032171195,223,0.018941058512262493

SLIMElasticNetRecommender,0.006585071035556805,0.007813622474924684,245,0.01920230222817179

SLIMElasticNetRecommender,0.0038691588753352285,0.008438868111495725,202,0.019475774899398817

SLIMElasticNetRecommender,0.0035057066654116146,0.008871622171523846,62,0.019254020868640156

SLIMElasticNetRecommender,0.0044278571096823165,0.008126973502843263,217,0.019438181122646444

SLIMElasticNetRecommender,0.0026763352402430834,0.009896722529087128,203,0.01947782608042026

SLIMElasticNetRecommender,0.009651534303275224,0.00704791187722822,188,0.018835954770370276

SLIMElasticNetRecommender,0.0016298282760508363,0.00639236701916422,230,0.019162341780163662

SLIMElasticNetRecommender,0.000710507100766181,0.002780742663544137,114,0.017404340196185423

SLIMElasticNetRecommender,0.0074477528982975355,0.008555534531677027,179,0.019054095003900394

SLIMElasticNetRecommender,0.004961276403161146,0.00938065732560674,152,0.019327253173890765

SLIMElasticNetRecommender,0.003794560081913407,0.007382410954299581,268,0.019487908910947142

SLIMElasticNetRecommender,0.003133952253134969,0.007514083412141566,249,0.019507935123339506

SLIMElasticNetRecommender,0.0031501375308364385,0.007862053896372416,243,0.019503761553469577

SLIMElasticNetRecommender,0.002232224169228831,0.005994560560741916,252,0.01940821944036941

SLIMElasticNetRecommender,0.0030305664910149593,0.0066805962456439145,278,0.01951456041825865
SLIMElasticNetRecommender,0.0035621057728526563,0.007750880436827236,236,0.019520460777937218
SLIMElasticNetRecommender,0.0035348929746131866,0.00725132896757769,232,0.019524986430952528
SLIMElasticNetRecommender,0.003531157991888642,0.007632554466432357,235,0.019518202896417553
SLIMElasticNetRecommender,0.0035146396549460644,0.007892616620330107,238,0.01951085167726043
SLIMElasticNetRecommender,0.0035299082739023765,0.007777087258265393,235,0.019528318363865305
SLIMElasticNetRecommender,0.003565587016827208,0.007681258625105984,231,0.01951566315058202
SLIMElasticNetRecommender,0.0035398438769041287,0.007649252170634552,239,0.01951648896357762
