recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.0031016899417608905,0.009825661138789804,244,0.019498309209703506
SLIMElasticNetRecommender,0.0031377176824115955,0.009822682230421232,244,0.019506145037684386
SLIMElasticNetRecommender,0.0031300865427682143,0.009815457341175494,240,0.019503711114592
SLIMElasticNetRecommender,0.003074410717012568,0.009804542655043264,246,0.01949082447587045
SLIMElasticNetRecommender,0.003009085786572993,0.009823653567391809,241,0.01951441899160185
SLIMElasticNetRecommender,0.0031103299585794907,0.00980415719331499,241,0.019499237878449444
SLIMElasticNetRecommender,0.0031095625082348806,0.009816899395589293,244,0.019505529881177496
SLIMElasticNetRecommender,0.0030754361362799153,0.009800707804715196,248,0.01949622835875413
SLIMElasticNetRecommender,0.0031202398788723125,0.009827840291633999,240,0.01950034654475847
SLIMElasticNetRecommender,0.0030272783296847183,0.009825235804239529,241,0.019511425295868145
SLIMElasticNetRecommender,0.0031959818097064075,0.009820100946958803,242,0.019516666983145504
SLIMElasticNetRecommender,0.0031898365968105417,0.009819503173761467,242,0.019516999286338946
SLIMElasticNetRecommender,0.0031989824904657092,0.009819030196528333,242,0.01951434382778427
SLIMElasticNetRecommender,0.0031955229779566195,0.00981018534075018,243,0.01951853025462298
SLIMElasticNetRecommender,0.003167024482524364,0.009809450588491418,243,0.01950942455372434
