recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.000723775224825279,0.006043750117577738,577,0.018469541049729764
SLIMElasticNetRecommender,0.0077026917273761595,0.007178498384701569,555,0.019029766651950164
SLIMElasticNetRecommender,0.001056652429099506,0.0003490279643796419,470,0.018708675724302005
SLIMElasticNetRecommender,0.0075075738067675556,0.007554385162752437,464,0.01906693911572516
SLIMElasticNetRecommender,0.004596980582280843,0.0032807226213489343,541,0.019436997292519808
SLIMElasticNetRecommender,0.0099887982686504,0.005001328953905991,469,0.01881799951895132
SLIMElasticNetRecommender,0.008040721984332302,0.008817589767764025,569,0.01892492004943383
SLIMElasticNetRecommender,0.008957250118932052,0.005353397576458297,454,0.018940137755497397
SLIMElasticNetRecommender,0.002807590467596384,0.0013083475388460204,484,0.01940521486566209
SLIMElasticNetRecommender,0.002608486338012903,0.006010871764154426,468,0.019484789612518306
SLIMElasticNetRecommender,0.004408708581231448,0.009974917643186382,408,0.019381259365806914
SLIMElasticNetRecommender,0.005147697474288446,0.0029523289494688917,525,0.019413035858678956
SLIMElasticNetRecommender,0.003431208569177925,0.002972744230721282,523,0.01950299211333715
SLIMElasticNetRecommender,0.002526585906385066,0.0034625294474842933,508,0.019415261103277896
SLIMElasticNetRecommender,0.0032760391542136997,0.0019930655828856248,430,0.019450534691661844
