recommender,TopK,shrink,MAP
ItemKNNCFRecommender,85,180,0.0025507019287115597
ItemKNNCFRecommender,230,131,0.0024394889041759026
ItemKNNCFRecommender,75,165,0.0026479655532625043
ItemKNNCFRecommender,134,188,0.002427641468572448
ItemKNNCFRecommender,316,168,0.0025212744273739457
ItemKNNCFRecommender,369,110,0.0025675176437616244
ItemKNNCFRecommender,394,16,0.002358786211113659
ItemKNNCFRecommender,159,124,0.0025050319753369514
ItemKNNCFRecommender,71,16,0.0024642666055186124
ItemKNNCFRecommender,253,139,0.002572294835537211
ItemKNNCFRecommender,494,186,0.0024652857397640705
ItemKNNCFRecommender,26,27,0.0024796173150908305
ItemKNNCFRecommender,258,63,0.002584651838263395
ItemKNNCFRecommender,329,190,0.0025569441259649926
ItemKNNCFRecommender,272,39,0.002524905093123392
ItemKNNCFRecommender,415,78,0.0026076460546765523
ItemKNNCFRecommender,438,195,0.00251324874519096
ItemKNNCFRecommender,207,179,0.0023168106193788376
ItemKNNCFRecommender,357,133,0.0025195546383347343
ItemKNNCFRecommender,495,59,0.0024488522000560525
ItemKNNCFRecommender,10,89,0.0022702489235394536
ItemKNNCFRecommender,272,132,0.002519745726005758
ItemKNNCFRecommender,158,73,0.0025088537287574204
ItemKNNCFRecommender,434,77,0.002603824301256083
ItemKNNCFRecommender,159,58,0.0024047109480496323
ItemKNNCFRecommender,178,121,0.0025050319753369514
ItemKNNCFRecommender,493,69,0.002501719789039211
ItemKNNCFRecommender,85,166,0.0026280924354760635
ItemKNNCFRecommender,430,72,0.0025369436163978696
ItemKNNCFRecommender,89,165,0.0026280924354760635
ItemKNNCFRecommender,429,16,0.0023302504522408215
ItemKNNCFRecommender,80,161,0.0026441437998420345
ItemKNNCFRecommender,334,45,0.0024825473260465234
ItemKNNCFRecommender,24,149,0.0024535656959412985
ItemKNNCFRecommender,440,90,0.002510191342454585
ItemKNNCFRecommender,120,111,0.002608983668373717
ItemKNNCFRecommender,294,154,0.0025212744273739457
ItemKNNCFRecommender,203,146,0.0023703151672654086
ItemKNNCFRecommender,391,83,0.0025327396876353536
ItemKNNCFRecommender,52,93,0.002712871665520141
ItemKNNCFRecommender,463,44,0.002439743687737267
ItemKNNCFRecommender,50,79,0.0024823562383755
ItemKNNCFRecommender,225,151,0.0023903793727228723
ItemKNNCFRecommender,126,106,0.0025287268465438613
ItemKNNCFRecommender,303,116,0.0024578333205941554
ItemKNNCFRecommender,114,178,0.002454393742515733
ItemKNNCFRecommender,208,144,0.0023903793727228723
ItemKNNCFRecommender,51,95,0.00255235802186043
ItemKNNCFRecommender,355,98,0.0025035032739687633
ItemKNNCFRecommender,10,200,0.002190947540064715
ItemKNNCFRecommender,239,162,0.0025212744273739457
ItemKNNCFRecommender,135,149,0.0025078982904023035
ItemKNNCFRecommender,174,81,0.0025489821396723483
ItemKNNCFRecommender,57,121,0.0026818517669239986
ItemKNNCFRecommender,267,55,0.0025875181533287473
ItemKNNCFRecommender,203,120,0.0023913348110779897
ItemKNNCFRecommender,397,53,0.002490827791790874
ItemKNNCFRecommender,51,131,0.0024896812657647332
ItemKNNCFRecommender,59,33,0.002575033758821881
ItemKNNCFRecommender,224,95,0.0023795510713648755
ItemKNNCFRecommender,109,69,0.002522229865729063
ItemKNNCFRecommender,90,157,0.002612041071110092
ItemKNNCFRecommender,47,33,0.002437259548013963
ItemKNNCFRecommender,48,135,0.002500573263013071
ItemKNNCFRecommender,74,26,0.0024699992356493165
ItemKNNCFRecommender,107,175,0.002614907386175444
ItemKNNCFRecommender,406,13,0.002343626589212464
ItemKNNCFRecommender,71,119,0.0026508318683278556
ItemKNNCFRecommender,154,115,0.0024981528191801066
ItemKNNCFRecommender,471,57,0.0024666870493515757
ItemKNNCFRecommender,29,102,0.0025101913424545852
ItemKNNCFRecommender,136,40,0.002369041249458585
ItemKNNCFRecommender,325,43,0.0025092995999898087
ItemKNNCFRecommender,351,99,0.0024912736630232613
ItemKNNCFRecommender,67,87,0.002709304695661036
ItemKNNCFRecommender,89,78,0.002686565262809244
ItemKNNCFRecommender,65,84,0.0027146551504496933
ItemKNNCFRecommender,104,111,0.002608983668373717
ItemKNNCFRecommender,276,78,0.002677647838161482
ItemKNNCFRecommender,102,115,0.002608983668373717
ItemKNNCFRecommender,107,110,0.002608983668373717
ItemKNNCFRecommender,306,74,0.0026357359423170015
ItemKNNCFRecommender,103,120,0.002535606002700706
ItemKNNCFRecommender,259,85,0.0025996203724935668
ItemKNNCFRecommender,25,110,0.0025213381232642874
ItemKNNCFRecommender,367,64,0.0024932482356238377
ItemKNNCFRecommender,161,93,0.002495477591785778
ItemKNNCFRecommender,293,55,0.0025875181533287473
ItemKNNCFRecommender,101,104,0.002608983668373717
ItemKNNCFRecommender,235,84,0.0025489821396723483
ItemKNNCFRecommender,99,108,0.002608983668373717
ItemKNNCFRecommender,32,96,0.002460062676756096
ItemKNNCFRecommender,138,128,0.002508853728757421
ItemKNNCFRecommender,472,68,0.002498853473973859
ItemKNNCFRecommender,81,136,0.002647965553262504
ItemKNNCFRecommender,279,47,0.002542102983515504
ItemKNNCFRecommender,12,135,0.0023842645672501215
ItemKNNCFRecommender,64,30,0.0024856047287828997
ItemKNNCFRecommender,80,105,0.002721343218935515
ItemKNNCFRecommender,335,104,0.0025117837397131133
ItemKNNCFRecommender,53,199,0.0025900022930520528
ItemKNNCFRecommender,98,123,0.0026158628245305615
ItemKNNCFRecommender,84,102,0.002697266172386558
ItemKNNCFRecommender,76,87,0.002705482942240567
ItemKNNCFRecommender,85,126,0.0026319141888965325
ItemKNNCFRecommender,65,90,0.0027307065148156648
ItemKNNCFRecommender,75,92,0.002721534306606538
ItemKNNCFRecommender,141,90,0.002495477591785778
ItemKNNCFRecommender,80,89,0.002686565262809244
ItemKNNCFRecommender,68,100,0.002737585670972509
ItemKNNCFRecommender,70,86,0.002705482942240567
ItemKNNCFRecommender,34,71,0.002442418915131596
ItemKNNCFRecommender,36,88,0.002513121353410278
ItemKNNCFRecommender,76,83,0.002705482942240567
ItemKNNCFRecommender,67,76,0.0027188590792122094
ItemKNNCFRecommender,175,109,0.0024981528191801066
ItemKNNCFRecommender,66,72,0.002728031287421336
ItemKNNCFRecommender,103,98,0.0026063084409793883
