recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.4578231111289327,0.4539521782521788,487,0.045333039442748406
RP3betaRecommender,0.25214661302298147,0.6718011572406277,381,0.04027034278462069
RP3betaRecommender,0.6193639287704735,0.6025445504948946,229,0.04561158484518836
RP3betaRecommender,0.16515803535400453,0.6255872025594479,467,0.04336653127229766
RP3betaRecommender,0.8694610690713158,0.5380711812808537,494,0.045386451497818524
RP3betaRecommender,0.20141913624095933,0.14567373146536192,129,0.047555612579101916
RP3betaRecommender,0.3977787346971735,0.8640389250477177,265,0.024628506217028688
RP3betaRecommender,0.48132546983645985,0.21729854056187428,326,0.04362505263711969
RP3betaRecommender,0.12794077652886404,0.3611899572637606,496,0.04420846931255931
RP3betaRecommender,0.3271600904545069,0.8010482820137008,302,0.029022258190920656
RP3betaRecommender,0.21724643993593207,0.5639243523373992,128,0.04515250143289941
RP3betaRecommender,0.5626681474338047,0.6041546134263733,115,0.044920313249347796
RP3betaRecommender,0.8580279231378536,0.6843726124208944,434,0.043737315916295365
RP3betaRecommender,0.7453348056971052,0.6848894047739519,192,0.04223486975237167
RP3betaRecommender,0.8335819017463687,0.2937591490060026,386,0.0422054587617411
RP3betaRecommender,0.6588263186404621,0.5128361400735952,476,0.04578914739563235
RP3betaRecommender,0.12905302980787658,0.274113129344022,252,0.045478617632265475
RP3betaRecommender,0.5784455037682785,0.21220667245280228,176,0.04619930021873652
RP3betaRecommender,0.16065351994564284,0.658827061139789,337,0.04045937584073194
RP3betaRecommender,0.47056942632200494,0.10448929394594791,462,0.041172411423424655
RP3betaRecommender,0.3847934282508204,0.5958615764605762,274,0.044891721058356995
RP3betaRecommender,0.49490603866686567,0.5061741850328877,15,0.04467509006796034
RP3betaRecommender,0.8126177560229714,0.533150373160597,452,0.04576293849644997
RP3betaRecommender,0.7843069905313417,0.6979261074227188,241,0.04196533845667962
RP3betaRecommender,0.7588673222445163,0.7363801321307968,144,0.03848874442923821
RP3betaRecommender,0.7372691928256664,0.7330695134733585,357,0.03935712531143621
RP3betaRecommender,0.8534311370018569,0.7311517704382301,191,0.039546436174568156
RP3betaRecommender,0.23213363200484327,0.602131965505414,100,0.04386692751283751
RP3betaRecommender,0.8043996445641353,0.29494938571505247,101,0.04797391684504805
RP3betaRecommender,0.12450258614058854,0.5081683593313696,191,0.04626938800575499
RP3betaRecommender,0.15138121817852293,0.6287365566733875,272,0.042412892877612914
RP3betaRecommender,0.694760148334706,0.5394187664249097,148,0.04662055070124341
RP3betaRecommender,0.3207999127504043,0.32678807268492227,212,0.04664138622779015
RP3betaRecommender,0.3147171291203431,0.44052375824903034,41,0.04765511135675093
RP3betaRecommender,0.31003943417022295,0.34209329305387326,321,0.04533975067550975
RP3betaRecommender,0.25363500615130086,0.32829203343490787,234,0.04603453141266337
RP3betaRecommender,0.2628525294037708,0.2274004657021573,90,0.04823923717116435
RP3betaRecommender,0.1630390116566341,0.4239864491412608,406,0.04570957030564622
RP3betaRecommender,0.8221390354380489,0.28562707306615276,366,0.04229958416675445
RP3betaRecommender,0.4548194777769168,0.3403663263188478,372,0.044308011954474855
RP3betaRecommender,0.8099238892244186,0.823006756441842,424,0.030190297809126115
RP3betaRecommender,0.7953057858650711,0.8775723460996597,444,0.024590176158893837
RP3betaRecommender,0.2054507152913926,0.5413441749155647,321,0.04605873717701275
RP3betaRecommender,0.8115461115262008,0.2280156848167609,68,0.048412647237720874
RP3betaRecommender,0.4824972194489794,0.7607397696595702,318,0.034669424266881854
RP3betaRecommender,0.5589397421026344,0.20377931038839459,100,0.048321636195622956
RP3betaRecommender,0.7623799208286421,0.6427267036877395,176,0.04487887613900881
RP3betaRecommender,0.26612578045291646,0.8570303698054336,223,0.02367766782468326
RP3betaRecommender,0.7177669906941971,0.28252101675281543,97,0.0484189490706624
RP3betaRecommender,0.6457185024792372,0.7108187762969647,308,0.040426192523189436
RP3betaRecommender,0.49166477775302964,0.8498158979550503,298,0.0266051835865764
RP3betaRecommender,0.4924663609804596,0.7125953989573416,180,0.03856214396837089
RP3betaRecommender,0.2715639482848724,0.5387019423611624,316,0.046046681814460005
RP3betaRecommender,0.6992106922493209,0.8166909646635147,433,0.03039896012445748
RP3betaRecommender,0.898785171642113,0.8391838258262795,178,0.0280529675638371
RP3betaRecommender,0.6013006765078506,0.6190010660620022,459,0.04555464171667197
RP3betaRecommender,0.4776332181733898,0.2061706100951078,94,0.04816856452726007
RP3betaRecommender,0.6822058774503459,0.12848650226618308,59,0.04633088570726734
RP3betaRecommender,0.35601898973504287,0.6585772786262274,328,0.04238663280345288
RP3betaRecommender,0.28434350032749744,0.5718627243397649,344,0.045444739797171646
RP3betaRecommender,0.25935394063140416,0.7044097633877563,242,0.03731470271724502
RP3betaRecommender,0.2796647406318844,0.14997103033990478,412,0.04243817331648944
RP3betaRecommender,0.8198758476609926,0.25703081916688997,465,0.040990294299984874
RP3betaRecommender,0.1965397385672999,0.5348117660253114,253,0.04631867681978211
RP3betaRecommender,0.12425041988765467,0.3117336480266818,290,0.045356857739411324
RP3betaRecommender,0.7486148987103555,0.42689221704922686,105,0.04781966815220314
RP3betaRecommender,0.15052063764970153,0.2528559004166051,77,0.048283730158730165
RP3betaRecommender,0.8960985520609385,0.579721941591231,18,0.044119724590892494
RP3betaRecommender,0.6339280168517891,0.7201200672052392,182,0.03909525564094463
RP3betaRecommender,0.2726944554620843,0.24401566166707075,398,0.0432226857213041
RP3betaRecommender,0.761839278171178,0.33172318645162613,247,0.04486664531939028
RP3betaRecommender,0.5715167669626151,0.10532336136829637,209,0.045177160461335165
RP3betaRecommender,0.804891144587219,0.48042910962809204,138,0.04702900743937968
RP3betaRecommender,0.6629214145048075,0.4690388963969666,262,0.04676766414008482
RP3betaRecommender,0.8592475704110945,0.26586902532684864,135,0.046937828250926954
RP3betaRecommender,0.5936975876702719,0.26729342644952614,460,0.04207487484062656
RP3betaRecommender,0.6354143686289032,0.7917018314665847,134,0.03246506211180121
RP3betaRecommender,0.6139953328148715,0.7531939035967016,320,0.03620701301891425
RP3betaRecommender,0.7286188378744538,0.5464817687501794,53,0.04660312927676588
RP3betaRecommender,0.5062111415162799,0.799174930245007,22,0.03162394287117945
RP3betaRecommender,0.46370251396619255,0.8729918471200441,456,0.024094736580458725
RP3betaRecommender,0.1146308640449977,0.6279354201420186,443,0.04262377764910921
RP3betaRecommender,0.36494374563017185,0.3212936149715045,444,0.04346211881952496
RP3betaRecommender,0.7340253389595449,0.5141423267566394,294,0.046423724427132725
RP3betaRecommender,0.41774085552254137,0.6540149347378038,220,0.04312214151197198
RP3betaRecommender,0.5186222105005661,0.1722728087346293,243,0.044688030026552535
RP3betaRecommender,0.6335599546780168,0.19905888057749463,475,0.04109243224432995
RP3betaRecommender,0.20400156410348008,0.2654562765166717,345,0.04419731316746792
RP3betaRecommender,0.525727597782856,0.10638039845689314,231,0.04472322378963861
RP3betaRecommender,0.5140242848936557,0.6223768742293729,13,0.0422984363851166
RP3betaRecommender,0.8365174943460858,0.710887399255692,97,0.0411639383092957
RP3betaRecommender,0.18575170589719125,0.3797888939151445,444,0.04473845200079547
RP3betaRecommender,0.7122617681101264,0.7249907330208469,92,0.039075794528079015
RP3betaRecommender,0.4178313412435788,0.29659390160901333,85,0.04870282398147158
RP3betaRecommender,0.4706116891172849,0.5123343331382353,247,0.046715326759542056
RP3betaRecommender,0.2480814898315596,0.37116530744516707,178,0.04751702664607976
RP3betaRecommender,0.8994593585147824,0.8587742966799479,470,0.025366610227977152
RP3betaRecommender,0.5209801990740396,0.13281857069821543,380,0.04216644149676567
RP3betaRecommender,0.5950608348500113,0.18354833692464867,221,0.04486890432911067
RP3betaRecommender,0.23010598725651193,0.16753981589540823,128,0.04762243978898364
RP3betaRecommender,0.7555171447646548,0.6246254864596665,149,0.04512018077926333
RP3betaRecommender,0.5381278363616826,0.6303333275097034,279,0.04506956141582161
RP3betaRecommender,0.14759736602444173,0.14821707174785148,26,0.03565949193482364
RP3betaRecommender,0.6339004098047585,0.8000760419365187,139,0.031483767297142425
RP3betaRecommender,0.47694150450973405,0.6494437525040302,321,0.04408943631493383
RP3betaRecommender,0.3652464680932793,0.4658703789231633,399,0.04644732340246336
RP3betaRecommender,0.5978953617277099,0.31130801824716037,408,0.04309902504357192
RP3betaRecommender,0.6513787218411244,0.8850177889996497,307,0.024123906317624018
RP3betaRecommender,0.42587270230822494,0.48770606815269757,191,0.0467679419471056
RP3betaRecommender,0.28323194524493084,0.22448046843377903,339,0.04401693599326247
RP3betaRecommender,0.21960536802380562,0.3022291585673316,172,0.0471493563649975
RP3betaRecommender,0.12996707768138327,0.2603761310435698,126,0.048063202559333836
RP3betaRecommender,0.8013270096797546,0.5268672137693342,374,0.045976937630861726
RP3betaRecommender,0.3792281000022423,0.651352551391472,317,0.043119948298651276
RP3betaRecommender,0.3032780840848413,0.8114660578007243,303,0.027551277327437926
RP3betaRecommender,0.5224644819574024,0.7287838713273594,113,0.037002805850908316
RP3betaRecommender,0.4893572660751252,0.10976070121356694,281,0.04372310389397714
RP3betaRecommender,0.14077219161464027,0.6564215583138938,452,0.04046651840544617
RP3betaRecommender,0.693406936018716,0.39280158121250897,154,0.04730046145208272
RP3betaRecommender,0.11919574545014343,0.3806714279700797,170,0.04735957586178654
RP3betaRecommender,0.5173919116399208,0.4078069022890577,155,0.04756283556163806
RP3betaRecommender,0.35533558541170984,0.7325804778281917,30,0.036865810436186155
RP3betaRecommender,0.4501172812015021,0.8644021550394787,76,0.02563164543636168
RP3betaRecommender,0.752694743672616,0.8775186819822282,85,0.026019471347861145
RP3betaRecommender,0.32540130061170713,0.36069861221455046,168,0.04746521563673354
RP3betaRecommender,0.658014622678739,0.3435934393852602,451,0.04299695289562643
RP3betaRecommender,0.8104996210305212,0.8134521738794305,367,0.031213716940964517
RP3betaRecommender,0.46535279565715904,0.8824966182098827,121,0.024125580470458815
RP3betaRecommender,0.791825221769454,0.7688794348483553,333,0.03589739709443091
RP3betaRecommender,0.32963090911158055,0.8799246683154179,299,0.022575695102408398
RP3betaRecommender,0.45941083188642184,0.4949967223092434,149,0.04732158940707207
RP3betaRecommender,0.5824293954862437,0.7259312465361485,98,0.03785488384742264
RP3betaRecommender,0.12813472777122759,0.49986289776504955,129,0.04635470400393014
RP3betaRecommender,0.8574494713455886,0.43464224760835635,230,0.04596374910809327
RP3betaRecommender,0.7033105570095118,0.2519371920201561,453,0.041517593957258736
RP3betaRecommender,0.20002150236024552,0.4902310206959233,55,0.04731736381607424
RP3betaRecommender,0.5971251594977385,0.4087271853026272,331,0.045230981916225224
RP3betaRecommender,0.5761707304204357,0.12461640262609547,183,0.04608485103695127
RP3betaRecommender,0.8758981400466996,0.24499702076939062,370,0.04175815290498427
RP3betaRecommender,0.3630482728334701,0.8901428413679503,276,0.022461589524043434
RP3betaRecommender,0.7462799210725338,0.13311361286918252,319,0.042532730053455994
RP3betaRecommender,0.327435734991007,0.5134643023277822,167,0.04696939590132293
RP3betaRecommender,0.11770058127135306,0.8147633382733657,492,0.024887042203272806
RP3betaRecommender,0.7589507127669551,0.669843884897322,410,0.04428369652945932
RP3betaRecommender,0.4608830305368834,0.7204027906720903,384,0.03826799019779867
RP3betaRecommender,0.3202198704156132,0.8143611114375227,188,0.027347271935057427
RP3betaRecommender,0.5753675015042772,0.13462045599688832,475,0.040877329192546656
