recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.7748190042623997,0.29346096432823543,438,0.017780289425756355
RP3betaRecommender,0.8687474077110452,0.41560516940210124,25,0.01896905372491863
RP3betaRecommender,0.6371022361905193,0.4921477795043112,447,0.019117488187201305
RP3betaRecommender,0.6479661827547838,0.6274142891876429,58,0.017787972334038855
RP3betaRecommender,0.5799523291998413,0.501516345446684,126,0.019307260891487578
RP3betaRecommender,0.8221446651284767,0.7430976229606854,118,0.01506405919772638
RP3betaRecommender,0.7999679372371467,0.2493695138314651,11,0.01575914138723913
RP3betaRecommender,0.305333987529425,0.5983822061571814,348,0.018378293892406774
RP3betaRecommender,0.7927455138240361,0.6578444166134343,358,0.0178205788065612
RP3betaRecommender,0.2840859503048998,0.7979642630993635,55,0.012428021900221903
RP3betaRecommender,0.5801020570503053,0.3091110554803872,328,0.01836629754244374
RP3betaRecommender,0.25414242172531676,0.46982160220592684,62,0.018874360288317512
RP3betaRecommender,0.19106766939848596,0.2910937483618522,230,0.01850490080395256
RP3betaRecommender,0.7004996481199873,0.3676819827674661,165,0.019351977964925098
RP3betaRecommender,0.7926340526793519,0.2792926399234812,406,0.017751571231535732
RP3betaRecommender,0.44650742486750816,0.4297090440535172,203,0.019301310477149936
RP3betaRecommender,0.6222398903463338,0.4428164507997482,269,0.01913179203180199
RP3betaRecommender,0.40507769485231915,0.31288767646828247,137,0.01908230638584211
RP3betaRecommender,0.6711640144846343,0.7225061826484321,355,0.01566304509878428
RP3betaRecommender,0.4087754567374552,0.23351541543232823,294,0.018110543976877492
RP3betaRecommender,0.19898637066497538,0.20988878813560588,108,0.018955242470488198
RP3betaRecommender,0.7471366442712066,0.19501271762295522,160,0.01871333949164734
RP3betaRecommender,0.7089347006475082,0.525721723510507,252,0.019340888130712646
RP3betaRecommender,0.5254258236854062,0.6307198251857368,434,0.01834533530219613
RP3betaRecommender,0.8574966801010574,0.7381383642425406,98,0.015169992305854193
RP3betaRecommender,0.826347979833914,0.2268111415980333,227,0.018173013026107354
RP3betaRecommender,0.7194248603845979,0.7888239269272364,444,0.01194901635549209
RP3betaRecommender,0.40589850991357845,0.5228740465259042,397,0.019100622124528868
RP3betaRecommender,0.6309972341540317,0.6480528105900972,375,0.018102816117400937
RP3betaRecommender,0.7650649496537295,0.5795637609492157,486,0.01885403672962139
RP3betaRecommender,0.20661782260451692,0.8550239298302874,156,0.01007785359545877
RP3betaRecommender,0.49035167524939816,0.8576539600419446,229,0.010273147804770996
RP3betaRecommender,0.2863373034659449,0.16931175215389355,164,0.018556841908897847
RP3betaRecommender,0.3505712970269672,0.6905210417064847,122,0.016174089607209365
RP3betaRecommender,0.3565550201369866,0.7942910005983153,467,0.01211476264645666
RP3betaRecommender,0.7894272888038769,0.5683878110890167,378,0.018996715566074688
RP3betaRecommender,0.7921782630694265,0.36495930756667205,153,0.019337402540192505
RP3betaRecommender,0.7642884087943184,0.8925933555104015,137,0.008735251325872932
RP3betaRecommender,0.4874374124402051,0.12258586438694943,370,0.01710210326637884
RP3betaRecommender,0.7134762376550138,0.7333701234815138,373,0.015059888101494024
RP3betaRecommender,0.11878687507803135,0.8364284919143437,375,0.010001121906889574
RP3betaRecommender,0.5950349187024936,0.5404648286354439,86,0.018918828257220268
RP3betaRecommender,0.7111523861436974,0.889877713746566,220,0.008502999743028995
RP3betaRecommender,0.3590696837643932,0.5049315202365289,471,0.019013800765819093
RP3betaRecommender,0.5072831116289293,0.3301358139590477,202,0.018980164161761837
RP3betaRecommender,0.10054245873926054,0.8259139753537136,368,0.010333273773000981
RP3betaRecommender,0.13099304815645452,0.26812373785482757,430,0.017591406380522707
RP3betaRecommender,0.14083781444191656,0.12031803181799461,380,0.016974844562516606
RP3betaRecommender,0.45949839814221805,0.4174956269982797,481,0.018614566734168895
RP3betaRecommender,0.3177630425331077,0.7909681971422938,224,0.012453851980212566
RP3betaRecommender,0.30306712814442993,0.46475580185744236,131,0.019113101699829944
RP3betaRecommender,0.8025069511744486,0.32842348108528585,312,0.018397733410949527
RP3betaRecommender,0.2285961837862864,0.11947888407167771,68,0.01784724235661181
RP3betaRecommender,0.2712720553660864,0.30453552441385884,197,0.018767153563019445
RP3betaRecommender,0.7172366339839663,0.8944911011903244,320,0.007923078767228472
RP3betaRecommender,0.10191792770397692,0.5364284553686149,101,0.01828188669152511
RP3betaRecommender,0.676418323214918,0.5811000623760654,289,0.0190149694968693
RP3betaRecommender,0.22048764268349696,0.8387450189161563,263,0.010386288087708808
RP3betaRecommender,0.7849340718546362,0.34522909467392077,242,0.018733408326909503
RP3betaRecommender,0.7327220404275752,0.6913938271735269,375,0.016789010706625612
RP3betaRecommender,0.6811136849818268,0.42826884856745784,31,0.019127414909262737
RP3betaRecommender,0.6617295403976121,0.2622952164403909,98,0.019391754152928983
RP3betaRecommender,0.13774163209497817,0.7343355211646828,326,0.01399707517562823
RP3betaRecommender,0.2591050651005705,0.5467969259509626,105,0.018547793608090488
RP3betaRecommender,0.7912420751664969,0.7231698767609986,56,0.015639597432088422
RP3betaRecommender,0.6715623531171286,0.865569241767952,475,0.00850872914732827
RP3betaRecommender,0.5397679145731115,0.4490478844531198,205,0.019326466289227018
RP3betaRecommender,0.471233441579335,0.18841556194698336,428,0.017248818345481788
RP3betaRecommender,0.5852892695024698,0.7792333727255071,118,0.013488431810162306
RP3betaRecommender,0.46933570723647544,0.6873059080776006,339,0.016760290639438617
RP3betaRecommender,0.521431930835125,0.5159486486976474,81,0.018955422275265168
RP3betaRecommender,0.8561804782843143,0.6635261333587748,87,0.017442837064657487
RP3betaRecommender,0.2890395869109035,0.6981357401539927,447,0.015878928828025267
RP3betaRecommender,0.3666785810266109,0.4033936609576564,429,0.018629917567002077
RP3betaRecommender,0.7490915208973677,0.5009274496818293,76,0.019097846388284486
RP3betaRecommender,0.6666683658156289,0.4876856433460216,66,0.01913790539421877
RP3betaRecommender,0.484293196057194,0.6057443583037068,429,0.01857263663477431
RP3betaRecommender,0.6969598166145926,0.28670572352271934,474,0.01769746310443471
RP3betaRecommender,0.32311086568967706,0.24476384101004794,435,0.01750702175113406
RP3betaRecommender,0.7751957484567554,0.19784667618579332,221,0.01818895197039856
RP3betaRecommender,0.32406486662420636,0.412445958950893,125,0.01923247334206934
RP3betaRecommender,0.6422346229452698,0.2283598425949756,136,0.01903544289287956
RP3betaRecommender,0.5960233838527588,0.7625397773158771,370,0.013894073259958178
RP3betaRecommender,0.28837688826853913,0.5846184038699885,400,0.018470245306159327
RP3betaRecommender,0.8992111588915253,0.11094504577662763,182,0.01825318909993523
