recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.04123807623190795,0.07738697789466131,287,0.011834419409744055
SLIMElasticNetRecommender,0.0524730760221188,0.06257615316484788,228,0.01165096352735962
SLIMElasticNetRecommender,0.042194233032103005,0.03084681206260178,176,0.01429678850064
SLIMElasticNetRecommender,0.07989890236030324,0.08300583303462783,132,0.008866306675137497
SLIMElasticNetRecommender,0.06944846732199096,0.07715980307578939,55,0.009682308698881521
SLIMElasticNetRecommender,0.030948705775144685,0.05130247617884494,221,0.014059989152859819
SLIMElasticNetRecommender,0.04360747523014395,0.06695509645605315,210,0.012172779229134637
SLIMElasticNetRecommender,0.06364254279699552,0.06479442245664711,130,0.010764241452299587
SLIMElasticNetRecommender,0.021211295238448464,0.06610010161589264,65,0.01458252410691887
SLIMElasticNetRecommender,0.06025821613044777,0.04917557680117603,248,0.011975585253609228
SLIMElasticNetRecommender,0.09990485822932926,0.0994625389865518,51,0.007152859711284179
SLIMElasticNetRecommender,0.010730855112031805,0.02298725486522514,157,0.017735431751512515
SLIMElasticNetRecommender,0.011873985917605818,0.011435916285393873,103,0.018081876313144916
SLIMElasticNetRecommender,0.011674864842644843,0.011471163586989068,111,0.018106555406201857
SLIMElasticNetRecommender,0.0118170463538226,0.01336490655258789,105,0.01800129418259565
SLIMElasticNetRecommender,0.025835924148273216,0.03811057173474118,96,0.015193275089225773
SLIMElasticNetRecommender,0.020407041417629036,0.010117411509847352,95,0.017339818549972075
SLIMElasticNetRecommender,0.029943522750152433,0.02238683349963596,177,0.015664272509847
SLIMElasticNetRecommender,0.011062724881120731,0.03947814224319593,132,0.017115904608742974
SLIMElasticNetRecommender,0.034786144980115306,0.022369463198483715,81,0.015318359632747802
SLIMElasticNetRecommender,0.08710709211832522,0.03326311297439,153,0.011849488832257254
SLIMElasticNetRecommender,0.017862037959501538,0.01209722710014966,109,0.017432929220413017
SLIMElasticNetRecommender,0.012737887337516463,0.016777670803602446,114,0.017726955749012008
SLIMElasticNetRecommender,0.021438969612642994,0.01849204338357686,73,0.01669888383708476
SLIMElasticNetRecommender,0.0163527778782517,0.029620433415883017,89,0.0166850108348652
SLIMElasticNetRecommender,0.03508643828762908,0.010766003784638704,155,0.016152119876844787
SLIMElasticNetRecommender,0.026011537166074506,0.026888396370206884,114,0.015737538478492193
SLIMElasticNetRecommender,0.011206361962916375,0.04276130598829939,187,0.016990314431719927
SLIMElasticNetRecommender,0.050207278384629475,0.016931095817663853,140,0.01483662030415517
SLIMElasticNetRecommender,0.036696537399218535,0.014498357259055747,271,0.015739426543330715
SLIMElasticNetRecommender,0.02563707371705047,0.025453833477266364,300,0.015852304422780263
SLIMElasticNetRecommender,0.010008793761143869,0.017464773991652464,159,0.018028489252079703
SLIMElasticNetRecommender,0.015840454924212488,0.018339120204271628,197,0.017252255391681837
SLIMElasticNetRecommender,0.017222215074729107,0.03454983068400816,111,0.01634864775008063
SLIMElasticNetRecommender,0.02264264745049036,0.019996519885575104,144,0.0164390998674938
SLIMElasticNetRecommender,0.04467358591943835,0.010694481017719706,168,0.015639721228060708
SLIMElasticNetRecommender,0.02981974623567911,0.028009649712231036,124,0.01533011250965967
SLIMElasticNetRecommender,0.016343652400001945,0.05622031549684953,102,0.015670036639475828
SLIMElasticNetRecommender,0.07614835298157105,0.07555429818701079,76,0.009411475201043155
