recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.04161241877915131,0.06846686217888728,115,0.01896760126542799
SLIMElasticNetRecommender,0.034130933007679824,0.08680486311874673,114,0.018988973482304636
SLIMElasticNetRecommender,0.039107230901343305,0.03643665312072796,126,0.01890655854943765
SLIMElasticNetRecommender,0.04084062182479197,0.07422301008053907,120,0.01898363364781391
SLIMElasticNetRecommender,0.059986373046244795,0.09228564716355699,70,0.018567804672719953
SLIMElasticNetRecommender,0.07708839080518738,0.08172016494041646,185,0.018431514141688452
SLIMElasticNetRecommender,0.043222974586540015,0.08603766455418782,274,0.01897513296195875
SLIMElasticNetRecommender,0.08418435431915627,0.08125206753418586,269,0.018328100166762867
SLIMElasticNetRecommender,0.09480973394694193,0.08667631457031287,60,0.018047193498806662
SLIMElasticNetRecommender,0.08942202541541049,0.09236861946411318,221,0.01810508196086809
SLIMElasticNetRecommender,0.09872740527142411,0.08632436690396608,183,0.018045506388685073
SLIMElasticNetRecommender,0.049755469163140754,0.013844847520099964,96,0.018763668063225256
SLIMElasticNetRecommender,0.011288441907936849,0.0453055246329833,254,0.01750615995462937
SLIMElasticNetRecommender,0.014826914549884086,0.02616968552259266,241,0.017698193856958814
SLIMElasticNetRecommender,0.07134696026265527,0.0315512365095239,212,0.01900341701790752
SLIMElasticNetRecommender,0.0670052863908489,0.08044444757626565,145,0.01860943582693952
SLIMElasticNetRecommender,0.044679243399756687,0.0979060061934624,63,0.01871755580002963
SLIMElasticNetRecommender,0.07264912692542529,0.02962577272985477,279,0.01903001051424374
SLIMElasticNetRecommender,0.029188586005646965,0.052408851494988674,79,0.018676249327762778
SLIMElasticNetRecommender,0.03568420077163069,0.08325488902044141,142,0.019035493316851133
SLIMElasticNetRecommender,0.032535131345597074,0.0807401406748166,287,0.01911026614550668
SLIMElasticNetRecommender,0.05852028209588767,0.03487330731044337,64,0.018803432854554446
SLIMElasticNetRecommender,0.03587675122752166,0.05404913316592051,170,0.01905064491857592
SLIMElasticNetRecommender,0.04296947562092118,0.018744381606922524,236,0.019013643187596133
SLIMElasticNetRecommender,0.03496788616300643,0.01061633210273783,182,0.01863801533888551
SLIMElasticNetRecommender,0.04046451414330377,0.08254300440467532,299,0.019029032959427716
SLIMElasticNetRecommender,0.07894671904572508,0.011049659623537938,67,0.018842582240900924
SLIMElasticNetRecommender,0.04478878049156629,0.089576607928148,251,0.018921109129788918
SLIMElasticNetRecommender,0.04350694870387019,0.016055157455555885,120,0.018768057735611538
SLIMElasticNetRecommender,0.05801518220839896,0.06259580119944011,269,0.018921576176983316
SLIMElasticNetRecommender,0.06537646139156808,0.08771670809461307,167,0.018575822433620427
SLIMElasticNetRecommender,0.07481167100509147,0.011221884461692361,275,0.019102683346571368
SLIMElasticNetRecommender,0.06444486810419969,0.08378927121729926,165,0.018616825231569014
SLIMElasticNetRecommender,0.022842708600009358,0.023290248392290595,236,0.01845251998121499
SLIMElasticNetRecommender,0.07655610882476759,0.07676328260610264,209,0.018486227170935465
SLIMElasticNetRecommender,0.035911808983373116,0.08924221561625814,123,0.018989667152881414
SLIMElasticNetRecommender,0.017687438483533293,0.07055226640269735,102,0.018333237949000034
SLIMElasticNetRecommender,0.01004112356078755,0.0955444575455542,85,0.017283989229009356
SLIMElasticNetRecommender,0.042673470564606256,0.07945004275727814,137,0.018961462483341386
SLIMElasticNetRecommender,0.03651778223476419,0.024904280425405517,68,0.018560283130814797
SLIMElasticNetRecommender,0.058906359121978134,0.08702768114132432,115,0.018653910041793925
SLIMElasticNetRecommender,0.09658294361332237,0.033653146798951004,189,0.018798578749590348
SLIMElasticNetRecommender,0.032899170213371694,0.05052483893251675,178,0.019028095903178124
SLIMElasticNetRecommender,0.069286848388941,0.06854435286476453,266,0.018696141591457705
SLIMElasticNetRecommender,0.06593393507283919,0.0625807078107137,247,0.018801893951633224
SLIMElasticNetRecommender,0.032153771822145696,0.04372151146599943,262,0.019088672769977475
SLIMElasticNetRecommender,0.03228796268270409,0.09564190332179776,235,0.019059246051392167
SLIMElasticNetRecommender,0.07068214596766022,0.06203950736875302,119,0.018696071313928118
SLIMElasticNetRecommender,0.055612059155615526,0.03977980134523781,158,0.019037919235772804
SLIMElasticNetRecommender,0.09448416774548785,0.0727137898951332,69,0.018240175908370043
SLIMElasticNetRecommender,0.03505312682219781,0.024761943784396438,178,0.01886299028161455
SLIMElasticNetRecommender,0.015599768215766481,0.03985346328209613,102,0.01748925669548959
SLIMElasticNetRecommender,0.06611742846183798,0.07186568201983984,85,0.018648131464764562
SLIMElasticNetRecommender,0.011231847567175495,0.087445400966089,131,0.01779505592028738
SLIMElasticNetRecommender,0.09084249585403834,0.010648858429681357,86,0.01889624908013759
SLIMElasticNetRecommender,0.02641446281061606,0.038908737522509375,274,0.018917385762501005
SLIMElasticNetRecommender,0.04958597458902508,0.08807336293933435,126,0.018796764526383236
SLIMElasticNetRecommender,0.05022397389315075,0.08189006648664103,126,0.018824652816713614
SLIMElasticNetRecommender,0.04723800693812677,0.037640755586809016,70,0.01882498684298213
SLIMElasticNetRecommender,0.05464592202562923,0.06735365747866662,103,0.01885200607605703
SLIMElasticNetRecommender,0.027105685004935896,0.019342761417174382,275,0.018678378640775022
SLIMElasticNetRecommender,0.02327689461974439,0.027914675923504315,241,0.018574337012448257
SLIMElasticNetRecommender,0.08941550072525131,0.0805987402058496,278,0.018260526936803727
SLIMElasticNetRecommender,0.05106815857135826,0.027645129213993508,228,0.01910089923924643
SLIMElasticNetRecommender,0.08270885638386921,0.03325807025736399,126,0.018885223217545533
SLIMElasticNetRecommender,0.020992271023183684,0.05020464401073768,108,0.018407638022025666
SLIMElasticNetRecommender,0.048877350370488556,0.05606258397516527,103,0.01893456420808
