recommender,alpha,beta,MAP
IALS-RP3beta,0.689755495479057,0.7429326921008456,0.01705341417795305
IALS-RP3beta,0.2064552860248534,0.030971717653965003,0.015120687377067744
IALS-RP3beta,0.2854812576065269,0.33604816495330914,0.017202419523287226
IALS-RP3beta,0.772478549517445,0.4335527961168463,0.016162942497306005
IALS-RP3beta,0.4856527867921795,0.42033680993152756,0.016726380363729566
IALS-RP3beta,0.793266146980295,0.5976288965891674,0.016528899301055583
IALS-RP3beta,0.29134111249376815,0.6383092491375695,0.018240940188589735
IALS-RP3beta,0.627790644031566,0.686893839804982,0.017087747229619855
IALS-RP3beta,0.8704030109342399,0.202796781589914,0.01538787694654518
IALS-RP3beta,0.08860004714622594,0.9080876523331732,0.019564104253005855
IALS-RP3beta,0.0037631150448945855,0.9779330787595784,0.019736577522378663
IALS-RP3beta,0.02828536907712516,0.9629162825997748,0.019715050011630236
IALS-RP3beta,0.02034663473681645,0.9937390952279954,0.019747474297930043
IALS-RP3beta,0.46287256472243954,0.8506377551092893,0.01798319060119957
IALS-RP3beta,0.9989764854441004,0.9881411323377796,0.016944166536118927
IALS-RP3beta,0.13815819551307945,0.8013648482694322,0.019325067489195925
IALS-RP3beta,0.012867782769683728,0.8402812362699275,0.01974625684188505
IALS-RP3beta,0.3731510992479903,0.8223591058582433,0.018253453975216268
IALS-RP3beta,0.19917510140468234,0.5448974103256672,0.01858404818079802
IALS-RP3beta,0.1236850606771708,0.7027766150324665,0.019301130780295106
IALS-RP3beta,0.37886285818397164,0.8658955033266154,0.018317562777611377
IALS-RP3beta,0.008923718338699111,0.9770235990043965,0.019735935662936594
IALS-RP3beta,0.0020246469671204854,0.9050303273529927,0.019729344982933487
IALS-RP3beta,0.09232796500288873,0.7716332931370915,0.019512944396181092
IALS-RP3beta,0.20835892811539225,0.9926295463058831,0.019185933328902404
IALS-RP3beta,0.09459671906056093,0.9049974620316589,0.019567702226272844
IALS-RP3beta,0.30621715019790174,0.8062909953284156,0.01849268161556297
IALS-RP3beta,0.15654995638237207,0.9388400745442096,0.019343772400795368
IALS-RP3beta,0.5628468739122306,0.8664706238815055,0.017664136019608898
IALS-RP3beta,0.05711580412004868,0.7386038453214836,0.019612802494805476
IALS-RP3beta,0.2560346665146554,0.6522435282649486,0.018455061135875372
IALS-RP3beta,0.007705809317051093,0.9561710063116697,0.019736882133639323
IALS-RP3beta,0.05401605139804037,0.9294812411846709,0.019689370688959137
IALS-RP3beta,0.20577598006891382,0.17253174387850428,0.01668339951705267
IALS-RP3beta,0.0010281389589674225,0.9958956046553199,0.019721121467893593
IALS-RP3beta,0.14001087640735468,0.8644577357508342,0.019364794533770418
IALS-RP3beta,0.06477444187905317,0.7615968635441994,0.019593134299544134
IALS-RP3beta,0.17875681522332285,0.5045407671028771,0.018631985883443624
IALS-RP3beta,0.2494208251506684,0.32288062934456163,0.017382064014254066
IALS-RP3beta,0.35235882836959737,0.9144512852994608,0.018481392207964634
IALS-RP3beta,0.09107424627999372,0.7245099450632815,0.019498473383305126
IALS-RP3beta,0.005281247405676845,0.99918573372064,0.019731442646842033
IALS-RP3beta,0.0491838552814179,0.9425192147047994,0.019692127025268947
IALS-RP3beta,0.11645114931237602,0.9577908367605976,0.019504689233218023
IALS-RP3beta,0.043406295352038604,0.8811360508670395,0.019702589630874102
IALS-RP3beta,0.005315840333813577,0.8141155202129209,0.019736307526034003
IALS-RP3beta,0.16195800108964892,0.8144049692514788,0.019227442547151218
IALS-RP3beta,0.6620134804692246,0.6361989219021894,0.01690338225311054
IALS-RP3beta,0.7973526104619331,0.041905555064901345,0.014807960402118674
IALS-RP3beta,0.08048717541483195,0.8394691689630355,0.01956691201719085
IALS-RP3beta,0.44978395515256625,0.7779535350807477,0.017858972502701784
IALS-RP3beta,0.0357846479021494,0.9710800509177996,0.019706196505119462
IALS-RP3beta,0.005073361557649047,0.8928882011800368,0.01973183527888904
IALS-RP3beta,0.10887143900971795,0.9511190412051785,0.019528905828439476
IALS-RP3beta,0.04219422939856615,0.923182112443729,0.01971893479420111
IALS-RP3beta,0.02728057110001241,0.8343625715641327,0.01971359816315417
IALS-RP3beta,0.13669169926521746,0.9643368584862664,0.019448826692807595
IALS-RP3beta,0.0782154269466607,0.3842775414340805,0.019200238190181643
IALS-RP3beta,0.9533862289871737,0.8929854882564009,0.016865919024041307
IALS-RP3beta,0.17920443134506772,0.9980853245301022,0.019290096534077417
IALS-RP3beta,0.0021102332441680794,0.5926682770415089,0.01973834881707938
IALS-RP3beta,0.00033034387929983637,0.584962855059824,0.019723906485133797
IALS-RP3beta,0.1104829167677149,0.6843964377817089,0.019362194459081324
IALS-RP3beta,0.029573890326607892,0.7977649658784969,0.019704553780106687
IALS-RP3beta,0.07511998615430385,0.8543117551920602,0.01957616408973422
IALS-RP3beta,0.5380744198934115,0.45265364278710774,0.01668820307839346
IALS-RP3beta,0.23590687632606,0.9302823273580585,0.019021877418098857
IALS-RP3beta,0.029425760731396116,0.280393857321462,0.019563495030484553
IALS-RP3beta,0.12498688352186338,0.9719199331340863,0.019484334673622598
IALS-RP3beta,0.06804910556688365,0.8711866314706744,0.019604417773156857
IALS-RP3beta,0.02546010459664156,0.9071177357283879,0.019734583703218088
