recommender,alpha,beta,MAP
IALS-Slim,0.17840814455634757,0.42713879140270494,0.018036475813865683
IALS-Slim,0.9490906998306986,0.7601652847935592,0.01642160196248763
IALS-Slim,0.4088309167042814,0.4077934543192694,0.016731342164686185
IALS-Slim,0.47472281290042684,0.3273172879777647,0.01623639633801878
IALS-Slim,0.7857255511144814,0.17045789542392342,0.015121571540921619
IALS-Slim,0.6374955330297735,0.32129568477208237,0.015845862943921412
IALS-Slim,0.7315611501502276,0.3561797747801524,0.015800819048251948
IALS-Slim,0.3880140986933547,0.05161187623326491,0.01484152104666019
IALS-Slim,0.7886062809468747,0.12831366032871316,0.014950939785079035
IALS-Slim,0.8775635186814779,0.4792965986258768,0.01593927673418747
