recommender,alpha,beta,MAP
Slim-Ials,0.7307561373497686,0.16576047492874035,0.01886012221810285
Slim-Ials,0.5346184754942281,0.5332787601858477,0.018702223790595714
Slim-Ials,0.629790784709503,0.9837743669360014,0.018550602861959888
Slim-Ials,0.12545740603289046,0.5150099120015736,0.01804130084080287
Slim-Ials,0.26807750534767094,0.6881719115938781,0.01828238824234832
Slim-Ials,0.5152657499656672,0.20869981341795762,0.018830447105970448
Slim-Ials,0.31362971175922927,0.08105194416234796,0.018852223591220574
Slim-Ials,0.11837762698377963,0.8650519979066243,0.017758173514841758
Slim-Ials,0.061249880903180176,0.9727467336074884,0.01746550655696726
Slim-Ials,0.6479617085683524,0.3934627578290312,0.018804036316160493
Slim-Ials,0.8996730635896186,0.26537803844792246,0.018855790149721514
Slim-Ials,0.953923952020937,0.2397277850797457,0.01885059082166501
Slim-Ials,0.9176742487943612,0.058462503024939064,0.01880998785463895
Slim-Ials,0.806776077428879,0.29628980572156016,0.018848867716873326
Slim-Ials,0.7982541980830594,0.008538617719234115,0.018776874857919557
Slim-Ials,0.7635594289291395,0.3694482464824743,0.018833884181419944
Slim-Ials,0.9621898742344861,0.16185280262432922,0.018856207230459287
Slim-Ials,0.7050924905196065,0.13409357034089375,0.018853386079233512
Slim-Ials,0.9737885054122878,0.6273324258911749,0.018800244847846096
Slim-Ials,0.3729086657988083,0.1578859317813344,0.018837095825813836
Slim-Ials,0.848707789878891,0.3910137286874052,0.018833198155958422
Slim-Ials,0.8768515206024331,0.285915899467185,0.01885089695895305
Slim-Ials,0.9883321666324734,0.1437962711879149,0.018845843477108843
Slim-Ials,0.6865705419347606,0.3151937042216461,0.01883214273211097
Slim-Ials,0.8819962979657681,0.2140932027938617,0.018856365131291686
Slim-Ials,0.7476361512850201,0.183990095981954,0.018851339779396185
Slim-Ials,0.563665711820764,0.4539097772972675,0.018751918491479367
Slim-Ials,0.815910515110584,0.005221841151547363,0.01877176897558759
Slim-Ials,0.3987125279357944,0.11949890050240358,0.018855386779888624
Slim-Ials,0.5806253329799876,0.5829064795594703,0.018699686945784024
Slim-Ials,0.45468194499636566,0.7445981084126625,0.018533799585772774
Slim-Ials,0.9035314356057169,0.23874577401748473,0.018853267867213447
Slim-Ials,0.8752725931954033,0.31619307895909854,0.018845172016408198
Slim-Ials,0.9257500160992856,0.45630876559117706,0.01883332789371944
Slim-Ials,0.7094388461413159,0.08048233055206624,0.01884030144900142
Slim-Ials,0.8494502746540056,0.25553097136576935,0.018854970908459015
Slim-Ials,0.997296318496976,0.19970168271058283,0.018853428009297346
