recommender,alpha,beta,MAP
Slim-Ials,0.2507276065113069,0.4363344454353,0.01851247325877987
Slim-Ials,0.01011686515804211,0.6789178759961424,0.017230079059445697
Slim-Ials,0.8953559249660924,0.014484116154424354,0.018789568961302055
Slim-Ials,0.14791669624754145,0.6511253697532061,0.018018725062262275
Slim-Ials,0.05031662773915335,0.08466056294735513,0.01853537463820967
Slim-Ials,0.5958243149766913,0.9727301642110533,0.0185459043856793
Slim-Ials,0.671527522207031,0.17550187723696897,0.018860977484448288
Slim-Ials,0.7457193046404459,0.4320005818684646,0.01881725841015046
Slim-Ials,0.30938071672061307,0.2854347126878971,0.018737292384581595
Slim-Ials,0.7876462241528102,0.5478184887392749,0.018785364143911194
Slim-Ials,0.9880659676662096,0.2689433002150682,0.018859913042556912
Slim-Ials,0.9404341790159194,0.9245860012930552,0.01871654549584921
Slim-Ials,0.35111545991508153,0.5684471891819451,0.018545791920383112
Slim-Ials,0.9882930914572441,0.9136671517764838,0.018736328117141498
Slim-Ials,0.14215310676076398,0.5184142296584034,0.018110228853028102
Slim-Ials,0.09469417339045605,0.19799909031677243,0.018399206827914568
Slim-Ials,0.7478286746192995,0.4259625993965087,0.018823876022851477
Slim-Ials,0.39697000889476175,0.3802691973409752,0.018724980767154932
Slim-Ials,0.4924880776412096,0.023181976892935663,0.018808581867917503
Slim-Ials,0.0658579901606009,0.44305888208949296,0.01781420260292056
Slim-Ials,0.7797360960925863,0.6856330456520485,0.018748706192338496
Slim-Ials,0.5276782097060961,0.7506276795062563,0.01859043346797443
Slim-Ials,0.9494831509192605,0.6204371673490917,0.018797255000826237
Slim-Ials,0.6755032218194829,0.6818819244329258,0.01871031921332719
Slim-Ials,0.21467009868760922,0.09218129262090091,0.0188394193532125
Slim-Ials,0.49616853390618854,0.2844792617486157,0.018822572993049326
Slim-Ials,0.7628730063468879,0.7849712971542229,0.018699296011107567
Slim-Ials,0.3028952837451089,0.1402441420381102,0.018836759472911774
Slim-Ials,0.4279833544194708,0.04297337073538521,0.018842397811515258
Slim-Ials,0.33236160279435856,0.4440975840876151,0.018610373047646515
Slim-Ials,0.5821510875167513,0.3474401042713271,0.018813301946430567
Slim-Ials,0.8111510309553942,0.9496329246170583,0.018654163493545064
Slim-Ials,0.13680048313640514,0.7462640329871872,0.017909335255494024
Slim-Ials,0.7997677238680094,0.8560719559494906,0.01868483502987897
Slim-Ials,0.5532735209339135,0.016261851005359262,0.018795465248972246
Slim-Ials,0.22062649186497607,0.5037436155781148,0.018348437451784865
Slim-Ials,0.33898697342775697,0.35218583318351415,0.01869441905295389
Slim-Ials,0.7995742432420955,0.4133272762729603,0.01882977323798525
Slim-Ials,0.64987916045586,0.717834916037476,0.01867414162382362
Slim-Ials,0.81272216574658,0.8540702093948707,0.01868957739875685
Slim-Ials,0.48655782396846814,0.4517744048056296,0.018736385129927216
Slim-Ials,0.9783202229658232,0.10566869546237423,0.0188439578571884
Slim-Ials,0.137642566785814,0.13915265068476534,0.018710012171196652
Slim-Ials,0.8165481402147128,0.8303296304893667,0.018708415356704675
Slim-Ials,0.3893330776722339,0.7852452554735038,0.01842066285964251
Slim-Ials,0.5460342092848735,0.024320024415509622,0.01880697219327063
Slim-Ials,0.3351183051761827,0.31197111906839403,0.018734940410848524
Slim-Ials,0.7212629954687307,0.36395433377510134,0.018833155636535936
Slim-Ials,0.14341977047962262,0.16711151514616707,0.018654761434529626
Slim-Ials,0.3706567809834844,0.01796799780515812,0.01880659797235927
Slim-Ials,0.05662639148902371,0.5656165482571215,0.017628370501508485
Slim-Ials,0.6928112072109048,0.8788276071475519,0.018626047428314804
Slim-Ials,0.08852692648243288,0.47547209537907964,0.01791282498507378
Slim-Ials,0.4894527086502093,0.9672060970013786,0.01843122413899542
Slim-Ials,0.2288736505379555,0.13926685832353625,0.01881059188221137
Slim-Ials,0.041233667825079645,0.16940222466827626,0.018056044646724098
Slim-Ials,0.5905158311963736,0.1658313621822639,0.018852802537079577
Slim-Ials,0.790523869200261,0.9952870954190658,0.018628168783646582
Slim-Ials,0.007065953435085648,0.47782067855414523,0.017229117162740462
Slim-Ials,0.215989915502653,0.46151195354756225,0.018388710912942748
Slim-Ials,0.6650703302533956,0.941906036648565,0.018592405400885314
Slim-Ials,0.8480595866375916,0.3999610389077638,0.01883575050194417
Slim-Ials,0.49418310259109843,0.6786835347436968,0.0185999597912728
Slim-Ials,0.14669142056541173,0.9526387448597796,0.01783540395392273
Slim-Ials,0.04291735901064797,0.1348027972109309,0.01818408960049989
Slim-Ials,0.6349800397287443,0.27575125416204815,0.018837380289370723
Slim-Ials,0.4573758178260019,0.46665540821589513,0.018707242659705966
Slim-Ials,0.9556830660807573,0.2340119162609695,0.018871559018691666
Slim-Ials,0.5410393202499821,0.6926482880780906,0.018623896680212342
Slim-Ials,0.9159296696388644,0.46008957023756303,0.018833079321473208
Slim-Ials,0.9978558344588713,0.8843083270996221,0.018749830004629844
Slim-Ials,0.5757601731079519,0.3161831344124032,0.018827488179336146
Slim-Ials,0.8106844594124486,0.9116637142359356,0.018668295527136086
Slim-Ials,0.7192305213403799,0.13346306612296832,0.018869425172142153
Slim-Ials,0.13251261833580485,0.8744404784672406,0.0178268175861101
Slim-Ials,0.4438212280246818,0.3560191443067514,0.018767855645636437
Slim-Ials,0.04003151623274359,0.5808073876266914,0.017494400019217038
Slim-Ials,0.9855099185343327,0.11122349861180059,0.018848100473214797
Slim-Ials,0.5596356356166701,0.6340700893554797,0.018663973998665373
Slim-Ials,0.32381569874814486,0.9315061775816537,0.01822622249957961
Slim-Ials,0.4898983080171181,0.20120443654608933,0.018839837686351283
Slim-Ials,0.5706505566635416,0.36404162272652074,0.018801398185960914
Slim-Ials,0.49210152235297,0.8758059473449992,0.018492804552761647
Slim-Ials,0.49926977320953725,0.3594135811806095,0.018785378778618734
Slim-Ials,0.9418305919278464,0.9773817702827189,0.018695275310993447
Slim-Ials,0.3937071781312238,0.8320466586513424,0.018393669920295955
Slim-Ials,0.7521044511305672,0.6607770517883642,0.018747816199733505
Slim-Ials,0.06960137609827355,0.7828495992306294,0.01757387881171446
Slim-Ials,0.33423482159320916,0.8680563445678169,0.01828117778617509
Slim-Ials,0.07049752146339816,0.17503430635686812,0.018307328171122756
Slim-Ials,0.40715457641756314,0.8733007067210911,0.018386947985978567
Slim-Ials,0.8789420541346477,0.022438430140963472,0.01879236536318792
Slim-Ials,0.37251184095947,0.017940226195611197,0.018807870634838582
Slim-Ials,0.4248759069653729,0.17028590083732864,0.01884187564320773
Slim-Ials,0.1685853570898571,0.531515355404886,0.018181565146390077
Slim-Ials,0.7837792055821146,0.6922276693729603,0.018748315720436313
Slim-Ials,0.04205125980516733,0.23644172896274152,0.01789385471850687
Slim-Ials,0.6657082829890526,0.1664089104831873,0.018868804794856687
Slim-Ials,0.03822522451897503,0.26898788183404676,0.01778755068033833
Slim-Ials,0.7278363260442265,0.21211612452371809,0.01884850772491485
Slim-Ials,0.9522919451918235,0.12836437230373088,0.018854829720718055
