recommender,alpha,beta,MAP
RP3beta-Slim,0.9744855240712852,0.3642044123890704,0.019587834261740506
RP3beta-Slim,0.9115414694745478,0.8922757826609345,0.0197268692941614
RP3beta-Slim,0.0028440094918956715,0.12474942680092926,0.019613027616197886
RP3beta-Slim,0.9105191512918872,0.9315837231968171,0.019732320399225938
RP3beta-Slim,0.7369299248023808,0.6121632912908568,0.019722486123367914
RP3beta-Slim,0.13005737238806703,0.018643584837967353,0.019258208127585667
RP3beta-Slim,0.0850829286017536,0.48383146655453557,0.01968152723007613
RP3beta-Slim,0.49647182810787915,0.9856909988904736,0.01975547412906278
RP3beta-Slim,0.368011552256688,0.6764848088422114,0.019749150491534608
RP3beta-Slim,0.010642672249824847,0.7262969135580101,0.0196064376445316
RP3beta-Slim,0.4883848922494095,0.9922160818410846,0.01975893908583796
RP3beta-Slim,0.49568455622208535,0.9398295190328543,0.019752419560200282
RP3beta-Slim,0.3738609241695001,0.832628662024108,0.01975859589812005
RP3beta-Slim,0.2986365668004247,0.7781317132727829,0.019744969882232507
RP3beta-Slim,0.6713394331769313,0.8240687621917748,0.019751506489095776
RP3beta-Slim,0.28624306219779216,0.4773654440525113,0.019759581649178837
RP3beta-Slim,0.2316427449433036,0.3508611953590942,0.019757841538554876
RP3beta-Slim,0.6293816679968934,0.5440769452197609,0.019727197044747936
RP3beta-Slim,0.22511232642739729,0.27819595384200013,0.019751696178970154
RP3beta-Slim,0.5898515993700831,0.4744871850319999,0.019715856249973088
RP3beta-Slim,0.43065528088320826,0.16745588692103408,0.01959314707646221
RP3beta-Slim,0.35981635977458976,0.8593580392255669,0.019742349247488425
RP3beta-Slim,0.2265302950275824,0.6238428270832519,0.01974444533533118
RP3beta-Slim,0.43075097193929046,0.7719047285705185,0.01975131227105596
RP3beta-Slim,0.5609153613232689,0.40961113575145025,0.019727493046530348
RP3beta-Slim,0.757382518439977,0.564139595495833,0.019725584786077843
RP3beta-Slim,0.325453081546239,0.9791517946287009,0.019735135068117676
RP3beta-Slim,0.42879730837592567,0.6859657047344088,0.019757338285082828
RP3beta-Slim,0.2785409735637622,0.8549969515802035,0.01973204988016541
RP3beta-Slim,0.1481003283826824,0.380103193122472,0.019743439024558714
RP3beta-Slim,0.5146678154206757,0.2908322085839444,0.019672409880338554
RP3beta-Slim,0.21411900019011076,0.32222125970567345,0.019760476699041355
RP3beta-Slim,0.1630483453143646,0.43975946542183125,0.019743278026116917
RP3beta-Slim,0.392257167074993,0.23403860047532504,0.019682587993911083
RP3beta-Slim,0.29315690063069366,0.32401025504128084,0.01973855285039662
RP3beta-Slim,0.07147184050532707,0.9136522480503305,0.019632311289281654
RP3beta-Slim,0.20549391987927373,0.21537560670018552,0.01973394446032793
RP3beta-Slim,0.45729921029832427,0.004839391907778212,0.018821571462124865
RP3beta-Slim,0.3462475064958971,0.08896273893226939,0.01946110130275004
RP3beta-Slim,0.9881066816263807,0.5382310525484588,0.019666047827526123
RP3beta-Slim,0.10182383434516129,0.618620070058404,0.019672301278450082
RP3beta-Slim,0.2727492544530634,0.35317150304314077,0.019753661959888136
RP3beta-Slim,0.1967771569574243,0.44247348063989916,0.019756620368633154
RP3beta-Slim,0.2375102126595517,0.9953949034216456,0.019690619987466653
RP3beta-Slim,0.05190165470124042,0.37949330026397343,0.01965583919748408
RP3beta-Slim,0.3723851535952654,0.3037937572123113,0.019722212921757878
RP3beta-Slim,0.32740444158057325,0.49906966625502175,0.01975765859699675
RP3beta-Slim,0.8701785282583261,0.2498861003948677,0.019505844534562448
RP3beta-Slim,0.5115753944734516,0.17831760595003038,0.019572294816613947
RP3beta-Slim,0.257489963969811,0.7936319271631704,0.01973130152466868
RP3beta-Slim,0.1802959210931413,0.9462278503354755,0.019681018017191482
RP3beta-Slim,0.31083822679632456,0.5101953195160698,0.019758930382137333
RP3beta-Slim,0.12223229500824032,0.7201607978685801,0.01967522338387791
RP3beta-Slim,0.40140896423551276,0.34183661382455255,0.019727079059700395
RP3beta-Slim,0.31444379671642564,0.4250751070168052,0.01975387355348731
RP3beta-Slim,0.5588200890105786,0.5663454259211,0.01973180809847051
RP3beta-Slim,0.4858678448188871,0.8851530418822794,0.019749178511534838
RP3beta-Slim,0.25045248368996353,0.6571671785659114,0.01974493795687031
RP3beta-Slim,0.4586380529128721,0.07157010193786406,0.019300057690493876
RP3beta-Slim,0.3462210272890762,0.4695817984686744,0.01975377854490075
RP3beta-Slim,0.6690505209957827,0.38488884344363683,0.01967455113591331
RP3beta-Slim,0.3150430979149253,0.5114676355312012,0.01975891611879862
RP3beta-Slim,0.3941041002194512,0.5410257974224577,0.01975648388819981
RP3beta-Slim,0.2980261665358803,0.5032837178314213,0.019756195366021526
RP3beta-Slim,0.2122377430213254,0.25908678621695763,0.019750564851172037
RP3beta-Slim,0.26851340374280425,0.584035197302269,0.01976417376002872
RP3beta-Slim,0.370392420456106,0.5952093386139975,0.019758472473549643
RP3beta-Slim,0.27579993536700775,0.7400997431787638,0.019744357883481767
RP3beta-Slim,0.15411255507712582,0.6663387402566365,0.019690762489622714
RP3beta-Slim,0.3218131368753661,0.5159648889174767,0.01975727476770517
RP3beta-Slim,0.44639982201983663,0.8478135219212062,0.019754538756568997
RP3beta-Slim,0.3707241212102621,0.5902174898027548,0.019757427759816898
RP3beta-Slim,0.40776634142414636,0.588202771619213,0.019756624606266787
RP3beta-Slim,0.3560040135431387,0.46221628380019253,0.019752691204537882
RP3beta-Slim,0.2803790039295161,0.6996079443054638,0.019739276830745705
RP3beta-Slim,0.18375025485816426,0.6318450776264424,0.01971455193024714
RP3beta-Slim,0.5412866833634126,0.5764618516027572,0.01973177598287186
RP3beta-Slim,0.6127719708720274,0.9639277117418791,0.01975360512132292
RP3beta-Slim,0.22632809173133117,0.5253024168514103,0.019750632096023357
RP3beta-Slim,0.30844008271160894,0.9028275838536921,0.01973914979717908
RP3beta-Slim,0.2490896759627332,0.7522144969333129,0.019733742831956
RP3beta-Slim,0.25743090413790853,0.3920230468178494,0.019757486128332363
RP3beta-Slim,0.33636238081135034,0.44372568765691495,0.019752826813816578
RP3beta-Slim,0.42092973568866454,0.8037288611233814,0.019752825104088406
RP3beta-Slim,0.383258627807001,0.6379659910286343,0.01976003446584641
RP3beta-Slim,0.37934381786355165,0.608832403793879,0.019758332564116
RP3beta-Slim,0.473757451350747,0.6510196514412725,0.01975739343882483
