recommender,alpha,beta,MAP
RP3beta-Slim,0.7199684860984414,0.6990944652685523,0.01965010056127555
RP3beta-Slim,0.5575846355968402,0.7229397562938021,0.01969506731513223
RP3beta-Slim,0.82301171250583,0.18032133639240155,0.01926847605755466
RP3beta-Slim,0.8397984454896503,0.5396748159788667,0.0196335150715319
RP3beta-Slim,0.66261304790937,0.5084407335577352,0.019648848490314615
RP3beta-Slim,0.46244674319673396,0.5202304602052423,0.019675586040417182
RP3beta-Slim,0.7155232099545642,0.35669437863510867,0.019537642633233508
RP3beta-Slim,0.7455278494401874,0.07978124595338087,0.019019462285960815
RP3beta-Slim,0.5310253986197879,0.8398890812408714,0.019708803502791767
RP3beta-Slim,0.607291801119267,0.8708817535361348,0.01970790450397379
RP3beta-Slim,0.46923723495937775,0.11294894520726351,0.019310000110767455
RP3beta-Slim,0.8140172958587771,0.2810098705492947,0.01944286501527772
RP3beta-Slim,0.9611242162395378,0.364913175096775,0.019468318846496132
RP3beta-Slim,0.18146577787340856,0.7291132462747609,0.019629677760845773
RP3beta-Slim,0.8167445686356851,0.7485859840251702,0.01965524433779057
RP3beta-Slim,0.7823949718752345,0.2260794251329672,0.019380945853567897
RP3beta-Slim,0.5374538877670088,0.024991787528554577,0.01881171938419443
RP3beta-Slim,0.40974962775714807,0.2671702270057177,0.01963838489571186
RP3beta-Slim,0.07164328636827633,0.36775503157038925,0.019598056540596865
RP3beta-Slim,0.6734056290925888,0.553625944095552,0.01963935015736896
RP3beta-Slim,0.193482834013046,0.48157788119311196,0.019695222587755364
RP3beta-Slim,0.00022627825276788638,0.9136018435375903,0.0195129157152506
RP3beta-Slim,0.9198465573831369,0.7979401656162273,0.019650030342445977
RP3beta-Slim,0.8064154404997291,0.8367949172682608,0.019650522863250534
RP3beta-Slim,0.10255502348191203,0.29296710087720523,0.019671495546345612
RP3beta-Slim,0.9528465658861903,0.19593873164089692,0.019236910221171213
RP3beta-Slim,0.2332539141581248,0.7012808865567888,0.019664804977584976
RP3beta-Slim,0.37044138204135035,0.7311962179793446,0.01971911281376902
RP3beta-Slim,0.9016512688380655,0.6937844247765347,0.019646619289725335
RP3beta-Slim,0.886086182713365,0.5393904693890201,0.019611511852938104
RP3beta-Slim,0.006924318979404598,0.9548829526575561,0.019518971347552382
RP3beta-Slim,0.17959977852056686,0.8036120292936816,0.019616441016974025
RP3beta-Slim,0.9123062202123591,0.5715750459621682,0.01962121589738445
RP3beta-Slim,0.06101607107411844,0.7832440218157485,0.01957320698691164
RP3beta-Slim,0.06683598233020349,0.6367922011798042,0.01958478023682108
RP3beta-Slim,0.4746865977040383,0.9552837169211362,0.019717438440833058
RP3beta-Slim,0.8609776607331902,0.9776815369916063,0.019679775434248693
RP3beta-Slim,0.974219198309606,0.770906490466421,0.01964608028603358
RP3beta-Slim,0.8021487122845645,0.5892444379373936,0.01964848157220523
RP3beta-Slim,0.9538250438184639,0.26454670660190527,0.01936674384803903
RP3beta-Slim,0.979189282971285,0.3690486792634833,0.019463489571217754
RP3beta-Slim,0.6309326194802035,0.05857308957228591,0.018977710763300133
RP3beta-Slim,0.28047427934471103,0.9250791679453907,0.019662626215873256
RP3beta-Slim,0.11342951575695615,0.3806075797440118,0.019667251757646137
RP3beta-Slim,0.23082452920051777,0.4756399575916289,0.019718993145059475
RP3beta-Slim,0.5850737331344227,0.04290041462619332,0.018898017336732048
RP3beta-Slim,0.2332678579793953,0.5182757371061657,0.01969844968692255
RP3beta-Slim,0.6935223281990904,0.34532004298773233,0.019537869113683794
RP3beta-Slim,0.48891047874222726,0.38669506499392725,0.01964701983375311
RP3beta-Slim,0.0441435270029753,0.5983420081074694,0.019574140600645596
RP3beta-Slim,0.38571881454051327,0.2605034691453778,0.01964751235455769
RP3beta-Slim,0.948856830097982,0.9849121816834442,0.01965060989503929
RP3beta-Slim,0.8249843741537827,0.7838843803177898,0.019657512109286252
RP3beta-Slim,0.07790074803853553,0.8144949649080424,0.01957717385628328
RP3beta-Slim,0.24184554590554952,0.3389446762095888,0.01969404271361914
RP3beta-Slim,0.7376941756074369,0.4829103204293751,0.01963938576128256
RP3beta-Slim,0.6811998649164146,0.4164753236231208,0.019613290070622007
RP3beta-Slim,0.4698425229283244,0.42945424572700286,0.019652322838881634
RP3beta-Slim,0.679429644715435,0.5538402423206651,0.019649351890092762
RP3beta-Slim,0.8826176139508838,0.7160604769959085,0.0196508729684008
RP3beta-Slim,0.7208371013490856,0.4659255791762239,0.019638185118196764
RP3beta-Slim,0.9736275162025745,0.20268970979595125,0.01923456926385318
RP3beta-Slim,0.6198559330979092,0.497579557435753,0.01965617003954373
RP3beta-Slim,0.6211137194821054,0.1168480410350422,0.019202439698838045
RP3beta-Slim,0.4896864595678342,0.604497659668224,0.019689329151059927
RP3beta-Slim,0.6662872530613914,0.9746701737513324,0.01970963821676573
RP3beta-Slim,0.03249145216041627,0.7601779870403094,0.019552764406529873
RP3beta-Slim,0.9485148075069298,0.6966679106369073,0.01964876343652109
RP3beta-Slim,0.6075304574746806,0.783529481890672,0.0197001299938441
RP3beta-Slim,0.8018574882292724,0.36180628641226076,0.019500324786811348
RP3beta-Slim,0.7366642878107158,0.25581477982897427,0.019444597739072044
RP3beta-Slim,0.4050032421232649,0.8974632333432497,0.019701426569697058
RP3beta-Slim,0.10674088802811765,0.8292107451225125,0.019577675278066267
RP3beta-Slim,0.943900155794175,0.10511736921418346,0.019026791747170754
RP3beta-Slim,0.7082977309306223,0.940695671292598,0.019689144208508803
RP3beta-Slim,0.556195493341693,0.5622378853067828,0.019650721651768045
RP3beta-Slim,0.29438747501612106,0.6439622932199803,0.01969905198646064
RP3beta-Slim,0.4987036071060036,0.6740510293707634,0.019689630795327758
RP3beta-Slim,0.7948472219797026,0.3706399596426362,0.019523618647272502
RP3beta-Slim,0.13014781612992332,0.06686259612772705,0.019552934514117062
RP3beta-Slim,0.7956114112192991,0.7699407904442221,0.01965297557729731
RP3beta-Slim,0.13103410373883173,0.29097083856501615,0.019699730438813907
RP3beta-Slim,0.2576602785547967,0.32790223625852444,0.01969280349962698
RP3beta-Slim,0.5617863091586802,0.12485157302093985,0.019277253411250257
RP3beta-Slim,0.5224628019541864,0.8886934230597633,0.019715118252464595
RP3beta-Slim,0.6835541869565512,0.2723269906305785,0.019477152573054927
RP3beta-Slim,0.4293358262770397,0.6725576907512765,0.019713230256047157
RP3beta-Slim,0.4303245820235271,0.21263096790103186,0.019538165812963634
RP3beta-Slim,0.6544950654998539,0.07034360769867565,0.019021020946177632
RP3beta-Slim,0.3257117148943508,0.6959724913267911,0.01970164217117375
RP3beta-Slim,0.5883090510757227,0.2487573305387797,0.019491222052905467
