recommender,alpha,beta,MAP
RP3beta-Slim,0.032203011962498085,0.7906499058813775,0.019525873561799283
RP3beta-Slim,0.8721502522594153,0.1255948409398704,0.019077737980514035
RP3beta-Slim,0.19851537487188353,0.3062374457048269,0.01963695480518292
RP3beta-Slim,0.384889391345304,0.1382668034561807,0.019362662254945817
RP3beta-Slim,0.015275043685031076,0.7049289604109982,0.019520041442955025
RP3beta-Slim,0.4536678401349765,0.4756715168384499,0.019619288341063003
RP3beta-Slim,0.28591707001138267,0.397773339818299,0.019622336431664642
RP3beta-Slim,0.9020658762872235,0.34392827144272076,0.01938700049687205
RP3beta-Slim,0.32473440927177044,0.813427308624001,0.01965083439749436
RP3beta-Slim,0.2028915285353814,0.07541570709748713,0.019372627394758438
RP3beta-Slim,0.6766761765680763,0.6362337498700965,0.019609894841862895
RP3beta-Slim,0.5781633223864796,0.9636481948588393,0.019638145558292748
RP3beta-Slim,0.6534985341640821,0.9833651644705583,0.019634885822204746
RP3beta-Slim,0.6081884929346988,0.9852607209803206,0.019641412217363895
RP3beta-Slim,0.765355873244935,0.8320349866625132,0.019603273502934206
RP3beta-Slim,0.4834562623268914,0.8664244196458621,0.019643775921626742
RP3beta-Slim,0.3826561323559145,0.608385520032956,0.01963399869135801
RP3beta-Slim,0.5070211089956614,0.8608275176401902,0.019639339278395347
RP3beta-Slim,0.28794689971038456,0.7308030982639306,0.019653419637219467
RP3beta-Slim,0.14900400268322098,0.7101640383983566,0.019600273873214818
RP3beta-Slim,0.3351644017248228,0.5578990584568123,0.01963614580514655
RP3beta-Slim,0.4838651668349022,0.8698383715192405,0.01964017300337175
RP3beta-Slim,0.2632365833727831,0.7484394760745355,0.01963680645554298
RP3beta-Slim,0.4515844580401749,0.8872403952747182,0.01963256464483875
RP3beta-Slim,0.11350806259926594,0.6602002802231328,0.01956435348040082
RP3beta-Slim,0.3378779616220839,0.7852080520482255,0.019652937995388513
RP3beta-Slim,0.2899467306752492,0.5144648445906244,0.019643475266356486
RP3beta-Slim,0.3785257724086526,0.7675642105594224,0.01963353089549345
RP3beta-Slim,0.1037943091969818,0.5777477484990963,0.019573976427043994
RP3beta-Slim,0.1895214532202934,0.7955548693178869,0.01959992871305254
RP3beta-Slim,0.06479330540017414,0.6777112583031004,0.01956400238625303
RP3beta-Slim,0.5306527159978351,0.8050258967918762,0.01963733853625153
RP3beta-Slim,0.40692704241345734,0.9138467051205598,0.019647367960908112
RP3beta-Slim,0.24412831374871935,0.9255026642212085,0.01961557465507673
RP3beta-Slim,0.3436142832514163,0.922226169745259,0.01964925694632312
RP3beta-Slim,0.3293978516734415,0.769175893663168,0.01965432358102541
RP3beta-Slim,0.3275926313759265,0.765050141243766,0.01965432358102541
RP3beta-Slim,0.1999030509494768,0.7350721202187496,0.01961314963296276
RP3beta-Slim,0.41292274597336753,0.46839436433361986,0.019612342610921662
RP3beta-Slim,0.30374699522793963,0.7181450408494183,0.01965027561385065
RP3beta-Slim,0.2232821357699714,0.15816744788322346,0.019541816203103368
RP3beta-Slim,0.33501537775937673,0.8095917071846249,0.019651612738605172
RP3beta-Slim,0.3518156736686038,0.7645673850314694,0.01964647094008533
RP3beta-Slim,0.26065745001167673,0.6757532135793898,0.019652655142075027
RP3beta-Slim,0.15939430263654758,0.6377526314505743,0.01960391931836656
RP3beta-Slim,0.2637387067988299,0.5448195918973064,0.01964231813916504
RP3beta-Slim,0.43678417186650903,0.7014525732952662,0.019641633752826175
RP3beta-Slim,0.9791591915715374,0.40884465023744715,0.019430636059959806
RP3beta-Slim,0.28482137821146225,0.6061663049366117,0.019633406281795895
RP3beta-Slim,0.02604088894148876,0.6846443650348919,0.01952135680976235
RP3beta-Slim,0.15124371608281853,0.8379302107838269,0.01957424147840067
RP3beta-Slim,0.31712003289579327,0.7812137783848969,0.019648772337499395
RP3beta-Slim,0.23137135233753742,0.8255344690160319,0.019614106982639077
RP3beta-Slim,0.3911553607706277,0.758762670516308,0.01963261112772594
RP3beta-Slim,0.35155582849780787,0.6316543247000919,0.0196410650792065
RP3beta-Slim,0.3030797440319954,0.726249389676792,0.019651774934211497
RP3beta-Slim,0.25645978536357594,0.7431421495257927,0.019638040724547164
RP3beta-Slim,0.5733822987345158,0.6862900049184446,0.01960730267915458
RP3beta-Slim,0.4322554852767145,0.23178157485730966,0.01950290013656043
RP3beta-Slim,0.7416883613101959,0.6544079269486796,0.019591330367922575
RP3beta-Slim,0.17253957269642536,0.5887573673858227,0.019614914004680288
RP3beta-Slim,0.30687323341302086,0.8344817589775324,0.01964274241913519
RP3beta-Slim,0.37019952153931773,0.7970272260888165,0.019636894476329346
RP3beta-Slim,0.2773620783594719,0.8771517580240512,0.019629586773066556
RP3beta-Slim,0.32291237303504183,0.7314913571825253,0.019650157923136305
RP3beta-Slim,0.22196164147893663,0.9522347219641278,0.01959747896599858
RP3beta-Slim,0.47182328513272387,0.8509562281991248,0.019640342121961266
RP3beta-Slim,0.10093714484012217,0.7799431981452388,0.019568499358337967
RP3beta-Slim,0.3571257175660014,0.7175740577063809,0.019636048883381798
RP3beta-Slim,0.39821335890589354,0.8102784250785832,0.01963824149105989
RP3beta-Slim,0.2954777526382113,0.9045250075207245,0.019630132699741506
