recommender,alpha,beta,MAP
Slim-Ials,0.5606925353184408,0.3593377909724911,0.019630923897821187
Slim-Ials,0.20839234868076806,0.9950159689638942,0.019594233075877144
Slim-Ials,0.9241706001474054,0.31574256054823113,0.019430592544065504
Slim-Ials,0.5469384866633179,0.501451385737872,0.019653803368288123
Slim-Ials,0.785304645633214,0.08616355643955809,0.019047180921682172
Slim-Ials,0.9210630417917928,0.8306151267840465,0.019653476999080287
Slim-Ials,0.6629182279563532,0.7139116222998979,0.019666524844410508
Slim-Ials,0.045117684212383824,0.739728496528667,0.019531144919004675
Slim-Ials,0.5506318713829891,0.5103673601804515,0.019654902144621164
Slim-Ials,0.593425512132333,0.48359185592198894,0.01965484873875082
Slim-Ials,0.28520274480708596,0.727706848130807,0.01964316076511981
Slim-Ials,0.7214757594482262,0.5920981679090399,0.01965151878383329
Slim-Ials,0.3987344562990813,0.19868138043762185,0.01955028103355759
Slim-Ials,0.7167376038964011,0.6944974640333852,0.0196725745427267
Slim-Ials,0.7491586560266265,0.9006888180428105,0.019669583813985824
Slim-Ials,0.8256117133416906,0.9997035556132415,0.01966939095945392
Slim-Ials,0.9914446825944416,0.8679117006417407,0.019648856402295398
Slim-Ials,0.4223366756997433,0.8319428084852905,0.019665754415280512
Slim-Ials,0.789268698750443,0.6286381544494853,0.019658897694923183
Slim-Ials,0.6837140006687386,0.901376943494329,0.01967664921283666
Slim-Ials,0.41847201335115086,0.6130297587947269,0.01967362485817736
Slim-Ials,0.4245037172946472,0.6237642371633836,0.01967744931189464
Slim-Ials,0.4081381519640471,0.4212461605344322,0.019661962598484007
Slim-Ials,0.28479927029161717,0.5856068420306789,0.019667123187958224
Slim-Ials,0.4547104779530157,0.6351563941383381,0.01967302948162246
Slim-Ials,0.30206640542894014,0.78172723635224,0.01963614283815372
Slim-Ials,0.11744877648654461,0.9369842155571776,0.01954906258851496
Slim-Ials,0.4826624688187828,0.2709400588764646,0.019589748960761055
Slim-Ials,0.6119925452075938,0.6661854918051339,0.019670702370270812
Slim-Ials,0.3244146480911604,0.4276603087313023,0.019676560203052706
Slim-Ials,0.3319424188046467,0.40399241317953494,0.019670320617197458
Slim-Ials,0.34676810976986716,0.44218587142143984,0.01967436858437222
Slim-Ials,0.1825032338871363,0.39668704279264366,0.019657950235222824
Slim-Ials,0.21367668899051526,0.3196706478857102,0.01967882896354595
Slim-Ials,0.22893350147753216,0.3165724546953477,0.019675892629673022
Slim-Ials,0.22807285170616037,0.1881834446477535,0.01965520972287463
Slim-Ials,0.10777624199889521,0.25236264723022894,0.019659061868524678
Slim-Ials,0.15226193870455923,0.03774189251669818,0.019342949554792512
Slim-Ials,0.3477499801758671,0.34748120907253116,0.019667212197742187
Slim-Ials,0.5184953133211027,0.5623510854925192,0.019670579734568483
Slim-Ials,0.02400204501001707,0.5312931286015017,0.01953387158538651
Slim-Ials,0.2509048721469178,0.31158269944597794,0.019669783591500917
Slim-Ials,0.06914263389214456,0.21559046036746843,0.019621399850937877
Slim-Ials,0.19741208083957185,0.12960240841039838,0.01963522109239102
Slim-Ials,0.25516927925493077,0.4612295911314551,0.019674712755536828
Slim-Ials,0.6099170239180585,0.3422241888918584,0.01958850875777127
Slim-Ials,0.36941062454693263,0.3115077083948409,0.019654297867087885
Slim-Ials,0.8751264941824324,0.7723466073864378,0.01964212429563558
Slim-Ials,0.6480266102441224,0.3737099269761951,0.019603551411259728
Slim-Ials,0.48754072213713895,0.13424216319294002,0.019364472120552957
Slim-Ials,0.1669192321517891,0.4813139612899664,0.019624225417079685
Slim-Ials,0.24319327362420035,0.5370763796354012,0.019660033064167377
Slim-Ials,0.29642781498858584,0.4863074011213102,0.0196707162162372
Slim-Ials,0.26298510321710156,0.4523812850130617,0.019677496783779443
Slim-Ials,0.37438969186950444,0.37501370482741847,0.01966583254609088
Slim-Ials,0.31978146185857353,0.9551261892106206,0.019620396018374387
Slim-Ials,0.4558992844963621,0.43416979231563846,0.019675845157788276
Slim-Ials,0.1336059077859884,0.27884499737651647,0.019660103282996933
Slim-Ials,0.5653028651513028,0.32900160655242344,0.019610000664606105
Slim-Ials,0.27491380639769725,0.22620342753817949,0.019653286122543603
Slim-Ials,0.20344651098908556,0.8453834608387857,0.01960222813247153
Slim-Ials,0.4494035350692104,0.4316103689489638,0.019674077819077953
Slim-Ials,0.3924620372762724,0.45449554384081775,0.019664490476348363
Slim-Ials,0.6713551333839326,0.5066700872208807,0.01964513480432848
Slim-Ials,0.4449114068694093,0.3820778969366149,0.019653585788816243
Slim-Ials,0.5248267759908966,0.287407985374978,0.019592840567257096
Slim-Ials,0.07971129539926039,0.5252575358159516,0.019555173604682296
Slim-Ials,0.21986310693302324,0.4161290175661574,0.019668982503445304
Slim-Ials,0.31335454628451614,0.5538753698239135,0.019675850102776254
Slim-Ials,0.3231713899279339,0.6514214062657487,0.01967023160741348
Slim-Ials,0.2655332136731665,0.7004210211279817,0.0196323767352948
Slim-Ials,0.3574190252904844,0.4623052280973208,0.01967106137639948
Slim-Ials,0.3008708737371059,0.5740101877967939,0.019670051609850372
Slim-Ials,0.42181935728679076,0.5579107490858517,0.019675882739697045
Slim-Ials,0.41294386308921893,0.6776623475260709,0.01967057775657327
Slim-Ials,0.3865222446365859,0.5556704276401604,0.019668043944723358
Slim-Ials,0.22256243136388806,0.6146760397487685,0.019630958512737093
Slim-Ials,0.18369448251723602,0.7473758727120519,0.019606085223109603
Slim-Ials,0.3386607983422776,0.589102799379755,0.01967739392802909
Slim-Ials,0.341190813480588,0.5852768679926368,0.019677251512374764
Slim-Ials,0.9882009365261714,0.5958810793360529,0.019625539794889513
Slim-Ials,0.33999657363192065,0.5986087838245362,0.0196767639365582
Slim-Ials,0.33523000460966396,0.6322739216242499,0.019671942573260624
Slim-Ials,0.2768373963747213,0.6069903306345428,0.01966060371578229
Slim-Ials,0.2366736155251247,0.5131472159365846,0.019656822777959382
Slim-Ials,0.34378363090879155,0.6540361457758928,0.019668986459435704
Slim-Ials,0.3627691064555548,0.8007664512673304,0.01966001229521779
Slim-Ials,0.2821644748069717,0.3563476385945483,0.019674688030596854
Slim-Ials,0.4784022145272696,0.24858288901509468,0.01957012922638207
Slim-Ials,0.1564104089018573,0.8881611339076967,0.019573371160513182
Slim-Ials,0.8447711616185999,0.49276656030133614,0.019612240744168983
Slim-Ials,0.3986332048693997,0.5717380599856021,0.01966817152541369
Slim-Ials,0.4219643354457566,0.5413608214725466,0.019671610270067204
Slim-Ials,0.3066056437942325,0.40445904541451433,0.019677186238533192
Slim-Ials,0.25401852316156714,0.32380698491405224,0.01967436858437222
Slim-Ials,0.30641108202865747,0.39765723195882285,0.019673081898495266
Slim-Ials,0.7679086350412564,0.7177112311221208,0.01965295678634294
Slim-Ials,0.375596526241417,0.28872337689513594,0.019652847007609414
Slim-Ials,0.1940832628878653,0.41287742480174494,0.019658616819604874
Slim-Ials,0.33183823850394606,0.46928858266343115,0.019669801393457687
