recommender,alpha,beta,MAP
Slim-Ials,0.619296455072983,0.398307538318173,0.019776452579216064
Slim-Ials,0.9711605884004499,0.15400138680125242,0.01953017771582662
Slim-Ials,0.06532861300538251,0.07430995495749892,0.019769899774096003
Slim-Ials,0.4097807727115974,0.053577722867997,0.019462784402030604
Slim-Ials,0.47071386494161893,0.11405167976864916,0.019619598155687413
Slim-Ials,0.6194361104898946,0.5337771994131727,0.019764562662906347
Slim-Ials,0.9988354285860298,0.7672235192101147,0.019771257548143822
Slim-Ials,0.5160853904089484,0.038018369886358094,0.01927597519004604
Slim-Ials,0.4756782488173128,0.7873256959857966,0.019740047050079767
Slim-Ials,0.03197822974114106,0.5857568189937711,0.019634259017887422
Slim-Ials,0.05897218067811871,0.0528643930417132,0.019764457513053318
Slim-Ials,0.4532099914540094,0.6435123991951869,0.01974812131148745
Slim-Ials,0.7250777539338807,0.35854364274841766,0.019749246927079658
Slim-Ials,0.7427339713330221,0.7575900739330454,0.019763301373002865
Slim-Ials,0.8130356854625496,0.6022656729073214,0.019775045408918293
Slim-Ials,0.9040479049444732,0.46390770431679695,0.0197528682870048
Slim-Ials,0.9609925694194987,0.28805954109538223,0.019665650287429365
Slim-Ials,0.8541904853383708,0.2852195880635142,0.01969014372849234
Slim-Ials,0.3571758372720254,0.4035640546003816,0.019772407395951815
Slim-Ials,0.12283544015984438,0.5201473108751539,0.019681660983120092
Slim-Ials,0.0412342874540268,0.33112446032787946,0.019662755451222057
Slim-Ials,0.8192123336901583,0.22323440768197422,0.01965133930913132
Slim-Ials,0.5544980567422748,0.5582471786963674,0.01976577765885637
Slim-Ials,0.5160499995817491,0.7509928900118263,0.019749569776181388
Slim-Ials,0.13713448028024655,0.8876507534489769,0.01966416603151118
Slim-Ials,0.7491784189995543,0.956175022606471,0.01976197908491349
Slim-Ials,0.6343360636197066,0.5138192449432611,0.019767642355589945
Slim-Ials,0.7444462927884159,0.8084589063921448,0.01976524708257583
Slim-Ials,0.9447900286898034,0.4211040562718962,0.01973504979187077
Slim-Ials,0.1445871777014628,0.7731976901164604,0.01967769682257965
Slim-Ials,0.6370146999177476,0.5189869735255688,0.01976895897645786
