recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,73,188,dice,bm25,0.0168626816525452
ItemKNNCFRecommender,108,1109,asym,bm25,0.016865908559097975
ItemKNNCFRecommender,109,484,asym,bm25plus,0.016955669645384936
ItemKNNCFRecommender,189,1157,asym,bm25plus,0.016929060319666
ItemKNNCFRecommender,136,927,asym,bm25plus,0.016949197285232902
ItemKNNCFRecommender,73,1315,asym,tfidf,0.016124739012037478
ItemKNNCFRecommender,106,1543,dice,tfidf,0.015977928397959362
ItemKNNCFRecommender,40,614,rp3beta,bm25,0.015979094033447133
ItemKNNCFRecommender,75,1011,jaccard,tfidf,0.01598409088888833
ItemKNNCFRecommender,80,425,jaccard,bm25,0.017054309769148013
ItemKNNCFRecommender,12,167,jaccard,bm25,0.01683181605226599
ItemKNNCFRecommender,150,567,cosine,bm25plus,0.016982097082394943
ItemKNNCFRecommender,175,617,cosine,bm25plus,0.017000440250719746
ItemKNNCFRecommender,191,730,cosine,bm25,0.017057480612991945
ItemKNNCFRecommender,144,1857,cosine,bm25,0.016843761066355514
ItemKNNCFRecommender,47,796,jaccard,bm25,0.017014758374389653
ItemKNNCFRecommender,166,328,rp3beta,bm25,0.014087997238489995
ItemKNNCFRecommender,126,794,cosine,bm25,0.016966863208280527
ItemKNNCFRecommender,87,389,jaccard,bm25,0.017042101919448008
ItemKNNCFRecommender,197,789,jaccard,bm25,0.017145167879549405
ItemKNNCFRecommender,199,1400,cosine,tfidf,0.016201799573421286
ItemKNNCFRecommender,177,778,jaccard,bm25,0.01712241174681314
ItemKNNCFRecommender,173,816,jaccard,bm25,0.017123263455711177
ItemKNNCFRecommender,166,914,jaccard,bm25,0.017117451475049724
ItemKNNCFRecommender,179,1233,jaccard,bm25,0.017083381996798593
ItemKNNCFRecommender,158,916,jaccard,bm25,0.017115579129210013
ItemKNNCFRecommender,199,738,jaccard,bm25,0.017140317864911755
ItemKNNCFRecommender,185,1663,jaccard,bm25,0.017052905904800245
ItemKNNCFRecommender,195,708,dice,bm25,0.017169390480663276
ItemKNNCFRecommender,197,653,dice,tfidf,0.016058323000695835
ItemKNNCFRecommender,158,321,dice,bm25,0.01708921976054613
ItemKNNCFRecommender,200,1009,dice,bm25,0.017139625655624772
ItemKNNCFRecommender,197,1057,dice,bm25,0.01712712656114912
ItemKNNCFRecommender,184,509,dice,bm25,0.017149163344181307
ItemKNNCFRecommender,123,497,dice,bm25,0.017076688024320323
ItemKNNCFRecommender,184,102,dice,bm25plus,0.01652297286306156
ItemKNNCFRecommender,188,534,dice,bm25,0.017126318597443475
ItemKNNCFRecommender,164,286,rp3beta,bm25,0.014118373032313456
ItemKNNCFRecommender,142,701,asym,bm25plus,0.016969150414865783
ItemKNNCFRecommender,188,876,dice,tfidf,0.016046512607061938
ItemKNNCFRecommender,125,1147,dice,bm25,0.01703381269900046
ItemKNNCFRecommender,200,1021,dice,bm25,0.0171393927329858
ItemKNNCFRecommender,200,667,dice,bm25,0.017172864289115585
ItemKNNCFRecommender,174,680,dice,bm25,0.017133264811215902
ItemKNNCFRecommender,189,574,asym,bm25,0.017161782805286557
ItemKNNCFRecommender,183,463,asym,bm25,0.017185758479113706
ItemKNNCFRecommender,154,427,asym,bm25plus,0.016922181203262474
ItemKNNCFRecommender,181,576,asym,tfidf,0.016189242377334625
ItemKNNCFRecommender,171,242,asym,bm25,0.01713701818362856
ItemKNNCFRecommender,190,456,asym,bm25,0.01719035968655108
ItemKNNCFRecommender,61,424,asym,bm25,0.017113739770341026
ItemKNNCFRecommender,187,480,asym,bm25,0.017206880849712416
ItemKNNCFRecommender,191,383,asym,bm25,0.017205425440436923
ItemKNNCFRecommender,12,230,asym,bm25,0.016926520355734668
ItemKNNCFRecommender,94,367,asym,bm25,0.017142772944448752
ItemKNNCFRecommender,192,465,asym,bm25,0.017198137983537434
ItemKNNCFRecommender,168,463,asym,bm25,0.017181323728798933
ItemKNNCFRecommender,166,445,asym,bm25plus,0.01692556028627489
ItemKNNCFRecommender,150,126,asym,bm25,0.017049930788890954
ItemKNNCFRecommender,172,238,asym,bm25,0.0171275290205443
ItemKNNCFRecommender,179,193,asym,tfidf,0.016092350142952908
ItemKNNCFRecommender,190,352,asym,bm25,0.017221736515658885
ItemKNNCFRecommender,191,359,asym,bm25,0.01722053685118551
ItemKNNCFRecommender,191,376,asym,bm25,0.017213419889617186
ItemKNNCFRecommender,190,374,asym,bm25,0.017214473590736957
ItemKNNCFRecommender,192,332,asym,bm25,0.01722078809994301
ItemKNNCFRecommender,178,350,asym,bm25,0.01720049976008926
ItemKNNCFRecommender,23,293,rp3beta,bm25,0.016562034578165467
ItemKNNCFRecommender,161,188,asym,bm25,0.01704589583714571
ItemKNNCFRecommender,192,379,asym,bm25,0.017212611205660224
ItemKNNCFRecommender,194,1993,asym,bm25,0.016873270912252495
ItemKNNCFRecommender,190,385,asym,bm25,0.01721761863207571
ItemKNNCFRecommender,184,291,asym,bm25,0.01716772389873229
ItemKNNCFRecommender,177,381,asym,bm25,0.01720019906942369
ItemKNNCFRecommender,194,150,asym,bm25,0.017063534861244876
ItemKNNCFRecommender,188,529,cosine,bm25,0.01719719642399901
ItemKNNCFRecommender,181,616,asym,bm25,0.017148275689928747
ItemKNNCFRecommender,170,321,asym,bm25plus,0.01690007086918308
ItemKNNCFRecommender,194,259,rp3beta,tfidf,0.013800517364188936
ItemKNNCFRecommender,175,334,asym,bm25,0.017205396164632653
ItemKNNCFRecommender,186,200,asym,bm25,0.017088437074340438
ItemKNNCFRecommender,192,383,asym,bm25,0.01720623751783515
ItemKNNCFRecommender,195,402,asym,bm25,0.017207400022810914
ItemKNNCFRecommender,117,552,asym,bm25,0.017140163294327895
ItemKNNCFRecommender,196,504,asym,bm25,0.017217270343662387
ItemKNNCFRecommender,196,410,asym,bm25,0.017206989888955082
ItemKNNCFRecommender,181,282,cosine,bm25,0.01718112587038978
ItemKNNCFRecommender,199,516,asym,bm25,0.017221605670653627
ItemKNNCFRecommender,198,500,asym,bm25,0.017214123724819147
ItemKNNCFRecommender,199,636,asym,bm25,0.017141474970363432
ItemKNNCFRecommender,137,1457,asym,bm25,0.016849356912629173
