recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.10770651201906221,0.8300784811578726,669,0.009715792015226946
RP3betaRecommender,0.56699613874681,0.2885637562285005,387,0.017132873038609855
RP3betaRecommender,0.6726162049061973,0.6075310325642513,176,0.017690429834263142
RP3betaRecommender,0.8604135358419958,0.60635127402481,347,0.017536407182021804
RP3betaRecommender,0.2809114270941152,0.2860082457494835,971,0.016428159870305353
RP3betaRecommender,0.16715691606807043,0.8324607967853322,190,0.010511328117654728
RP3betaRecommender,0.1622570655628029,0.7823779034176196,379,0.012100635786575692
RP3betaRecommender,0.2957556300615338,0.6157538991012401,348,0.017248133874290434
RP3betaRecommender,0.2935356996115235,0.699077382209132,478,0.01540223462343189
RP3betaRecommender,0.24284058656913513,0.3597848344321126,883,0.01697469087483403
RP3betaRecommender,0.6929488313976839,0.44981752202667585,106,0.018444764060207782
RP3betaRecommender,0.6838191371618044,0.438714649966961,139,0.018422586101614433
RP3betaRecommender,0.7317607109478877,0.12245493410515068,107,0.01829183764883874
RP3betaRecommender,0.465960512580907,0.4443762328313711,626,0.017647249286465858
RP3betaRecommender,0.8996184825604732,0.48531229952486804,207,0.0180736625923005
RP3betaRecommender,0.7482601983618364,0.40786533611689896,242,0.018030496880158554
RP3betaRecommender,0.5208499576173689,0.15973662778292153,107,0.01837173255708385
RP3betaRecommender,0.6374448393244538,0.5273240118497363,781,0.017658346451024154
RP3betaRecommender,0.4475855188333447,0.2992673071228672,479,0.01699232519530602
RP3betaRecommender,0.7905702918338321,0.22695227589290362,277,0.017280744282103105
RP3betaRecommender,0.5968724165751844,0.503120501338491,501,0.01793002870692142
RP3betaRecommender,0.5295325555822934,0.13210820725235356,103,0.018273134389571552
RP3betaRecommender,0.3809863827742949,0.19159466495841318,150,0.018136594531441282
RP3betaRecommender,0.6731673244865378,0.38021803630322243,222,0.01812487185900701
RP3betaRecommender,0.3986470161990737,0.7162955489660731,296,0.01528364662301302
RP3betaRecommender,0.8163816391641456,0.5575445691195559,135,0.01805119536873725
RP3betaRecommender,0.5358085731469194,0.34756293127860577,282,0.017853943259803166
RP3betaRecommender,0.6185793972813196,0.19921285511493264,425,0.016633265059439444
RP3betaRecommender,0.7065044871619302,0.4571114518941657,607,0.017570132323945345
RP3betaRecommender,0.49989893431268423,0.8864561180488071,718,0.008760250885252065
RP3betaRecommender,0.7660737045230455,0.4207424471930116,104,0.018493154778966764
RP3betaRecommender,0.7937597272898324,0.4158634767938118,100,0.01849389357393718
RP3betaRecommender,0.7758951657445602,0.42822111137678287,173,0.01832533862580641
RP3betaRecommender,0.8236006955365532,0.31116522259033436,239,0.01770436011144706
RP3betaRecommender,0.6961232400079703,0.5505101774489379,165,0.01814763050799847
RP3betaRecommender,0.866233622223741,0.2564459555618974,318,0.017102244288429862
RP3betaRecommender,0.6515446291434579,0.3871897140481874,165,0.01836835866405925
