recommender,factors,alpha,regularization,iterations,MAP
ImplicitALSRecommender,274,45,0.0008574939152264301,26,0.012186432377091685
ImplicitALSRecommender,301,32,0.00525508974648031,66,0.012754528422209014
ImplicitALSRecommender,248,42,0.007646026147950088,58,0.012178683580899595
ImplicitALSRecommender,389,38,0.007503791326650069,13,0.011912168507784952
ImplicitALSRecommender,395,29,0.008132011293965966,41,0.012730406770757041
ImplicitALSRecommender,311,18,0.0012702335052092368,52,0.01352914496805961
ImplicitALSRecommender,326,22,0.008866371931823875,12,0.012628955396999864
ImplicitALSRecommender,340,28,0.0002989894996583322,12,0.012510675240089487
ImplicitALSRecommender,286,25,0.0048539959842895265,41,0.012909714013542517
ImplicitALSRecommender,272,2,0.001027960376823922,13,0.012338495703003664
ImplicitALSRecommender,213,12,0.0027719155194024588,92,0.014025209351012114
ImplicitALSRecommender,214,11,0.002853307394811609,95,0.014046692356868513
ImplicitALSRecommender,217,9,0.003104004638302811,99,0.014143283796421779
ImplicitALSRecommender,200,4,0.0034123520795708955,99,0.013906140963014887
ImplicitALSRecommender,235,11,0.002943739379897738,83,0.013953132194957871
ImplicitALSRecommender,234,11,0.0046953196743012935,78,0.014025151989151316
ImplicitALSRecommender,253,16,0.0058857559148627085,80,0.0137444823823926
ImplicitALSRecommender,218,7,0.0019355195773559603,100,0.01429755950996376
ImplicitALSRecommender,353,5,0.002164112582059612,72,0.013228626179478918
ImplicitALSRecommender,221,7,0.0039022525680226456,90,0.01414494827938175
ImplicitALSRecommender,254,18,0.004066403320992488,87,0.013596870534676104
ImplicitALSRecommender,224,7,0.0018638633440223144,100,0.014137249922067182
ImplicitALSRecommender,200,1,0.006250741493217183,90,0.011953819152690549
ImplicitALSRecommender,234,8,0.003912947491051282,74,0.01408887706047783
ImplicitALSRecommender,217,15,0.0020224104789039574,87,0.01377610360264162
ImplicitALSRecommender,273,22,0.0037130379157832953,99,0.013327481434537332
ImplicitALSRecommender,248,7,0.00020757897826615204,67,0.01395481942486254
ImplicitALSRecommender,201,8,0.00653564761357912,94,0.014215431171305627
ImplicitALSRecommender,202,14,0.00637264004449922,86,0.013904622851699681
ImplicitALSRecommender,265,1,0.006929557262366539,92,0.011454372397947658
ImplicitALSRecommender,288,22,0.009555529764707405,57,0.013084725050755756
ImplicitALSRecommender,234,8,0.00561246496348884,96,0.014207877207640635
ImplicitALSRecommender,229,5,0.005594758329877005,93,0.013936608023065322
ImplicitALSRecommender,242,47,0.004483732904784418,75,0.01200636459515221
ImplicitALSRecommender,211,33,0.00532612906087112,83,0.012637087924260586
ImplicitALSRecommender,258,4,0.006969222238853761,26,0.01356816290135531
ImplicitALSRecommender,226,42,0.00817246056890727,65,0.012148338167554005
ImplicitALSRecommender,243,19,0.007051646613672065,95,0.013527033458184672
ImplicitALSRecommender,222,13,0.004277983491943773,52,0.013914177557508439
ImplicitALSRecommender,208,9,0.00518411790703594,88,0.014167495446655248
ImplicitALSRecommender,378,9,0.005097546194770808,81,0.013400474402368856
ImplicitALSRecommender,207,6,0.006289312076468306,87,0.01421708774228483
ImplicitALSRecommender,209,3,0.007826181945750079,96,0.013530154734608776
ImplicitALSRecommender,210,10,0.006319734214459995,88,0.014051550313077314
ImplicitALSRecommender,307,6,0.005765909338222201,69,0.013607188746631726
ImplicitALSRecommender,240,17,0.007236126657877684,95,0.013701820981940368
ImplicitALSRecommender,205,14,0.0066094607972055856,84,0.013838121664111313
ImplicitALSRecommender,288,3,0.005392241806650957,43,0.012966246105327846
ImplicitALSRecommender,322,9,0.008422972887158472,63,0.013767553718393817
ImplicitALSRecommender,230,35,0.006062730477176294,76,0.01253793399192691
ImplicitALSRecommender,216,27,0.0049430734597591475,100,0.013042064639301078
ImplicitALSRecommender,221,12,0.000760911324609358,89,0.01402561780702072
ImplicitALSRecommender,207,7,0.007537334096554633,91,0.014199779295295843
ImplicitALSRecommender,207,5,0.007422217461242797,96,0.014057779019958958
ImplicitALSRecommender,200,10,0.007794805900733768,92,0.014086533136166987
ImplicitALSRecommender,212,7,0.006749569137543997,80,0.014191029633533065
ImplicitALSRecommender,217,7,0.008977405883754659,80,0.014120031473859858
ImplicitALSRecommender,233,2,0.0067631555370246555,85,0.012791914509465515
ImplicitALSRecommender,216,12,0.006590063531898933,97,0.014097386395823995
ImplicitALSRecommender,226,5,0.007432888859369996,92,0.013969511973200798
ImplicitALSRecommender,238,7,0.008728404103439709,79,0.014030912900168425
ImplicitALSRecommender,206,9,0.005949607410940947,89,0.014126763580519631
ImplicitALSRecommender,211,11,0.00553015842001329,93,0.01411559977561642
ImplicitALSRecommender,200,3,0.004860797491121876,83,0.013567843455130723
ImplicitALSRecommender,221,8,0.006302277722633996,98,0.014055064221548327
ImplicitALSRecommender,208,20,0.004587555805598093,90,0.013502009840921985
ImplicitALSRecommender,248,15,0.005991523086551236,86,0.013850078645089374
ImplicitALSRecommender,347,6,0.0013399962215526816,27,0.013405753671555025
ImplicitALSRecommender,227,1,0.002525013841455461,100,0.01180499578291461
ImplicitALSRecommender,214,50,0.0035881549535273305,72,0.011768497815502403
ImplicitALSRecommender,279,10,0.005732586758940975,77,0.013899820279356467
ImplicitALSRecommender,220,8,0.003357987681254078,94,0.014136918607871399
ImplicitALSRecommender,204,6,0.005117186103769695,91,0.014152700042566635
ImplicitALSRecommender,205,4,0.0052776831482298555,91,0.013826289296830855
ImplicitALSRecommender,203,6,0.004390727493917235,87,0.014132614490318364
ImplicitALSRecommender,212,13,0.0066821920991985235,82,0.01384709780632443
ImplicitALSRecommender,231,8,0.007099987680079363,97,0.014144540812370767
ImplicitALSRecommender,212,4,0.005206429454976837,95,0.01384543332336454
ImplicitALSRecommender,224,2,0.00613740789779426,19,0.012855576284945673
ImplicitALSRecommender,206,11,0.00647266929865923,86,0.0139778422999814
ImplicitALSRecommender,216,6,0.008075065593356329,89,0.014094751706218876
ImplicitALSRecommender,221,7,0.005545229862193212,92,0.014253866585015254
ImplicitALSRecommender,200,10,0.00554537329208019,93,0.014108915140841359
ImplicitALSRecommender,237,8,0.004114802930629305,97,0.014073601003555876
ImplicitALSRecommender,219,6,0.00484872270613907,91,0.014059781740097959
ImplicitALSRecommender,210,4,0.006874618022571883,84,0.01391569171283335
ImplicitALSRecommender,226,12,0.005868927186633198,100,0.013942718050235019
ImplicitALSRecommender,204,5,0.007316065238741095,88,0.014068217889621808
ImplicitALSRecommender,363,9,0.0055590699837592215,94,0.01349338973784478
ImplicitALSRecommender,245,7,0.007579702363318003,81,0.014060026022505053
ImplicitALSRecommender,295,2,0.006210903099829092,98,0.012304238804151954
ImplicitALSRecommender,222,30,0.005017388631247344,90,0.012980911950730907
ImplicitALSRecommender,231,9,0.0053467346428683225,49,0.014133755793548131
ImplicitALSRecommender,214,7,0.0015504329733489679,95,0.014191038534511445
ImplicitALSRecommender,215,3,0.001823987768963693,95,0.013388500608431633
ImplicitALSRecommender,207,5,0.000353147783811854,93,0.014053907094356957
ImplicitALSRecommender,258,24,0.0017743472372858055,85,0.01312723315658007
ImplicitALSRecommender,211,13,0.005704110002320847,98,0.014005316653295657
ImplicitALSRecommender,203,7,0.0010625722979785695,88,0.014182860513361113
ImplicitALSRecommender,399,7,0.006520243667026302,88,0.013271400325657476
ImplicitALSRecommender,220,10,0.0026157276529151377,60,0.013962386245496354
ImplicitALSRecommender,203,6,0.0013504429237590262,91,0.014175103805188197
ImplicitALSRecommender,200,8,0.0013879469588405735,96,0.014206001079194355
ImplicitALSRecommender,214,8,0.0013639336216528918,95,0.014254267129043013
ImplicitALSRecommender,216,8,0.0010360723894382502,96,0.014197233615474746
ImplicitALSRecommender,215,8,0.0015605899950913058,97,0.01420729468805453
ImplicitALSRecommender,228,8,0.001560996546158473,96,0.014156093293330597
ImplicitALSRecommender,218,11,0.0006586942320563035,98,0.014084772720439889
ImplicitALSRecommender,224,15,0.0022850168732667722,100,0.013757035728923155
ImplicitALSRecommender,214,11,0.0010092623804931935,94,0.014031105754700315
ImplicitALSRecommender,233,9,0.002115975154821691,96,0.014184945320300912
ImplicitALSRecommender,210,5,0.0015306469880689262,93,0.013945305267955291
ImplicitALSRecommender,213,8,0.001119039563429777,97,0.014183355012160987
ImplicitALSRecommender,218,41,0.0015685237979347324,100,0.01229289796867842
ImplicitALSRecommender,326,10,0.0008362779227205231,95,0.01376147731714254
ImplicitALSRecommender,208,4,0.0004870669015494144,92,0.013860680699356078
ImplicitALSRecommender,215,7,0.002032738551448156,31,0.014181834922850496
ImplicitALSRecommender,222,9,0.0006177956524495236,98,0.01418416500119487
ImplicitALSRecommender,201,8,0.002360472611000325,95,0.01419649780126075
ImplicitALSRecommender,201,12,0.0012956839885190643,95,0.014169177731571994
ImplicitALSRecommender,206,8,0.002393440346489762,90,0.014076076464547364
ImplicitALSRecommender,209,6,0.0018233030334088695,93,0.014132432514760023
