recommender,topk,shrink,MAP
ItemKNNCBFRecommender,500,185.7227202805829,4.4022263350042416e-05
ItemKNNCBFRecommender,19,196.76580966597527,3.1783381080347885e-05
ItemKNNCBFRecommender,146,156.11319002797714,4.081670840621436e-05
ItemKNNCBFRecommender,228,169.7458882283417,4.423954888914143e-05
ItemKNNCBFRecommender,459,194.5102204465774,4.6505474146802044e-05
ItemKNNCBFRecommender,429,119.47064235497545,5.7971955674587275e-05
ItemKNNCBFRecommender,145,189.9628811945677,4.179490384521141e-05
ItemKNNCBFRecommender,268,174.833050324793,4.740247812312616e-05
ItemKNNCBFRecommender,229,148.04551069029705,4.505480193588289e-05
ItemKNNCBFRecommender,275,23.928381569049662,5.263535880177408e-05
ItemKNNCBFRecommender,390,83.21753323008048,4.8761874123145255e-05
ItemKNNCBFRecommender,382,10.467527898055573,4.012309541713409e-05
ItemKNNCBFRecommender,332,90.78309418538711,4.468683056872494e-05
ItemKNNCBFRecommender,313,48.105227067059,4.3565006061966684e-05
ItemKNNCBFRecommender,421,124.57986961045559,4.770927949793595e-05
ItemKNNCBFRecommender,144,53.587948800356514,3.928936834073346e-05
ItemKNNCBFRecommender,320,124.6273913589544,4.23470033325505e-05
ItemKNNCBFRecommender,10,26.01795835971214,3.925127397716651e-05
ItemKNNCBFRecommender,77,65.40889452716944,3.902398939791819e-05
ItemKNNCBFRecommender,263,115.66203031216455,4.56267557028256e-05
ItemKNNCBFRecommender,369,90.58636989901534,4.7146313287895564e-05
ItemKNNCBFRecommender,421,82.92329861829909,4.640832855283548e-05
ItemKNNCBFRecommender,499,143.1682997363624,4.839891470536211e-05
ItemKNNCBFRecommender,390,68.83958772792754,4.947681994589767e-05
ItemKNNCBFRecommender,432,36.996198446684865,5.849138226906711e-05
ItemKNNCBFRecommender,445,37.823609430208904,5.7033997638825325e-05
ItemKNNCBFRecommender,443,43.2599401786168,5.252561512680268e-05
ItemKNNCBFRecommender,455,100.98735298859471,5.600666524284949e-05
ItemKNNCBFRecommender,347,33.91491952214833,4.6843875772881405e-05
ItemKNNCBFRecommender,495,109.22603953406895,4.8800221534334334e-05
ItemKNNCBFRecommender,431,65.7471420818894,5.424998300879708e-05
ItemKNNCBFRecommender,472,133.51947451970887,5.029272285076338e-05
ItemKNNCBFRecommender,460,14.376720946280752,4.662606270575135e-05
ItemKNNCBFRecommender,408,101.90071023069773,5.132269015292369e-05
ItemKNNCBFRecommender,470,34.3432807335422,5.404717588577273e-05
ItemKNNCBFRecommender,353,160.53062672936872,4.330271069210759e-05
ItemKNNCBFRecommender,436,71.64384232633472,5.0118617671844e-05
ItemKNNCBFRecommender,407,51.1161743190403,4.572295520838784e-05
ItemKNNCBFRecommender,477,178.38414586075456,4.8605139102813896e-05
ItemKNNCBFRecommender,291,58.67979408698508,6.5908649960081e-05
ItemKNNCBFRecommender,291,57.82426783431797,5.2190692318979224e-05
ItemKNNCBFRecommender,238,39.92559969259985,4.887949543204973e-05
ItemKNNCBFRecommender,447,20.551141496363062,6.982072907995891e-05
ItemKNNCBFRecommender,360,23.497638833839623,5.4124007875460896e-05
ItemKNNCBFRecommender,200,20.162206308287264,6.119151161456505e-05
ItemKNNCBFRecommender,212,21.216234322783745,5.253671109459499e-05
ItemKNNCBFRecommender,187,11.727556141663541,4.915105589386385e-05
ItemKNNCBFRecommender,175,29.027033831450936,5.119152588559269e-05
ItemKNNCBFRecommender,133,17.731726050389504,4.8859138938482065e-05
ItemKNNCBFRecommender,88,45.02911592035822,3.8138110846334234e-05
ItemKNNCBFRecommender,202,32.7287763128455,5.11209512586462e-05
ItemKNNCBFRecommender,290,38.374705440993495,4.6777024380924156e-05
ItemKNNCBFRecommender,401,55.97830090992983,4.0125091681601424e-05
ItemKNNCBFRecommender,110,26.927197415227553,5.1993866275794514e-05
ItemKNNCBFRecommender,244,20.290086699240764,7.111448151344854e-05
ItemKNNCBFRecommender,242,19.087286443299277,5.963488608924015e-05
ItemKNNCBFRecommender,245,10.053182542032076,4.51047976002998e-05
ItemKNNCBFRecommender,169,22.640245787011377,5.2657776306422385e-05
ItemKNNCBFRecommender,218,20.806035858136152,6.570821134116516e-05
ItemKNNCBFRecommender,214,18.960167641719526,5.95217340367785e-05
ItemKNNCBFRecommender,254,29.077468107020614,4.9389849252812684e-05
ItemKNNCBFRecommender,213,18.57690185823368,5.372175105911325e-05
ItemKNNCBFRecommender,225,16.41421184491157,5.5285701539622045e-05
ItemKNNCBFRecommender,272,28.784192660816203,4.365114917636623e-05
ItemKNNCBFRecommender,194,46.065667701073096,4.633923807754997e-05
ItemKNNCBFRecommender,292,18.474212593425104,6.463515657087724e-05
ItemKNNCBFRecommender,297,11.245239984393692,4.046501697816241e-05
ItemKNNCBFRecommender,324,24.35746270396315,4.687193363936169e-05
ItemKNNCBFRecommender,304,30.397213875379975,4.7107960101300445e-05
ItemKNNCBFRecommender,37,81.38634596749421,3.344453888356623e-05
ItemKNNCBFRecommender,280,59.25615870229751,4.7894725553402846e-05
