recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,72,736,jaccard,bm25,0.016991719518698264
ItemKNNCFRecommender,986,617,dice,bm25,0.01752675733005451
ItemKNNCFRecommender,141,1213,asym,tfidf,0.016113333388717222
ItemKNNCFRecommender,756,1393,dice,tfidf,0.01640128102881071
ItemKNNCFRecommender,164,881,asym,bm25,0.016823344655377766
ItemKNNCFRecommender,946,398,dice,bm25,0.017483290885556224
ItemKNNCFRecommender,248,546,jaccard,bm25plus,0.01679203496937259
ItemKNNCFRecommender,718,833,jaccard,bm25,0.017346625263271027
ItemKNNCFRecommender,668,916,rp3beta,tfidf,0.0124269467033154
ItemKNNCFRecommender,407,1228,rp3beta,bm25plus,0.013408504073879165
ItemKNNCFRecommender,627,783,asym,tfidf,0.016285734461265328
ItemKNNCFRecommender,967,330,jaccard,bm25,0.017398380496650684
ItemKNNCFRecommender,345,1150,asym,tfidf,0.016179833587307912
ItemKNNCFRecommender,672,1675,cosine,bm25plus,0.016888062680294146
ItemKNNCFRecommender,769,549,jaccard,tfidf,0.01628584325100124
ItemKNNCFRecommender,30,948,rp3beta,tfidf,0.016063312857126904
ItemKNNCFRecommender,506,1539,cosine,tfidf,0.016281923853514433
ItemKNNCFRecommender,113,717,jaccard,bm25plus,0.01688146408831025
ItemKNNCFRecommender,634,1967,asym,bm25,0.0168216554474778
ItemKNNCFRecommender,256,841,dice,bm25plus,0.016817740005981338
ItemKNNCFRecommender,101,1314,asym,bm25plus,0.01680995362788043
ItemKNNCFRecommender,447,1521,jaccard,bm25,0.01717985752104965
ItemKNNCFRecommender,454,196,cosine,bm25,0.01721368123895275
ItemKNNCFRecommender,339,1588,dice,tfidf,0.01620525379260807
ItemKNNCFRecommender,405,1995,dice,bm25plus,0.016997939324601547
ItemKNNCFRecommender,399,1072,cosine,bm25,0.01679093619303957
ItemKNNCFRecommender,514,268,asym,tfidf,0.016233967359914427
ItemKNNCFRecommender,817,1848,jaccard,bm25,0.01732588400561413
ItemKNNCFRecommender,654,1581,dice,bm25plus,0.017011261122266915
ItemKNNCFRecommender,819,1467,rp3beta,bm25,0.01235650930528103
ItemKNNCFRecommender,374,581,dice,bm25plus,0.01679916762006021
ItemKNNCFRecommender,952,236,cosine,bm25,0.017330361197747134
ItemKNNCFRecommender,583,312,jaccard,bm25plus,0.016802482740013776
ItemKNNCFRecommender,988,151,dice,bm25,0.017446229189512413
ItemKNNCFRecommender,386,246,jaccard,bm25,0.01712962633297084
ItemKNNCFRecommender,457,1203,cosine,bm25plus,0.01685876461540638
ItemKNNCFRecommender,856,255,rp3beta,bm25plus,0.012496699715010856
ItemKNNCFRecommender,900,1856,dice,tfidf,0.016469401205469348
ItemKNNCFRecommender,697,999,jaccard,tfidf,0.016315148238872205
ItemKNNCFRecommender,500,1015,rp3beta,tfidf,0.012651715198757303
ItemKNNCFRecommender,459,1150,cosine,tfidf,0.016224646057539045
ItemKNNCFRecommender,692,410,jaccard,bm25plus,0.016855435649486463
ItemKNNCFRecommender,302,615,jaccard,tfidf,0.01610458669394718
ItemKNNCFRecommender,119,583,rp3beta,bm25plus,0.015048050448371939
ItemKNNCFRecommender,830,770,dice,bm25,0.017420396572213368
ItemKNNCFRecommender,38,1260,jaccard,bm25plus,0.01694869812311974
ItemKNNCFRecommender,10,1272,cosine,bm25plus,0.016823695749525528
ItemKNNCFRecommender,714,1986,asym,bm25,0.01681680837024265
ItemKNNCFRecommender,968,1838,dice,bm25plus,0.017063883706541366
ItemKNNCFRecommender,965,1504,cosine,bm25plus,0.01688844047737714
ItemKNNCFRecommender,34,560,cosine,tfidf,0.015956621774087677
ItemKNNCFRecommender,692,1977,asym,bm25,0.016814466423927026
ItemKNNCFRecommender,814,1530,dice,bm25plus,0.016994666731544827
ItemKNNCFRecommender,999,1742,cosine,bm25,0.016786330431218664
ItemKNNCFRecommender,570,1451,jaccard,bm25,0.01722180783222785
ItemKNNCFRecommender,978,825,rp3beta,bm25,0.012212642791473823
ItemKNNCFRecommender,574,979,dice,tfidf,0.016359225883886965
ItemKNNCFRecommender,797,234,asym,bm25plus,0.016928895424184992
ItemKNNCFRecommender,486,438,jaccard,bm25,0.017253966078173425
ItemKNNCFRecommender,615,1053,jaccard,tfidf,0.016293048098513636
ItemKNNCFRecommender,657,1860,dice,tfidf,0.016371133414984994
ItemKNNCFRecommender,523,1588,dice,bm25plus,0.016981350867865085
ItemKNNCFRecommender,208,1255,cosine,bm25,0.016757273681745184
ItemKNNCFRecommender,643,122,asym,bm25plus,0.016842618240596942
ItemKNNCFRecommender,350,1331,dice,bm25,0.017196947399569156
ItemKNNCFRecommender,846,1399,rp3beta,bm25plus,0.012651190041031959
ItemKNNCFRecommender,251,645,jaccard,tfidf,0.01607152252620053
ItemKNNCFRecommender,579,226,cosine,bm25,0.017304554294385717
ItemKNNCFRecommender,448,457,rp3beta,bm25,0.01276874427370432
ItemKNNCFRecommender,168,549,rp3beta,bm25plus,0.014556349522828466
ItemKNNCFRecommender,612,1628,jaccard,bm25,0.017303661229553294
ItemKNNCFRecommender,95,727,rp3beta,bm25,0.014821714391734854
ItemKNNCFRecommender,304,921,rp3beta,bm25,0.013230159125758081
