recommender,shrink,topk,MAP
ItemKNNCFRecommender,668,1761,0.016871267523059424
ItemKNNCFRecommender,275,829,0.017078532738985266
ItemKNNCFRecommender,932,1954,0.016816171455788634
ItemKNNCFRecommender,145,519,0.017153929959981103
ItemKNNCFRecommender,434,1593,0.00895407174267723
ItemKNNCFRecommender,266,226,0.01728481884728759
ItemKNNCFRecommender,478,1086,0.01699684747125176
ItemKNNCFRecommender,803,919,0.016960640269133905
ItemKNNCFRecommender,792,1675,0.0168806580552667
ItemKNNCFRecommender,753,124,0.008481709676194438
ItemKNNCFRecommender,466,1059,0.01699775932703851
ItemKNNCFRecommender,478,526,0.009042562302892944
ItemKNNCFRecommender,798,401,0.014669999192978043
ItemKNNCFRecommender,10,1555,0.016656702515851624
ItemKNNCFRecommender,771,416,0.01720182513572986
ItemKNNCFRecommender,257,193,0.016295898389595356
ItemKNNCFRecommender,814,458,0.008501859513286724
ItemKNNCFRecommender,417,1275,0.009101188102596417
ItemKNNCFRecommender,115,842,0.010363151017560095
ItemKNNCFRecommender,668,395,0.014898176763145376
ItemKNNCFRecommender,864,1494,0.008174526032790563
ItemKNNCFRecommender,310,309,0.017243791270869755
ItemKNNCFRecommender,403,618,0.017118641536633207
ItemKNNCFRecommender,598,259,0.0173202546312778
ItemKNNCFRecommender,603,960,0.01698339611490094
ItemKNNCFRecommender,422,1776,0.01690020064783292
ItemKNNCFRecommender,555,479,0.008865086683661746
ItemKNNCFRecommender,639,177,0.017309358844724038
ItemKNNCFRecommender,910,349,0.017222795840829752
ItemKNNCFRecommender,68,1270,0.016318743245146455
ItemKNNCFRecommender,108,117,0.017341069074757
ItemKNNCFRecommender,89,733,0.017107445094809198
ItemKNNCFRecommender,406,519,0.01715960087221663
ItemKNNCFRecommender,906,924,0.01693203450256582
ItemKNNCFRecommender,413,1711,0.0147245473555787
ItemKNNCFRecommender,322,512,0.015528707237721739
ItemKNNCFRecommender,484,1625,0.014556717429935495
ItemKNNCFRecommender,314,1066,0.009481787015806748
ItemKNNCFRecommender,677,662,0.00866954108929002
ItemKNNCFRecommender,207,971,0.017027993972652988
ItemKNNCFRecommender,397,886,0.015025053287190681
ItemKNNCFRecommender,649,1819,0.0168883039957085
ItemKNNCFRecommender,719,819,0.00857711926361629
ItemKNNCFRecommender,302,856,0.00949397146623267
ItemKNNCFRecommender,708,126,0.008553669141534407
ItemKNNCFRecommender,443,1816,0.01460244768993898
ItemKNNCFRecommender,443,1266,0.014719261163409346
ItemKNNCFRecommender,854,1549,0.008199863162292296
ItemKNNCFRecommender,235,466,0.0171702879802769
ItemKNNCFRecommender,987,1030,0.00818966264105098
