recommender,shrink,topk,similarity,feature_weighting,MAP
ItemKNNCFRecommender,506,101,cosine,TF-IDF,0.01728577224097343
ItemKNNCFRecommender,743,1575,cosine,TF-IDF,0.016882796268076847
ItemKNNCFRecommender,821,800,cosine,TF-IDF,0.017034530257788047
ItemKNNCFRecommender,797,373,cosine,TF-IDF,0.017238191566461263
ItemKNNCFRecommender,348,754,cosine,TF-IDF,0.017113120952032757
ItemKNNCFRecommender,123,1868,cosine,TF-IDF,0.016909059099331703
ItemKNNCFRecommender,290,428,cosine,TF-IDF,0.01720921789278617
ItemKNNCFRecommender,98,422,cosine,TF-IDF,0.017197687169773563
ItemKNNCFRecommender,363,493,cosine,TF-IDF,0.0171512112055801
ItemKNNCFRecommender,678,1922,cosine,TF-IDF,0.016859185928383875
ItemKNNCFRecommender,893,1863,cosine,TF-IDF,0.016830914443004424
