recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.006748492004187224,0.008002588458506425,138,0.01871421509985686
SLIMElasticNetRecommender,0.006708433129893985,0.007012456483920636,131,0.018739356407833863
SLIMElasticNetRecommender,0.008686525525417167,0.0063452621382813195,280,0.018513479246082924
SLIMElasticNetRecommender,0.009560657301843014,0.006961425294286998,84,0.018404106990551197
SLIMElasticNetRecommender,0.0040923736700848755,0.005788405874284809,189,0.018970423828986914
SLIMElasticNetRecommender,0.007984534645984044,0.0029595602776131737,75,0.018618640349835822
SLIMElasticNetRecommender,0.007952253593801478,0.008222238993716307,224,0.018594589906211104
SLIMElasticNetRecommender,0.003814632864541129,0.00032165408440462705,150,0.018875727308834384
SLIMElasticNetRecommender,0.0006718652726922156,0.006301499274100629,271,0.017656910403147003
SLIMElasticNetRecommender,0.004050480393757785,0.004204684262272349,137,0.018927722868630738
SLIMElasticNetRecommender,0.00552495547961845,0.0013191794308753315,259,0.01887701498370893
SLIMElasticNetRecommender,0.007220043465750387,0.007957918164473275,294,0.018682119160760072
SLIMElasticNetRecommender,0.004806138393245659,0.007622981113962389,56,0.01873930201296593
SLIMElasticNetRecommender,0.00268252736157122,0.004867698271422403,239,0.018984638691484663
SLIMElasticNetRecommender,0.008570480756323225,0.006689890761424011,174,0.01857967681140819
SLIMElasticNetRecommender,0.009673108764058616,0.009492418717762035,294,0.018259380048832503
SLIMElasticNetRecommender,0.005359150435396398,0.004846084169992225,175,0.018884315763988482
SLIMElasticNetRecommender,0.004694690544784533,0.0015909453094557495,213,0.01891015827126347
SLIMElasticNetRecommender,0.006573858262340932,0.007611137811647158,100,0.018685095054537085
SLIMElasticNetRecommender,0.002173799707010044,0.008350619565954578,202,0.01890021291140291
SLIMElasticNetRecommender,0.0027359057281956746,0.0021227672604916194,268,0.018989104015646397
SLIMElasticNetRecommender,0.006564248554045524,0.0008961204661245242,256,0.018808940300939766
SLIMElasticNetRecommender,0.0017400308602339423,0.0005524714835532591,229,0.018611870661267196
SLIMElasticNetRecommender,0.006629232510835852,0.00800287852992456,256,0.01875169415288769
SLIMElasticNetRecommender,0.008274381277343557,0.007580092291375171,226,0.018564487786274977
SLIMElasticNetRecommender,0.007964588773000323,0.004246075045235439,194,0.018722884652814072
SLIMElasticNetRecommender,0.005422565347618439,0.0012020591296810098,281,0.018881956015716055
SLIMElasticNetRecommender,0.0011060210978977084,0.00386808238000191,71,0.017778657985641187
SLIMElasticNetRecommender,0.0009297793260563436,0.008826399061998629,69,0.017553376200445163
SLIMElasticNetRecommender,0.0008156270386656863,0.0020167689589342744,121,0.017399153892773564
SLIMElasticNetRecommender,0.007600322341444349,0.008210378218176665,291,0.018615020618621667
SLIMElasticNetRecommender,0.0002571219193540831,0.008348676398578688,219,0.015530687210916189
SLIMElasticNetRecommender,0.0036060459359183415,0.00754990761596273,150,0.018978985581205875
SLIMElasticNetRecommender,0.00035372143540351764,0.001939406883926269,202,0.016089903046587424
SLIMElasticNetRecommender,0.005536197077100759,0.00512100858991031,72,0.01874100803382502
SLIMElasticNetRecommender,0.0015680320563882584,0.0027331738182072014,171,0.018502697194253074
SLIMElasticNetRecommender,0.009180448023468788,0.0034185674282919253,78,0.01848733707253516
SLIMElasticNetRecommender,0.008220920038127572,0.009228746119923185,131,0.018531239664974785
SLIMElasticNetRecommender,0.003286636897174404,0.0006919369899272653,137,0.018893124765607304
SLIMElasticNetRecommender,0.002441106838001442,0.0076684356457709865,91,0.018827681805450476
SLIMElasticNetRecommender,0.005704222075703845,0.0002132112765764899,252,0.01884829251542405
SLIMElasticNetRecommender,0.008755599769391737,0.003306353636397222,227,0.018642976613766852
SLIMElasticNetRecommender,0.001543146985808129,0.006739712250704155,292,0.018751795030642813
SLIMElasticNetRecommender,0.005785042086133559,0.0030196985635084655,148,0.018816772172930242
SLIMElasticNetRecommender,0.005283213720022799,0.005561934617395568,130,0.018857903594096084
SLIMElasticNetRecommender,0.0015363176242836085,0.00033219832488657285,233,0.018517968306187037
SLIMElasticNetRecommender,0.00046309243357749115,0.005424283996638345,285,0.016990705796158877
SLIMElasticNetRecommender,0.005209677701085343,0.006769996199905734,239,0.018954776897965174
SLIMElasticNetRecommender,0.0008031300676143079,0.0061362725054723575,82,0.017233219875528654
SLIMElasticNetRecommender,0.0029625255100273573,0.005768437605249357,179,0.01896950603921462
SLIMElasticNetRecommender,0.005263917349310088,0.009581962124973604,135,0.01886731291725784
SLIMElasticNetRecommender,0.001833602068998657,0.007694829849576305,257,0.018846577593586555
SLIMElasticNetRecommender,0.0070171798411045256,0.0016835402670433372,184,0.01876591494937096
SLIMElasticNetRecommender,0.008056938004923422,0.0013552982225110105,133,0.018679474581179033
SLIMElasticNetRecommender,0.0074221427274167185,0.007089081669736394,192,0.018704239081070554
SLIMElasticNetRecommender,0.0033182962571982246,0.009014294509102315,252,0.01906870348744257
SLIMElasticNetRecommender,0.005540406585402969,0.005528397892621741,174,0.018885179158892904
SLIMElasticNetRecommender,0.009060651166347473,0.0072619899408106585,271,0.018458461309622472
SLIMElasticNetRecommender,0.008780412165100296,0.0027155510045186034,218,0.01866417281031948
SLIMElasticNetRecommender,0.0043435397261798354,0.00830255899894471,71,0.018811678835292906
SLIMElasticNetRecommender,0.003348317332719002,0.007975510378613715,139,0.018971880622451007
SLIMElasticNetRecommender,0.004867710753133643,0.0035372199976621676,52,0.01867556012868017
SLIMElasticNetRecommender,0.009612019959089276,0.008949908062369338,284,0.018308064444665706
SLIMElasticNetRecommender,0.0034418530325945216,0.0041727737694630205,164,0.01893677615265651
SLIMElasticNetRecommender,0.004524412736629731,0.0032191395834647914,259,0.018976216387927226
SLIMElasticNetRecommender,0.005659693598395105,0.003937633097384893,158,0.018855105719887116
SLIMElasticNetRecommender,0.008104912815056368,0.008679124454779747,170,0.018586046944946637
SLIMElasticNetRecommender,0.009326422561457173,0.0014178729696027585,119,0.018595410774218776
SLIMElasticNetRecommender,0.003032696689659577,0.009813852653622251,246,0.019072490359250984
SLIMElasticNetRecommender,0.001429843858660828,0.002958627726788154,223,0.01850319466004563
SLIMElasticNetRecommender,0.00822605281020365,0.009441996526395692,250,0.018480284530653177
SLIMElasticNetRecommender,0.001925505355989436,0.0018299867325708796,181,0.018636082311500685
SLIMElasticNetRecommender,0.009611959918643533,0.0055101896494567275,252,0.018454711030725178
SLIMElasticNetRecommender,0.004166433777446632,0.0013613372557046153,277,0.01893757328472175
SLIMElasticNetRecommender,0.005445501131848565,0.004112573216822256,299,0.018942643875414524
SLIMElasticNetRecommender,0.005988314609099979,0.005838942687977565,265,0.018876820151181768
SLIMElasticNetRecommender,0.004622856590824601,0.008215482203372837,183,0.018933688502151
SLIMElasticNetRecommender,0.009838264455133278,0.003984284120679385,81,0.018428106006300873
SLIMElasticNetRecommender,0.004762084154089784,0.005694977991694691,253,0.018981723126561344
SLIMElasticNetRecommender,0.004006774237894452,0.002372476966260582,61,0.01875777747712215
SLIMElasticNetRecommender,0.0024508733768487203,0.001879282501715153,51,0.01846557516935571
SLIMElasticNetRecommender,0.0010813314491669936,0.0030232028686479765,294,0.018330015246386805
SLIMElasticNetRecommender,0.005362631458923775,0.008523937390880285,59,0.0186852532941529
SLIMElasticNetRecommender,0.001720214528291409,0.004871102762881196,211,0.018709763621661393
SLIMElasticNetRecommender,0.009337500212378641,0.002811105852174308,169,0.01859763898581036
SLIMElasticNetRecommender,0.006328490364163866,0.005856559450666335,183,0.018844317734071653
SLIMElasticNetRecommender,0.0022987473640384394,0.0026657991211968884,229,0.018840329106752856
SLIMElasticNetRecommender,0.004622220458885719,0.00829064712445315,209,0.01898295343957517
SLIMElasticNetRecommender,0.003135646200260146,0.0043335916934660185,215,0.018973597522283767
SLIMElasticNetRecommender,0.008950627735075795,0.006614054750714047,232,0.018484474913482242
SLIMElasticNetRecommender,0.006543402626424881,0.008788231303378712,299,0.018731958705789576
SLIMElasticNetRecommender,0.005036611317138695,0.006817569492621539,83,0.01878541600403803
SLIMElasticNetRecommender,0.009770255848603682,0.001889538967104726,145,0.018592611911012132
SLIMElasticNetRecommender,0.007433053702055538,0.0044047580231690725,111,0.018705899608040182
SLIMElasticNetRecommender,0.00609809828060075,0.00959486063812506,151,0.018755403882883374
