recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.0038466086833902156,0.00963404604754849,246,0.01903093169112234
SLIMElasticNetRecommender,0.0022811783500382753,0.00931867214036665,249,0.018994786795853185
SLIMElasticNetRecommender,0.002283370772943866,0.00971885717991313,246,0.018993139125852414
SLIMElasticNetRecommender,0.002353164838479197,0.00978303636956032,254,0.01901306149349688
SLIMElasticNetRecommender,0.0031448352824998173,0.009654538899417567,250,0.019060587773141034
SLIMElasticNetRecommender,0.0026215510688614337,0.009673575831121392,247,0.019046574666153674
SLIMElasticNetRecommender,0.0034741390811882404,0.009286971723859068,245,0.01906594022814953
SLIMElasticNetRecommender,0.003802826193460812,0.009851478650702206,255,0.01904340393984973
SLIMElasticNetRecommender,0.0024980906538860726,0.00932226518715331,253,0.01902443298789597
SLIMElasticNetRecommender,0.0035321546073394054,0.009458487164641493,246,0.019044092282178897
SLIMElasticNetRecommender,0.002623658120967474,0.009125727292440598,246,0.019025552533178638
SLIMElasticNetRecommender,0.002370352418362379,0.009115332592767878,251,0.019013177206215974
SLIMElasticNetRecommender,0.00260871453558904,0.009718304529394518,252,0.019053095127327203
SLIMElasticNetRecommender,0.0039053737296082082,0.009494785971751626,249,0.019044702493697864
SLIMElasticNetRecommender,0.0037337133182295487,0.009554888920827344,250,0.019033147045745206
SLIMElasticNetRecommender,0.0033546865300047753,0.00985563811937101,255,0.01905635189642236
