recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.009448300855334641,0.003953743920646591,151,0.018573225580066573
SLIMElasticNetRecommender,0.007096419529351275,0.006326391765242592,145,0.01874421436404261
SLIMElasticNetRecommender,0.00958709166006843,0.006145871787407449,350,0.01841425113892943
SLIMElasticNetRecommender,0.005527533383111416,0.001478441583607662,125,0.01881222377297015
SLIMElasticNetRecommender,0.007529548914620015,0.004750460802095134,119,0.018700418583343745
SLIMElasticNetRecommender,0.007402503758388183,0.00392443138743604,183,0.01877775127264187
SLIMElasticNetRecommender,0.002079208373689991,0.008678680572052956,235,0.018950373880652224
SLIMElasticNetRecommender,0.006917238364961507,0.003000454928607786,80,0.018686495475137874
SLIMElasticNetRecommender,0.005540550653530098,0.0037808105059377473,224,0.018896041319528205
SLIMElasticNetRecommender,0.0015510553514940183,0.008647867726871322,381,0.018857185581838805
SLIMElasticNetRecommender,0.0014180121590370983,0.009789624696238515,286,0.018751315366807048
SLIMElasticNetRecommender,0.0038322247044195222,0.007527866627379615,252,0.019047625970601906
SLIMElasticNetRecommender,0.0032754780088015576,0.007511952431506522,261,0.01906194368884984
SLIMElasticNetRecommender,0.003618808789339287,0.006899945248907002,294,0.019070431266248876
SLIMElasticNetRecommender,0.0034295298241261143,0.006602270446446811,311,0.019066770986133127
SLIMElasticNetRecommender,4.21181179059045e-05,0.006048232423468244,328,0.013956903242804809
SLIMElasticNetRecommender,0.0037706851586123222,0.007141233183766669,308,0.01906513023911551
SLIMElasticNetRecommender,0.004669669885025028,0.00021181946828174956,396,0.01893637857562153
SLIMElasticNetRecommender,0.0026228823675185178,0.005300106096863488,348,0.019006857511555147
SLIMElasticNetRecommender,0.0003595499960015137,0.008650486426495239,194,0.016343773785392295
SLIMElasticNetRecommender,0.004825332618053844,0.00998907226653277,290,0.018946596898819706
SLIMElasticNetRecommender,0.003722889961772313,0.007181988969483027,307,0.01906848689696825
SLIMElasticNetRecommender,0.002887340079542368,0.00687563815021498,316,0.01907329342530183
SLIMElasticNetRecommender,0.002630303222444634,0.008025229682348737,362,0.019089927375927903
SLIMElasticNetRecommender,0.002578390072712174,0.00817158887911233,360,0.01907491735936023
SLIMElasticNetRecommender,0.0022972045784782655,0.008267150536874716,365,0.01901347489449344
SLIMElasticNetRecommender,0.000977784793136348,0.009275516737252909,344,0.018376635604229807
SLIMElasticNetRecommender,0.0027883647321108257,0.007936867622612283,394,0.01909385567439315
SLIMElasticNetRecommender,0.0018516706688716613,0.007898991294108737,394,0.018972486877979592
SLIMElasticNetRecommender,0.00440688970180434,0.00940767277257806,373,0.01899804653194112
SLIMElasticNetRecommender,0.001065350889887893,0.005530983675323825,400,0.018443185252700486
SLIMElasticNetRecommender,0.0028554966906385584,0.008173276158462573,334,0.019079235322879643
SLIMElasticNetRecommender,0.0027647554291378544,0.008003215450851598,361,0.01909197064496847
SLIMElasticNetRecommender,0.002968473227920682,0.009210425450715248,336,0.01909498609864939
SLIMElasticNetRecommender,0.004361208943814549,0.009008275711864066,380,0.01901083031491235
SLIMElasticNetRecommender,0.005666953939806291,0.005938705772761457,353,0.0188852563007056
SLIMElasticNetRecommender,0.00872569266630975,0.009165943203603597,371,0.01840401204678173
SLIMElasticNetRecommender,0.002126333316738375,0.007624757450905241,270,0.018998616194558497
SLIMElasticNetRecommender,0.0063018019426805474,0.0047315727263033906,332,0.01888123108047564
SLIMElasticNetRecommender,0.0029794963296859277,0.009675142947302625,190,0.019031936512683364
SLIMElasticNetRecommender,0.0008984832450028466,0.008734499073758329,67,0.017454892808484133
SLIMElasticNetRecommender,0.0024941023453207128,0.00809197836104007,331,0.01903542866320725
SLIMElasticNetRecommender,0.0030438108482584484,0.008355297547062006,341,0.01909766034815845
SLIMElasticNetRecommender,0.0016197493617791127,0.008528514332546363,384,0.0188613621187015
SLIMElasticNetRecommender,0.0042917915511229456,0.0025293445799368045,356,0.019020479964490664
SLIMElasticNetRecommender,0.0032861848196195794,0.0064957109256574205,275,0.01904372041908138
SLIMElasticNetRecommender,0.0019266157165952597,0.007697297927579295,142,0.018787777730305575
SLIMElasticNetRecommender,0.004048507767930419,0.00900356559266334,95,0.01886775598818237
SLIMElasticNetRecommender,0.005215871144610894,0.007319945965294304,243,0.018945618780193768
SLIMElasticNetRecommender,0.003049239363961634,0.009714530255296276,344,0.019098796706400273
