recommender,alpha,topk,MAP
P3alphaRecommender,0.7482631820972844,626,0.01460353199994762
P3alphaRecommender,0.4044229769767512,166,0.013640553711959325
P3alphaRecommender,0.21234215873927953,609,0.011815889388555665
P3alphaRecommender,0.3520689727319716,587,0.012240379667364914
P3alphaRecommender,0.15112726288364742,439,0.01192699269857731
P3alphaRecommender,0.3962202048955932,765,0.012141280862068204
P3alphaRecommender,0.7287717965010321,198,0.015262097260535032
P3alphaRecommender,0.7438546953718423,195,0.015418651144847981
P3alphaRecommender,0.4108904192774381,171,0.013629980571076545
P3alphaRecommender,0.18282704355871315,228,0.012525941155143444
P3alphaRecommender,0.9480607493786396,985,0.016052328839931154
P3alphaRecommender,0.9848728655310834,979,0.015455212763462756
P3alphaRecommender,0.9858911632301143,996,0.015438657110877942
P3alphaRecommender,0.9701660950513211,987,0.01584784813397792
P3alphaRecommender,0.8470758305114674,819,0.01564231108381098
P3alphaRecommender,0.5769643803002327,842,0.012815595114148945
P3alphaRecommender,0.011855932618923204,894,0.011256087123940535
P3alphaRecommender,0.8844212838522603,753,0.01609708605870258
P3alphaRecommender,0.5923008042373322,706,0.01308884089946731
P3alphaRecommender,0.8637716612439851,460,0.016270321923601252

P3alphaRecommender,0.6154201079388886,698,0.013237346088814989
P3alphaRecommender,0.4430913964702664,638,0.012463889555049951
P3alphaRecommender,0.5121168983155887,278,0.013591423060126414
P3alphaRecommender,0.7158804075258297,792,0.014007026204260024
P3alphaRecommender,0.8450495429526956,264,0.016428173564537702
P3alphaRecommender,0.633670969741792,355,0.013907959030117559
P3alphaRecommender,0.343530001637103,304,0.012846248421381412
P3alphaRecommender,0.10342772044817794,619,0.011561219941632518
P3alphaRecommender,0.7657827910497106,585,0.014896339913332899
P3alphaRecommender,0.020325187526073152,683,0.011363768880573083
P3alphaRecommender,0.9851152971353868,111,0.013349669700151641
P3alphaRecommender,0.8945604300481445,997,0.01592748272725118
P3alphaRecommender,0.9972560534093229,986,0.015119145156098546
P3alphaRecommender,0.8422145430964253,990,0.015371435668504142
P3alphaRecommender,0.8374714990407854,397,0.016070838309611032
P3alphaRecommender,0.27367659684312085,418,0.012307244118161512
P3alphaRecommender,0.8368336917625081,140,0.01671076377917409
P3alphaRecommender,0.6646663532084937,123,0.01523066170022129
P3alphaRecommender,0.4863936481238712,213,0.01377674854068891
P3alphaRecommender,0.8983559325829542,470,0.016552266203495616
P3alphaRecommender,0.9181707302724854,500,0.01654594791455043
P3alphaRecommender,0.9469008962318871,474,0.016290564317551198
P3alphaRecommender,0.7855494271317617,496,0.015278391292610558
P3alphaRecommender,0.9103625159545327,803,0.016221794553959893
P3alphaRecommender,0.7442242466885124,518,0.014704361965101387
P3alphaRecommender,0.880852897153923,192,0.017021642549101015
P3alphaRecommender,0.5522455607417244,187,0.014217784762205225
P3alphaRecommender,0.6808301965986232,186,0.014902685760814676
P3alphaRecommender,0.808849195902426,340,0.015838867893347385
P3alphaRecommender,0.613276621492433,220,0.014307586918894008
P3alphaRecommender,0.5794021005262884,147,0.014588494187834195
P3alphaRecommender,0.9024283752196317,439,0.016624155563189247
P3alphaRecommender,0.881623763559821,443,0.01645005886199243
P3alphaRecommender,0.9516416665853801,351,0.01601207764153107
P3alphaRecommender,0.7525702034921433,264,0.015294684711001238
P3alphaRecommender,0.7115881404229005,561,0.014225871872335564
P3alphaRecommender,0.8656332037751056,767,0.015932867900387324
P3alphaRecommender,0.822523005059765,301,0.016089206614092955
P3alphaRecommender,0.9951951072824607,393,0.014321413028735209
P3alphaRecommender,0.19940433434218469,241,0.012541915180017143
P3alphaRecommender,0.9164129916831179,158,0.01676333188363029
P3alphaRecommender,0.9375729643384497,159,0.015934301560484195
P3alphaRecommender,0.417810769761475,319,0.013066979573613087
P3alphaRecommender,0.8679507200498379,103,0.01712628938650391
P3alphaRecommender,0.8073390532106497,130,0.016422027028039354
P3alphaRecommender,0.8682843543847382,176,0.01694311768168528
P3alphaRecommender,0.8594504181512992,174,0.016839734108473198
P3alphaRecommender,0.7436736883961159,106,0.01594819928551427
