recommender,alpha,topk,MAP
P3alphaRecommender,0.8793675454479016,119,0.01711531047486215
P3alphaRecommender,0.8701836675931591,118,0.017109398070085446
P3alphaRecommender,0.8731129855324813,120,0.017106328351883558
P3alphaRecommender,0.8762860300532654,116,0.017139000989171798
P3alphaRecommender,0.8748227767680207,111,0.017148070042217824
P3alphaRecommender,0.870638137717056,111,0.017124177234820074
P3alphaRecommender,0.8777340473634242,110,0.017122115670560902
P3alphaRecommender,0.8725107642182267,115,0.017136584316009857
P3alphaRecommender,0.8766385768895795,117,0.01713903451967218
P3alphaRecommender,0.875306929963935,113,0.0171490589865943
P3alphaRecommender,0.8743972966326949,114,0.017140479466050934
P3alphaRecommender,0.8747048418671257,112,0.017143291711971518
P3alphaRecommender,0.8757084417841163,113,0.017140133881958453
P3alphaRecommender,0.8732034361038867,112,0.017145294037187644
P3alphaRecommender,0.8777284028421789,110,0.017122600560080664
P3alphaRecommender,0.8741814938395748,114,0.017139129209333123
P3alphaRecommender,0.8720013427119963,112,0.017135642369288565
P3alphaRecommender,0.8795897506658754,113,0.017124440750452875
P3alphaRecommender,0.8755890780918548,111,0.017135581774239263
P3alphaRecommender,0.8778705848224049,115,0.017130935313983478
P3alphaRecommender,0.8716652928280295,113,0.01712684069463742
P3alphaRecommender,0.873451828729812,111,0.017141034254867404
P3alphaRecommender,0.8737053318093857,112,0.017141390264911877
P3alphaRecommender,0.8751414807629413,114,0.017148839708339966
P3alphaRecommender,0.8767858632010987,114,0.017145165178830083
P3alphaRecommender,0.8753927234122969,115,0.01713927145441538
P3alphaRecommender,0.874964780452373,116,0.01713818936711662
P3alphaRecommender,0.8770171559886523,113,0.01714229594975454
P3alphaRecommender,0.8761012627973868,110,0.017130126888092855
P3alphaRecommender,0.8785535029107878,114,0.017121192936639582
P3alphaRecommender,0.8740119812076075,111,0.017137999293198116
P3alphaRecommender,0.8728538944126356,112,0.0171438703761439
P3alphaRecommender,0.8746731349219725,112,0.01714174342220054
P3alphaRecommender,0.8751365754236652,113,0.017154370311269564
P3alphaRecommender,0.8752813737883709,116,0.01714467201470597
P3alphaRecommender,0.8759661369908414,113,0.017138118498746104
P3alphaRecommender,0.8750262734827058,119,0.017135445007696367
P3alphaRecommender,0.8772146107263861,114,0.017133994527647186
P3alphaRecommender,0.8738291519259971,115,0.01714413819099086
P3alphaRecommender,0.8765472207330401,111,0.017139346124834143
P3alphaRecommender,0.8743265823709528,116,0.017147274468586878
P3alphaRecommender,0.8743647035370639,117,0.017141526023575025
P3alphaRecommender,0.8761460793219668,116,0.017139109318371176
P3alphaRecommender,0.8748342780128076,117,0.017141331556417883
P3alphaRecommender,0.875593912397144,118,0.017137560852545242
P3alphaRecommender,0.8744238375120718,114,0.017137692580198444
P3alphaRecommender,0.8728852876348676,115,0.01713913023456773
P3alphaRecommender,0.8723915461481636,113,0.017136154197775828
P3alphaRecommender,0.8752059330958917,116,0.017144422508043208
P3alphaRecommender,0.8701535108832128,110,0.017122370477719268
P3alphaRecommender,0.8734599802266649,114,0.017143104886222896
P3alphaRecommender,0.8732206646656246,112,0.017145239482555655
P3alphaRecommender,0.871659433436069,113,0.017127813782032243
P3alphaRecommender,0.8741375635569014,111,0.01713806040778165
P3alphaRecommender,0.8708719876348823,112,0.01712401118313256
P3alphaRecommender,0.8745666941060152,113,0.017137433719856394
P3alphaRecommender,0.8758368529996552,112,0.01713763258140823
P3alphaRecommender,0.8737145585838986,111,0.017138327311177395
P3alphaRecommender,0.8763775294980876,115,0.017140349665976416
P3alphaRecommender,0.8755645876125766,113,0.01714437728454214
P3alphaRecommender,0.8749792346557153,114,0.017150598691575588
P3alphaRecommender,0.874983664202309,114,0.01714988045383545
P3alphaRecommender,0.8751449677258588,114,0.017148105950836514
P3alphaRecommender,0.8750115884229206,114,0.017151184701923533
P3alphaRecommender,0.8750601196147842,114,0.017148690366559843
P3alphaRecommender,0.8748123416192312,114,0.017139429902571376
P3alphaRecommender,0.8754661620821418,115,0.017147317328754397
P3alphaRecommender,0.8758425046057151,114,0.01715305980312964
P3alphaRecommender,0.8768331860816002,114,0.01714447869002132
P3alphaRecommender,0.8773035933034518,113,0.017141599907328296
P3alphaRecommender,0.8759628155343825,115,0.017137252301689446
P3alphaRecommender,0.8751432426541581,114,0.01714868885546997
