recommender,alpha,beta,topk,MAP
RP3betaRecommender,0.9448827410788334,0.09688238487206757,590,0.015608510996999865
RP3betaRecommender,0.3957399374168399,0.9911563889928341,560,0.004893364583437055
RP3betaRecommender,0.9380482755675397,0.6190782380829317,527,0.016831770995572867
RP3betaRecommender,0.782639876711644,0.8784735705264749,89,0.009100859511235107
RP3betaRecommender,0.5190490588281077,0.9705084356407986,717,0.004841250219059984
RP3betaRecommender,0.6414397484612715,0.39540325898717055,62,0.01855495333025069
RP3betaRecommender,0.8683249180782402,0.5963752422493173,673,0.016937500275623504
RP3betaRecommender,0.6234995821055721,0.9935683369555953,577,0.0043398813995797975
RP3betaRecommender,0.21361324758578848,0.723928641250274,468,0.013489056133605232
RP3betaRecommender,0.6772029170720345,0.29487374312898584,151,0.018301918033918087
RP3betaRecommender,0.10959732384480264,0.348034598304258,996,0.016627208122358742
RP3betaRecommender,0.6664793493574384,0.32375601578973734,74,0.018740570284719635
RP3betaRecommender,0.3837533581809133,0.37556819952386394,262,0.018041604774372787
RP3betaRecommender,0.6259623410073722,0.1513323113482336,293,0.01696269336116033
RP3betaRecommender,0.7476532433232699,0.48030932533278725,259,0.018203652376126995
RP3betaRecommender,0.4992835760122809,0.22367080268606954,70,0.018561348204911374
RP3betaRecommender,0.42449555941788286,0.01415548385110052,420,0.01614547632674361
RP3betaRecommender,0.2641440188039381,0.22465432581457456,185,0.0178915158108847
RP3betaRecommender,0.5157958724805646,0.21512123503884115,364,0.016868077297036013
RP3betaRecommender,0.05582921371372768,0.48863847015324074,52,0.01767622677909526
RP3betaRecommender,0.3256963220213879,0.03290458075280142,968,0.015077735893028974
RP3betaRecommender,0.5672778357869092,0.4038963106788191,171,0.018375229520496163
RP3betaRecommender,0.722697647372391,0.2701526710228504,71,0.018722398230133865
RP3betaRecommender,0.7637076675342873,0.25448095874408055,134,0.018356205460486656
RP3betaRecommender,0.854324451722045,0.14517447399451933,214,0.017396085557161184
RP3betaRecommender,0.7117443946771081,0.2895033261499183,343,0.01725512093149251
RP3betaRecommender,0.4642714452293751,0.1496874117739912,97,0.018295345019410405
RP3betaRecommender,0.8349330491129601,0.5432343907121338,792,0.017216609424751794
RP3betaRecommender,0.5830945977154952,0.33079219691205897,210,0.0181109680190316
RP3betaRecommender,0.9082015247263526,0.42848367220623196,120,0.018377074166090336
RP3betaRecommender,0.5560662235228367,0.08996338995730865,331,0.016673639704295373
RP3betaRecommender,0.6577847710676548,0.43259024883818914,99,0.018517837341394647
RP3betaRecommender,0.6977676003166114,0.24903104455295016,52,0.01855802859282456
RP3betaRecommender,0.724432515941048,0.20316386389041755,214,0.017597406087085196
RP3betaRecommender,0.8144687692661778,0.29217047898892945,59,0.01869898443257031
