recommender,alpha,beta,topk,MAP
RP3betaRecommender,0.8401946058436953,0.30731275241977124,77,0.01877996226757451
RP3betaRecommender,0.8401945006696243,0.3073122709281744,77,0.01877999195155881
RP3betaRecommender,0.8401945742596848,0.3073144578073803,77,0.018779990003748026
RP3betaRecommender,0.8401946479420411,0.3073131194028763,77,0.01877996226757451
RP3betaRecommender,0.840194613822705,0.30731398300561963,77,0.01877996226757451
RP3betaRecommender,0.8401946757518985,0.3073194957311467,77,0.018780117046707016
RP3betaRecommender,0.840194565240359,0.30731974185032956,77,0.018780117046707016
RP3betaRecommender,0.8401945987034419,0.3073120658138876,77,0.01877999195155881
RP3betaRecommender,0.8401945215171273,0.3073191962882742,77,0.018780283277019114
RP3betaRecommender,0.8401946258411646,0.3073123849206284,77,0.01877999195155881
