recommender,alpha,beta,topk,MAP
RP3betaRecommender,0.28494042735214703,0.10606077986446093,96,0.017641647203193722
RP3betaRecommender,0.8898069326576057,0.14897482317633337,263,0.016835696246397896
RP3betaRecommender,0.7459619587794228,0.1580585736277727,120,0.01808844170373407
RP3betaRecommender,0.12925581359821134,0.757859166459816,220,0.011921426514313964
RP3betaRecommender,0.771944937523361,0.2181403303283297,54,0.0183792515028805
RP3betaRecommender,0.7737918061127642,0.5580646218374699,374,0.01776475960237534
RP3betaRecommender,0.5536277566113527,0.49842744790893956,362,0.01805994077091155
RP3betaRecommender,0.5033766612149255,0.4919433368902394,254,0.018182594275206947
RP3betaRecommender,0.42368424763922874,0.3356714791820343,322,0.01750435752342322
RP3betaRecommender,0.2231282828966112,0.5813531225813448,35,0.01665804755258692
RP3betaRecommender,0.6398425729818197,0.32906762965026526,466,0.016979853525499352
RP3betaRecommender,0.4915473470832042,0.8717815293507629,206,0.009073601992553429
RP3betaRecommender,0.36468915528889034,0.35288525961826,149,0.01821146212613894
RP3betaRecommender,0.3320892040958364,0.34028882288761314,25,0.017349525004232813
RP3betaRecommender,0.6245660349701277,0.2379968056963651,131,0.01824072656510823
RP3betaRecommender,0.6976770605027541,0.2347074783584565,88,0.018478868286090477
RP3betaRecommender,0.8989640951895554,0.22020394275265914,71,0.018507120980515705
RP3betaRecommender,0.8967340944739289,0.43971926896736185,171,0.01817347670633717
RP3betaRecommender,0.7003065564998179,0.24775819754216394,88,0.018498196266177668
RP3betaRecommender,0.8300961885642252,0.6252984438047918,15,0.016200793413434188
RP3betaRecommender,0.6541946532879763,0.40806852915342223,76,0.018475360311605234
RP3betaRecommender,0.7068270047840313,0.24865176505827552,88,0.018486106759521344
RP3betaRecommender,0.8281226967206992,0.2697508070760083,74,0.018549155356489815
RP3betaRecommender,0.8238518231525448,0.17472909506097153,192,0.01738215698002835
RP3betaRecommender,0.8381245978468781,0.2826218497234453,131,0.01823077428226435
RP3betaRecommender,0.8257700486472598,0.1014656383663181,55,0.017609933017170436
RP3betaRecommender,0.5760177956533021,0.40869845074045863,168,0.01825490582369239
RP3betaRecommender,0.7229901258626052,0.290820787480479,102,0.018456663311986612
RP3betaRecommender,0.8920109100402009,0.1910831968297858,14,0.01480753216615817
RP3betaRecommender,0.7863944788603374,0.1401797346372658,62,0.018098944858240717
RP3betaRecommender,0.682142437572766,0.6864146706349309,252,0.015995552675594583
RP3betaRecommender,0.7222624937608292,0.24756024219600437,98,0.018417602851794047
RP3betaRecommender,0.8482728166996756,0.2893345932118768,91,0.018511584326682276
