recommender,topK,epochs,lambda_i,lambda_j,MAP
SLIMBPR,20,103,0.008597075218100757,7.11870014457127e-05,0.015814074583078215
SLIMBPR,25,67,0.005602897265753259,0.0015519460196070378,0.016028392340886134
SLIMBPR,81,150,0.004555528274843326,0.00522944039786665,0.015728227613445826
SLIMBPR,59,129,0.004647816409464029,0.009875049998915428,0.015908569347720416
SLIMBPR,8,57,0.005334702224368262,0.006471435609866879,0.015201020685082658
SLIMBPR,68,120,0.003792046628586919,0.009135602634125325,0.015744976287793557
SLIMBPR,16,61,0.004192954527028036,0.0028127802501515167,0.015618670415363209
SLIMBPR,44,149,0.0023822524202104594,0.004375104840716731,0.016188583249070698
SLIMBPR,77,88,0.005039313759885595,0.00743679278732615,0.015554671391701634
SLIMBPR,37,105,0.006549499687584336,0.0010430895158129688,0.01611887770925995
SLIMBPR,50,51,0.0005403971466995752,0.0020227449653230827,0.01552365939397396
SLIMBPR,43,67,0.004049228759975639,0.007757573227535119,0.015889839711181065
SLIMBPR,64,66,0.0034358162479166702,0.002178303665886352,0.015444166733918503
SLIMBPR,75,105,0.0026067598279640235,0.006176336516732844,0.015680712212775307
SLIMBPR,17,111,0.007438567711186403,0.009255474321561595,0.015693637422403185
SLIMBPR,40,75,0.0082377430325325,0.0019025678282740268,0.01608136503031082
SLIMBPR,30,93,0.0013993243076773664,0.006633515563078528,0.016005820448672606
SLIMBPR,17,119,0.009551526823720293,0.004419377226687729,0.01561988391541786
SLIMBPR,95,104,0.008315516926541361,0.002939073533209277,0.01562592767974832
SLIMBPR,55,131,0.0065810216263226945,0.0014988316393608166,0.015992512496973647
SLIMBPR,52,128,0.008609545102307065,0.00804707315921795,0.01600426079945819
SLIMBPR,99,122,0.006987816687051706,0.006062259458708074,0.015588939169526791
SLIMBPR,73,96,0.0012781148423004483,0.006645423039456841,0.015559397811229607
SLIMBPR,43,147,0.00948225351196133,0.0009757526396025661,0.01612885966203179
SLIMBPR,72,89,0.0019447906176102497,0.001334255605156513,0.015446175388043168
SLIMBPR,15,109,0.002811015699416967,0.0016932266757762697,0.015751451255077556
SLIMBPR,88,137,0.0030004571913632592,0.005170051478782281,0.015634832614134293
SLIMBPR,71,116,0.004443942150975969,0.0026344674147322274,0.015840233569584992
SLIMBPR,25,148,0.005959016434585713,0.0017477805523754655,0.015939824638857573
SLIMBPR,6,143,0.009254797239763395,0.0011051225248789166,0.014106089574699629
SLIMBPR,67,74,0.006891558152533458,0.001637827056113213,0.015657600327872445
SLIMBPR,57,144,0.009716262996899797,0.007869929387607439,0.015804653391945273
SLIMBPR,53,112,0.006008769375581153,0.0035785583168698185,0.015941466374872836
SLIMBPR,64,133,0.004402309588084966,0.00433635395931955,0.015907728699760808
SLIMBPR,20,140,0.004111440662956685,0.005263041618414771,0.016075122477462764
SLIMBPR,69,67,0.0012373697968241643,0.005335662933946782,0.015324253741971368
SLIMBPR,88,54,0.008418028644329664,0.006936563246359026,0.01527153621392741
SLIMBPR,12,80,0.00485931807377655,0.0033589888521764525,0.01555395931343002
SLIMBPR,46,123,0.008690412980866116,0.0045289576918409674,0.015986574555386168
SLIMBPR,36,115,0.002888767298876818,0.007752850034635572,0.016074233368620742
SLIMBPR,16,137,0.009733213775118245,0.0005764331729621806,0.0153927744626579
SLIMBPR,76,70,0.0064916462730728475,0.009107745565140287,0.01540896039737135
SLIMBPR,71,120,0.0052047265423360595,0.00591681628680088,0.015900717695777954
SLIMBPR,46,93,0.0060024528029291105,0.0025252925318684674,0.015931395412317004
SLIMBPR,46,127,0.007098554763204456,0.0008456841949664821,0.01595756428879996
SLIMBPR,57,105,0.0017925145393713688,0.008190172679807955,0.015813486129506442
SLIMBPR,47,100,0.004731838200064323,0.0066651635390843934,0.016003639708965716
SLIMBPR,32,66,0.0077870357599000555,0.0013668295462463515,0.0160488497562318
SLIMBPR,68,92,0.007182152833963793,0.004295053811997976,0.01583076391756976
SLIMBPR,49,106,0.008741346476725786,0.002514601904202169,0.015914440037471084
