recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.004507130907416967,0.001764808503055273,278,0.019370488192950654
SLIMElasticNetRecommender,0.0061021866937600614,0.003822416393005839,156,0.01924334167256072
SLIMElasticNetRecommender,0.00469206078561508,0.004321517545571476,125,0.019349046724993473
SLIMElasticNetRecommender,0.0011119295891022847,0.006724895303769243,67,0.018194570047139463
SLIMElasticNetRecommender,0.008655607042220346,0.004876252626204,284,0.019049527812985835
SLIMElasticNetRecommender,0.009792656807544554,0.000967714839685214,185,0.01899599139492945
SLIMElasticNetRecommender,0.0065667748123338044,0.0022976603067260746,103,0.01917566061083626
SLIMElasticNetRecommender,0.0019761443041264593,0.006410525810866221,97,0.019042998450833862
SLIMElasticNetRecommender,0.0018557148353412383,0.0063643158079593806,123,0.01908037860410477
SLIMElasticNetRecommender,0.0011758896690804985,0.009893071989187353,121,0.018640597085542575
SLIMElasticNetRecommender,0.004151108780350886,0.0006998493438060875,277,0.019395109288190368
SLIMElasticNetRecommender,0.004158621080493333,0.0001171652698093691,282,0.019376537891266848
SLIMElasticNetRecommender,0.004052405342415236,0.0003032589355427993,231,0.019369823586563854
SLIMElasticNetRecommender,0.003162241073422868,0.0027009290738870787,238,0.019437220805977345
SLIMElasticNetRecommender,0.0028332370297217014,0.0029455947329797417,236,0.01943096144017005
SLIMElasticNetRecommender,0.002758062981896137,0.0030775262447275886,227,0.019417369646160015
SLIMElasticNetRecommender,0.00011258420927583168,0.002790594512732771,219,0.01476503098331701
SLIMElasticNetRecommender,0.0030306296963080897,0.00542714910345274,250,0.01944361863144854
SLIMElasticNetRecommender,0.00612257441648361,0.008056172099947278,186,0.019214893156610992
SLIMElasticNetRecommender,0.0029343589557330944,0.005290241276826426,253,0.019439027704591598
SLIMElasticNetRecommender,0.005420404141275173,0.00575156596663053,254,0.019378320064941234
SLIMElasticNetRecommender,0.003196040355100366,0.007480319859350761,206,0.01949918348358154
SLIMElasticNetRecommender,0.003305513837713551,0.007841745485338947,202,0.019498048114337297
SLIMElasticNetRecommender,0.003520668066481557,0.007825415595326402,211,0.0195114688117625
SLIMElasticNetRecommender,0.005389360226751024,0.007917621225234895,209,0.019297230173762565
SLIMElasticNetRecommender,0.0036857160340650554,0.008798010250872545,168,0.01948324282027266
SLIMElasticNetRecommender,0.007118203983304466,0.0072809136861512625,202,0.019129821561096848
SLIMElasticNetRecommender,0.0021606084192340837,0.009283594431937003,151,0.019361509083744795
SLIMElasticNetRecommender,0.0035178968979849806,0.00756700160606298,196,0.0194761091805874
SLIMElasticNetRecommender,0.0009806799747129474,0.008593324808128548,176,0.01859098303196579
SLIMElasticNetRecommender,0.004673064162781964,0.006976419737007645,149,0.019380670912235158
SLIMElasticNetRecommender,0.0037165253993902076,0.008630700518168753,166,0.01948169108303905
SLIMElasticNetRecommender,0.005081878792853721,0.008692510625771921,207,0.019342067368933766
SLIMElasticNetRecommender,0.002399458431098161,0.009864767154646105,158,0.019394387319942745
SLIMElasticNetRecommender,0.0034680783121625426,0.009153673529019538,140,0.0194400799980375
SLIMElasticNetRecommender,0.0015382131991021949,0.007941492157539374,188,0.019084660963710587
SLIMElasticNetRecommender,0.004736150741490151,0.006208289922461318,170,0.019377263815504912
SLIMElasticNetRecommender,0.0038524588368653184,0.007319985862372357,53,0.0191943714564213
SLIMElasticNetRecommender,0.002472307262398792,0.004709262432785752,217,0.019402640504910623
SLIMElasticNetRecommender,0.008349964827962979,0.009025667126570531,179,0.018949320598208787
SLIMElasticNetRecommender,0.0005130261669701796,0.008262009269283962,198,0.017333956204021513
SLIMElasticNetRecommender,0.0036448318207415696,0.009501572277142838,172,0.01949314268624368
SLIMElasticNetRecommender,0.004436656402352167,0.009545772672723224,139,0.019349048702988633
SLIMElasticNetRecommender,0.0032572043030524495,0.00686943130982867,167,0.019449834481361436
SLIMElasticNetRecommender,0.0017890927480728625,0.00839686599236954,189,0.01927806636727698
SLIMElasticNetRecommender,0.004302001602949939,0.007529846825731449,215,0.01943064100494781
SLIMElasticNetRecommender,0.0038119406986276733,0.009537435315977174,271,0.019502000148744883
SLIMElasticNetRecommender,0.0025028116256274845,0.009618030875102967,298,0.019475656219686922
SLIMElasticNetRecommender,0.00514705243353352,0.006054288537385033,260,0.019396177405597934
SLIMElasticNetRecommender,0.005970261389858028,0.009381405928690101,225,0.019206880298059892
SLIMElasticNetRecommender,0.0038655267665233827,0.005520716411969717,90,0.019262730970499076
SLIMElasticNetRecommender,0.007204737792988125,0.009980989478376457,202,0.019063839597248326
SLIMElasticNetRecommender,0.009006763316130392,0.0035474289925714725,61,0.01889559923760127
SLIMElasticNetRecommender,0.004625419397469884,0.0011386584626450565,173,0.019354220171436454
SLIMElasticNetRecommender,0.006598082911101421,0.009636770660644202,172,0.01913086989855234
SLIMElasticNetRecommender,0.008426988635657572,0.008480234743876146,113,0.018933825972817373
SLIMElasticNetRecommender,0.004784938989509165,0.0037656996448190826,163,0.019397995183185735
SLIMElasticNetRecommender,0.0010495459361286909,0.0029210502093725095,188,0.01856488635230767
SLIMElasticNetRecommender,0.00479879274328569,0.009416228706208184,169,0.01935918296139081
SLIMElasticNetRecommender,0.006130359492991206,0.006358229971598174,220,0.01924378573248291
SLIMElasticNetRecommender,0.0034207796568106845,0.009218665023950976,202,0.019497001754876994
SLIMElasticNetRecommender,0.0019094271355202148,0.006910010458202519,296,0.019349050680983852
SLIMElasticNetRecommender,0.0030109279925097836,0.00540085445541969,250,0.01943768761284431
SLIMElasticNetRecommender,0.0027974655266147556,0.005859637489633002,263,0.019470314643651974
SLIMElasticNetRecommender,0.0032335276651947386,0.007429715042380365,259,0.019500831153582275
