recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.003111999003710006,0.009820277905089422,240,0.019497208455375246
SLIMElasticNetRecommender,0.0031929643241038553,0.009827569803518512,242,0.019517895318164096
SLIMElasticNetRecommender,0.003144515011724975,0.009824514675671749,240,0.019509859712668127
SLIMElasticNetRecommender,0.0031240689984303838,0.009828183032587999,245,0.019509574881359463
SLIMElasticNetRecommender,0.0031964261035160924,0.009820383877404184,244,0.019514501078402604
SLIMElasticNetRecommender,0.003162261564784926,0.009829057540850427,242,0.01951417174220197
SLIMElasticNetRecommender,0.0031969642155350287,0.009820732022067546,245,0.019517002253331753
SLIMElasticNetRecommender,0.0031311753900725562,0.009825822814043086,240,0.01951180803793915
SLIMElasticNetRecommender,0.0031537873309455274,0.009828479262176348,244,0.019511558810544085
SLIMElasticNetRecommender,0.0031277948210158657,0.009825456554785788,241,0.019514947116319983
SLIMElasticNetRecommender,0.003175184447428793,0.009823303085612944,242,0.019514349761769877
SLIMElasticNetRecommender,0.0031997738083936246,0.009822959432976505,243,0.01950984388870653
SLIMElasticNetRecommender,0.0031805370634639665,0.009827159662726017,245,0.0195207001153563
SLIMElasticNetRecommender,0.0031769769745631105,0.00982690271853183,243,0.019517317743565993
SLIMElasticNetRecommender,0.0031801840934637653,0.009829996325283434,241,0.019515573151800466
SLIMElasticNetRecommender,0.0031856333532677777,0.009827176082635763,244,0.01951758872890826
SLIMElasticNetRecommender,0.0031648668589638394,0.009826778917275465,242,0.019513975920677266
SLIMElasticNetRecommender,0.0031861570269516473,0.009824475196978788,243,0.01951545941707652
SLIMElasticNetRecommender,0.003168873602396428,0.00982776399300067,241,0.01951578183029396
SLIMElasticNetRecommender,0.0031524276933943573,0.009829924019011192,245,0.019511175079475473
