recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.0030961306704776486,0.008017085582788679,270,0.0194985792060482
SLIMElasticNetRecommender,0.002921459899321884,0.008068261340448557,273,0.019534584652655812
SLIMElasticNetRecommender,0.0028509479416213173,0.008027783743584777,270,0.01950602833596771
SLIMElasticNetRecommender,0.0028033828119707923,0.008095402905032604,272,0.019492648187444003
SLIMElasticNetRecommender,0.002982644097475436,0.00803633613551358,277,0.019515664139579596
SLIMElasticNetRecommender,0.0028644533047818247,0.008083751353774284,266,0.019520182869611817
SLIMElasticNetRecommender,0.003143744988604236,0.008124351092224898,282,0.019513992733636455
SLIMElasticNetRecommender,0.0028534649079829956,0.008161712860173401,288,0.019534501576857436
SLIMElasticNetRecommender,0.0030749602655327063,0.008171106893737077,287,0.019517477961177112
SLIMElasticNetRecommender,0.0028275593809240036,0.008174152829956666,259,0.019495792210812823
SLIMElasticNetRecommender,0.0031903055578277667,0.00811216721254965,253,0.019498738434661704
SLIMElasticNetRecommender,0.0031471493281854516,0.008040476495094978,272,0.019512866265370618
SLIMElasticNetRecommender,0.00306541147998341,0.008013703330290707,272,0.01951134815405541
SLIMElasticNetRecommender,0.0030251564848140784,0.008112455667392838,278,0.01951286132038264
SLIMElasticNetRecommender,0.0031311937608940227,0.00803083444522533,254,0.01949542133671296
