recommender,alpha,betaMAP
IALS_SLIM_RP3beta_ItemKNNCF,0.8360248643425564,0.4995025038166776,0.005110861570512598
IALS_SLIM_RP3beta_ItemKNNCF,0.6244174045049831,0.3823554213980793,0.005105672236926317
IALS_SLIM_RP3beta_ItemKNNCF,0.21352867310052548,0.6962329541042938,0.004213769308926591
IALS_SLIM_RP3beta_ItemKNNCF,0.30221214165153554,0.543721392948748,0.004621070912958359
IALS_SLIM_RP3beta_ItemKNNCF,0.36477137716908925,0.47358399792910955,0.004798822854801513
IALS_SLIM_RP3beta_ItemKNNCF,0.9896446239931692,0.8830031287025674,0.0049646530326474415
IALS_SLIM_RP3beta_ItemKNNCF,0.8610293309975031,0.04550061770408198,0.0052253938252992994
IALS_SLIM_RP3beta_ItemKNNCF,0.43507523824097794,0.9345268055552663,0.004483485721255581
IALS_SLIM_RP3beta_ItemKNNCF,0.28008068487028626,0.2007019193331986,0.0050489041295998785
IALS_SLIM_RP3beta_ItemKNNCF,0.5110110968457772,0.39804941567148266,0.005025970251512263
IALS_SLIM_RP3beta_ItemKNNCF,0.7361065719928012,0.018566333808054416,0.0052356530164522274
IALS_SLIM_RP3beta_ItemKNNCF,0.7635938690485328,0.00221494932964994,0.005232368461028979
IALS_SLIM_RP3beta_ItemKNNCF,0.6661746871411949,0.007025055211742563,0.005234906757022601
IALS_SLIM_RP3beta_ItemKNNCF,0.07188851153079295,0.20807011299547662,0.0042763567353489434
IALS_SLIM_RP3beta_ItemKNNCF,0.6484620908333137,0.17741275696771752,0.00519017661510282
IALS_SLIM_RP3beta_ItemKNNCF,0.6334187259558535,0.10494462539598934,0.005200164012442328
IALS_SLIM_RP3beta_ItemKNNCF,0.9836108331991152,0.3021760980211292,0.005169678196300491
IALS_SLIM_RP3beta_ItemKNNCF,0.7373217408501526,0.6377275519359721,0.004976045885970574
IALS_SLIM_RP3beta_ItemKNNCF,0.5182310119576381,0.12768882339772852,0.005191887386354162
IALS_SLIM_RP3beta_ItemKNNCF,0.8601839874971683,0.29369740078665624,0.00516786850958592
IALS_SLIM_RP3beta_ItemKNNCF,0.7014815594541929,0.010249593434166926,0.005236132964829335
IALS_SLIM_RP3beta_ItemKNNCF,0.7138661100019887,0.02225235914670587,0.005232711684779079
IALS_SLIM_RP3beta_ItemKNNCF,0.563398065795381,0.07437478624618384,0.005209567300362109
IALS_SLIM_RP3beta_ItemKNNCF,0.7896004627872648,0.2648058193969961,0.005166994614055714
IALS_SLIM_RP3beta_ItemKNNCF,0.6769483998093967,0.13252793015743558,0.005199481110215033
IALS_SLIM_RP3beta_ItemKNNCF,0.9084428660703197,0.002864649954594358,0.00523213789821203
IALS_SLIM_RP3beta_ItemKNNCF,0.5652000360732339,0.09728298912035466,0.005198584853132542
IALS_SLIM_RP3beta_ItemKNNCF,0.44570306225700485,0.236839094565496,0.005147173411301932
IALS_SLIM_RP3beta_ItemKNNCF,0.7959220367412547,0.7738529846114632,0.004943040559678611
IALS_SLIM_RP3beta_ItemKNNCF,0.8996365528638628,0.34314958307641397,0.005161158012191247
IALS_SLIM_RP3beta_ItemKNNCF,0.5851770485284655,0.15926007454226798,0.005191184533733663
IALS_SLIM_RP3beta_ItemKNNCF,0.7066870347760539,0.0010974637596004935,0.00523088574176915
IALS_SLIM_RP3beta_ItemKNNCF,0.7090230439597077,0.06137593547879627,0.005217511792520203
IALS_SLIM_RP3beta_ItemKNNCF,0.8147703678915418,0.04461669488397213,0.0052248333167740696
IALS_SLIM_RP3beta_ItemKNNCF,0.6267659709563959,0.15646004073966635,0.005190882209126844
IALS_SLIM_RP3beta_ItemKNNCF,0.7109193033274835,0.4163323355512808,0.0051176749994815305
IALS_SLIM_RP3beta_ItemKNNCF,0.5936460494412934,0.07598279519275722,0.0052099327491124045
