recommender,factors,alpha,interactions,regularization,MAP
ImplicitALSRecommender,194,76,52,0.001,0.0020269306122656446
ImplicitALSRecommender,167,3,36,0.001,0.0038892248982882096
ImplicitALSRecommender,556,54,84,0.001,0.0024597006742329776
ImplicitALSRecommender,508,8,22,0.001,0.0028337394634008217
ImplicitALSRecommender,220,56,14,0.001,0.0015940156605202078
ImplicitALSRecommender,238,36,29,0.001,0.0022480642644222225
ImplicitALSRecommender,219,71,58,0.001,0.002154352509981214
ImplicitALSRecommender,625,36,49,0.001,0.0024725593878729443
ImplicitALSRecommender,201,83,22,0.001,0.001580622448056271
ImplicitALSRecommender,434,2,72,0.001,0.003237275146101492
ImplicitALSRecommender,797,100,97,0.001,0.002152625450386454
ImplicitALSRecommender,372,1,71,0.001,0.0032565710267301057
ImplicitALSRecommender,376,20,39,0.001,0.0027351498132400925
ImplicitALSRecommender,101,18,65,0.001,0.002906502377835235
ImplicitALSRecommender,323,25,79,0.001,0.0026630176661403084
ImplicitALSRecommender,329,3,37,0.001,0.0034573412663322493
ImplicitALSRecommender,101,36,39,0.001,0.0022386929751667577
ImplicitALSRecommender,311,12,43,0.001,0.002940619823218915
ImplicitALSRecommender,296,25,31,0.001,0.0026003571915003475
ImplicitALSRecommender,658,44,30,0.001,0.002181659807193676
ImplicitALSRecommender,449,10,17,0.001,0.0028012870005063514
ImplicitALSRecommender,406,3,56,0.001,0.0032509425987514006
ImplicitALSRecommender,355,2,45,0.001,0.0034063264803034002
ImplicitALSRecommender,273,14,46,0.001,0.0029350369664305916
ImplicitALSRecommender,528,26,36,0.001,0.0024868926898100703
ImplicitALSRecommender,141,8,10,0.001,0.0030708111483291104
ImplicitALSRecommender,350,30,62,0.001,0.002571895734181474
ImplicitALSRecommender,160,18,35,0.001,0.0027319507879906887
ImplicitALSRecommender,271,1,23,0.001,0.0035312446872597866
ImplicitALSRecommender,262,64,23,0.001,0.0018495289530963078
ImplicitALSRecommender,170,48,52,0.001,0.0021798705179402675
ImplicitALSRecommender,315,6,44,0.001,0.0031870503236012967
ImplicitALSRecommender,254,14,25,0.001,0.0027941632730927664
ImplicitALSRecommender,403,1,35,0.001,0.003201284812072608
ImplicitALSRecommender,472,7,27,0.001,0.002941216203333321
ImplicitALSRecommender,347,14,18,0.001,0.0025621203755676965
ImplicitALSRecommender,195,21,41,0.001,0.0027000063663817093
ImplicitALSRecommender,238,9,31,0.001,0.0030926958719121474
ImplicitALSRecommender,281,86,53,0.001,0.0020657294608639122
ImplicitALSRecommender,138,32,48,0.001,0.0024753331335787237
ImplicitALSRecommender,220,43,18,0.001,0.0019854554949971536
ImplicitALSRecommender,365,1,92,0.001,0.003256226086949731
ImplicitALSRecommender,390,5,71,0.001,0.003144055630314828
ImplicitALSRecommender,487,1,63,0.001,0.002986853094199491
ImplicitALSRecommender,350,11,78,0.001,0.0029521829101494903
ImplicitALSRecommender,601,6,69,0.001,0.0028501599640457227
ImplicitALSRecommender,406,17,57,0.001,0.0027372855918460196
ImplicitALSRecommender,322,58,85,0.001,0.0023928059923338583
ImplicitALSRecommender,230,21,49,0.001,0.002671337783287625
ImplicitALSRecommender,432,5,37,0.001,0.0030810116170383126
ImplicitALSRecommender,294,100,33,0.001,0.001771935186878882
ImplicitALSRecommender,365,1,99,0.001,0.0033036182809947647
ImplicitALSRecommender,335,11,98,0.001,0.002968462648746213
ImplicitALSRecommender,427,1,91,0.001,0.0031175116133521676
ImplicitALSRecommender,371,5,41,0.001,0.003211426452577257
