recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.028316573569099716,0.09407663896921589,157,0.004788914916899949
SLIMElasticNetRecommender,0.09895407153608614,0.07285972278835244,125,0.004793857277356719
SLIMElasticNetRecommender,0.08368478461134406,0.07497326855748924,236,0.004830699276415189
SLIMElasticNetRecommender,0.033460200203852083,0.04442828940181502,231,0.004710365220554912
SLIMElasticNetRecommender,0.02962737334039941,0.056394082590526265,268,0.004721729353631104
SLIMElasticNetRecommender,0.011134760816794171,0.023755426367729038,294,0.0037719986555998
SLIMElasticNetRecommender,0.025083359446485168,0.037363003755131775,206,0.0044477325706986405
SLIMElasticNetRecommender,0.012174226519821824,0.04313425939822872,92,0.0037615239033587243
SLIMElasticNetRecommender,0.031439326367018544,0.014450444277549686,225,0.0044115680658126065
SLIMElasticNetRecommender,0.04839645852268178,0.020728623842815284,148,0.004665141083337235
