recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.6392630787769473,0.6882454995702656,866,0.0024178311528844543
RP3betaRecommender,0.3812553436570354,0.20306703540673363,640,0.004797616475800219
RP3betaRecommender,0.7752042398645937,0.709369597562496,177,0.0033007574593937224
RP3betaRecommender,0.6085597608103881,0.8978179554613221,616,0.0009979308301751642
RP3betaRecommender,0.6457485696177221,0.8999774566630445,550,0.0010380469905014189
RP3betaRecommender,0.1782423777649613,0.6498142849952881,875,0.0032570384949077284
RP3betaRecommender,0.7590009333473685,0.850915984170228,300,0.0016962833277355224
RP3betaRecommender,0.36440429200479807,0.26288378302683474,525,0.004830469485716449
RP3betaRecommender,0.5662188582512961,0.4004888586634613,788,0.004651768756993696
RP3betaRecommender,0.24807396119708366,0.21746953088977314,156,0.004690256681161437
RP3betaRecommender,0.38034543634949375,0.3849319787131994,406,0.00484136086915835
RP3betaRecommender,0.4103254682105736,0.38434597688246236,373,0.004822265751881665
RP3betaRecommender,0.33196394518410793,0.35181218921849744,393,0.0048455894704831325
RP3betaRecommender,0.27737374682070043,0.4781876191768334,7,0.003176140090865576
RP3betaRecommender,0.4724331878889095,0.10835152722468744,394,0.004767591792324755
RP3betaRecommender,0.10219528156946794,0.3257139928603408,263,0.0047502821810744
RP3betaRecommender,0.29147218615909465,0.5258727652265713,723,0.004337410799046304
RP3betaRecommender,0.49090236897170253,0.5639498463446537,407,0.0043618331794023635
RP3betaRecommender,0.18114484334704573,0.4440968541572734,984,0.004486608105468502
RP3betaRecommender,0.8858188074834239,0.3228767387862149,440,0.0047246486420725
RP3betaRecommender,0.3326112911209867,0.6186559994793888,39,0.003845722038369239
RP3betaRecommender,0.4173145873267939,0.26572052542618413,511,0.00483657397896744
RP3betaRecommender,0.43054525495046503,0.31022553209921494,492,0.004857892087053902
RP3betaRecommender,0.5288836117713412,0.35731178987881274,284,0.0048640830461459325
RP3betaRecommender,0.5314752677398057,0.12113866205894808,279,0.0048142345238025895
RP3betaRecommender,0.46496218012938706,0.33374103125285426,168,0.004795345504724401
RP3betaRecommender,0.7116294770413321,0.18089643318138537,328,0.004856776846400879
RP3betaRecommender,0.7182642707068568,0.19466890380631438,233,0.0048771459610665
RP3betaRecommender,0.8453443069005744,0.2637284841154939,95,0.004718116073781425
RP3betaRecommender,0.6619257431170174,0.15641277214329843,202,0.004811454292298938
RP3betaRecommender,0.5760087055834533,0.27386423963089696,233,0.004872433437758555
RP3betaRecommender,0.574694908807903,0.25347485512229334,230,0.0048848965771866775
RP3betaRecommender,0.5769476290785184,0.21635661946243512,248,0.0048862386202947845
RP3betaRecommender,0.5897364758546232,0.22398868009549416,109,0.00477284158916809
RP3betaRecommender,0.6863274417926709,0.15559226117244362,229,0.004839700289314759
RP3betaRecommender,0.7425532215925046,0.21570014630351406,112,0.0047798107246853645
RP3betaRecommender,0.6326993297636235,0.286260788308876,337,0.004878431815103695
RP3betaRecommender,0.8099358909565024,0.16570877411755777,336,0.004843554449220076
RP3betaRecommender,0.6248741139045546,0.43317321108494256,332,0.004778004403097475
RP3betaRecommender,0.7040487495619266,0.7479809786864279,459,0.002442821994816395
RP3betaRecommender,0.6294839595096228,0.23166211468950595,572,0.004799093550486706
RP3betaRecommender,0.5627361402440533,0.2842965059690987,239,0.004886696891598144
RP3betaRecommender,0.5360665461077477,0.2895466819203131,170,0.004819475318258622
RP3betaRecommender,0.6612350578077291,0.1914820962084839,225,0.004874395119367355
RP3betaRecommender,0.6057241652919463,0.23615636058941672,66,0.0046504621482719305
RP3betaRecommender,0.7946387972646611,0.1395764580737487,247,0.004847374904578798
RP3betaRecommender,0.733302949165241,0.1020697155508213,130,0.004802273702710995
RP3betaRecommender,0.5620068477877153,0.19997828579543708,350,0.004879397474959267
RP3betaRecommender,0.551124219781987,0.2986651211579194,353,0.004874900482838278
RP3betaRecommender,0.4959570138572271,0.3732061179742982,302,0.004864744553945908
RP3betaRecommender,0.5791667146014962,0.4165989353623838,450,0.004778337323926984
RP3betaRecommender,0.6610982456832785,0.19157857207326362,198,0.004819491059569956
RP3betaRecommender,0.6111806835742432,0.2638353787613633,295,0.00490429983820203
RP3betaRecommender,0.6126944555037667,0.26697625926404567,303,0.004889973342188547
RP3betaRecommender,0.513373054257999,0.24433976520380246,304,0.004886008388200933
RP3betaRecommender,0.44077326914803916,0.2325588086896261,290,0.004871223851792456
RP3betaRecommender,0.5069015717203909,0.2543382542250315,137,0.0047554081745914386
RP3betaRecommender,0.5948567840204166,0.47174908777977104,384,0.004666510813320434
RP3betaRecommender,0.5130058435199992,0.3279421622350416,196,0.004848687780792571
RP3betaRecommender,0.45810673889544556,0.3554349989041083,268,0.004878081880475428
RP3betaRecommender,0.5511248100584148,0.2543586048971709,297,0.004903288033012023
RP3betaRecommender,0.604534571051172,0.25228257147883326,408,0.004881112038982216
