recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.29752962865031335,0.31417699758110207,897,0.004740523106104204
RP3betaRecommender,0.16108510592104539,0.5330479341049339,524,0.0043977013621059055
RP3betaRecommender,0.7524886738017961,0.2938953424326243,477,0.0048002934595980954
RP3betaRecommender,0.6958599848692442,0.17246868937280774,970,0.004638993515518604
RP3betaRecommender,0.1262690226396469,0.5406947865923862,227,0.0043509500423660865
RP3betaRecommender,0.7648112022526558,0.8048337964698025,583,0.0014792586748000405
RP3betaRecommender,0.43922244857624226,0.41335577179967586,446,0.0048077189087014725
RP3betaRecommender,0.7071525099571668,0.40690260503364273,805,0.004483152290308742
RP3betaRecommender,0.87215268845982,0.33021267316952174,717,0.004543678875594422
RP3betaRecommender,0.8136367597230256,0.5544972584507847,892,0.0032757919937614153
RP3betaRecommender,0.7438776384501782,0.464983665260042,285,0.004659267232995905
RP3betaRecommender,0.40334095414507876,0.2153760431672187,53,0.004363654635317508
RP3betaRecommender,0.5567637576039736,0.6008653673888074,471,0.004087160993693145
RP3betaRecommender,0.7616343614618873,0.31851117942098117,439,0.004809413975596356
RP3betaRecommender,0.27513884775747643,0.6061892163105804,239,0.004171422853993257
RP3betaRecommender,0.3710763818118603,0.5926467189299829,670,0.004017323535964654
RP3betaRecommender,0.8474288461687908,0.6588725133001294,477,0.003025393336194932
RP3betaRecommender,0.6788117633244071,0.12086304426603417,158,0.004805391504367471
RP3betaRecommender,0.797345279770281,0.7221730634148011,86,0.0033022196833048033
RP3betaRecommender,0.11066165461333882,0.5841699496624444,135,0.004024653424840745
RP3betaRecommender,0.8063957601767394,0.6454981694696673,572,0.003061319767802875
RP3betaRecommender,0.2202678954967759,0.3915316115343924,276,0.004786208397292485
RP3betaRecommender,0.5076631761390072,0.8260839237144636,790,0.001440291657704073
RP3betaRecommender,0.6161710753618745,0.2901338879161901,750,0.004750124647467181
RP3betaRecommender,0.4184445461784304,0.8944758897902664,72,0.0019635689496067654
RP3betaRecommender,0.3497140536538688,0.20196368590837643,445,0.004816742743984126
RP3betaRecommender,0.11250263857533965,0.7373618082442718,457,0.0028086346055939335
RP3betaRecommender,0.12801490186002626,0.334539488249811,387,0.004797967208914898
RP3betaRecommender,0.8285360771095316,0.8001255118182149,900,0.0009489937682708776
RP3betaRecommender,0.8187275761374567,0.43037402061957697,977,0.0040532296089145535
RP3betaRecommender,0.7975170485437019,0.38517234882495655,189,0.00477417788363649
RP3betaRecommender,0.14331003788941274,0.22259233981718865,317,0.004789333691469475
RP3betaRecommender,0.7676345711298345,0.19794997433005942,43,0.004321633746152551
RP3betaRecommender,0.6857703196025351,0.2593089504246606,13,0.0034046785455126138
RP3betaRecommender,0.5139501265928766,0.894807936860069,957,0.0007772432855520971
RP3betaRecommender,0.3370645238215687,0.25888973337653653,62,0.0045557791152689405
RP3betaRecommender,0.5494723662286919,0.6212360872664144,106,0.0040520987728669584
RP3betaRecommender,0.3214591013388606,0.30088492254546784,559,0.004833086381801593
RP3betaRecommender,0.5277219885069875,0.8168354807958756,458,0.0020496747041463675
RP3betaRecommender,0.14262352996358657,0.8247800878321428,867,0.0015323940770259085
RP3betaRecommender,0.12848223836463993,0.31315511708906774,893,0.004678626072244133
RP3betaRecommender,0.46587640675023523,0.5043630779678739,502,0.0045843355656538555
RP3betaRecommender,0.5903839196358566,0.40117660327153737,397,0.004815602221429592
RP3betaRecommender,0.24939901672979153,0.3126378098986359,791,0.004717412387563752
RP3betaRecommender,0.5606999868831174,0.8332673781573632,602,0.0015867008246629405
RP3betaRecommender,0.3972296351277472,0.5583470785551957,531,0.004332054374726702
RP3betaRecommender,0.8614423250422806,0.8667700316440647,949,0.000556990062522748
RP3betaRecommender,0.7512049178005602,0.4680691201623701,616,0.004378444039145476
RP3betaRecommender,0.8303856316471532,0.15796665450234332,348,0.004836015826400645
RP3betaRecommender,0.5470247642100482,0.7343093261196963,178,0.003233124415874143
RP3betaRecommender,0.3519266610607642,0.6055860102373456,608,0.003986375244755961
RP3betaRecommender,0.3615012202987343,0.6609463051254855,262,0.003854489434730676
RP3betaRecommender,0.5599161573331648,0.7076048339816604,44,0.0035212327688739892
RP3betaRecommender,0.5230663343104155,0.7997656323639354,476,0.0021524717048605566
RP3betaRecommender,0.8187329106448125,0.16832946708760438,174,0.004800098937558295
RP3betaRecommender,0.5157963318889881,0.425436317716111,811,0.004607187259436443
RP3betaRecommender,0.6745078013114951,0.6031745401953819,878,0.0032130372046767814
RP3betaRecommender,0.7147215474380401,0.10598150064505507,547,0.004740170821733289
RP3betaRecommender,0.1318568713909424,0.3313959282856016,232,0.004734404878652545
RP3betaRecommender,0.7582637263724087,0.4411612312479538,575,0.004506104052197523
RP3betaRecommender,0.4832453570142441,0.36831069328328625,453,0.004855495421851558
RP3betaRecommender,0.14081319518912025,0.299057112492494,716,0.0047037908029027185
RP3betaRecommender,0.7805890281609948,0.8502423076835736,13,0.0021343461212846413
RP3betaRecommender,0.4458921048169313,0.5390904223055747,252,0.004506119955585544
RP3betaRecommender,0.3994799004953252,0.1464059945745551,655,0.004729299176207086
RP3betaRecommender,0.48389506568606144,0.7139242898454873,647,0.0027927828722823307
RP3betaRecommender,0.5656172919788729,0.5065556495010687,980,0.004043657010247469
RP3betaRecommender,0.7200309169475593,0.3980766918895494,872,0.004439125072918331
RP3betaRecommender,0.27154199191673795,0.8680635996640391,758,0.001329514887930595
RP3betaRecommender,0.672298939415503,0.5515280453508552,189,0.004436553116514524
RP3betaRecommender,0.4537348074534151,0.39323039784539127,608,0.0047932890896004755
RP3betaRecommender,0.828656140003153,0.6152066726938835,822,0.0027950413021069474
RP3betaRecommender,0.4652755871689197,0.3693884128948759,130,0.0047272740991361325
RP3betaRecommender,0.6945756805900737,0.22274678633921569,260,0.0048733736900713346
RP3betaRecommender,0.5620729844361563,0.8906522206044278,345,0.0015592001060526068
RP3betaRecommender,0.7188917832003802,0.78733037174416,832,0.0013167411597169477
RP3betaRecommender,0.3571317317621573,0.8924200357614612,658,0.001241021773083261
RP3betaRecommender,0.5311538124796932,0.33292976968350396,21,0.004057189487568928
RP3betaRecommender,0.6291008617800745,0.8328900864423819,170,0.0022903469260637196
RP3betaRecommender,0.5879385124743747,0.5847019810416674,542,0.004064063026154846
RP3betaRecommender,0.7737145979445347,0.16743386950762373,824,0.004652998872758844
RP3betaRecommender,0.34428505489037775,0.3464088979918161,853,0.004746939790833772
RP3betaRecommender,0.7068492988080827,0.5708120387600634,581,0.003938881113579175
RP3betaRecommender,0.8440200895384425,0.335224026417667,609,0.004639704666478052
RP3betaRecommender,0.20747398258576386,0.8925198990108015,318,0.0016517234092213787
RP3betaRecommender,0.7014103141030484,0.812102757870301,778,0.0012314087833677496
RP3betaRecommender,0.2646628509018655,0.7824658970614141,41,0.002762391840666317
RP3betaRecommender,0.8787988480166579,0.7063631943106644,326,0.002820476804996863
RP3betaRecommender,0.5729979910883761,0.7350511995974516,911,0.0019750669148359767
RP3betaRecommender,0.6064601067786011,0.23693001423839313,593,0.004791359966732825
RP3betaRecommender,0.6444923852224389,0.7160678414213814,921,0.0020243317370903726
RP3betaRecommender,0.13588779990533598,0.7714564581389437,921,0.0019329839970531222
RP3betaRecommender,0.31118920325412514,0.22831295505789306,563,0.004810342057078432
RP3betaRecommender,0.3260857163122044,0.10998973153616332,563,0.0046983675591543905
RP3betaRecommender,0.5317811939830778,0.5280111030106788,542,0.004428458066825931
RP3betaRecommender,0.4163245790131811,0.6800520934499709,568,0.0033575690820249683
RP3betaRecommender,0.3828774073525738,0.5018627334289926,442,0.004622745346446362
RP3betaRecommender,0.47370328709080534,0.3932047389281442,787,0.004708136976283502
RP3betaRecommender,0.588352874406666,0.4507949531623331,175,0.00472068595403208
RP3betaRecommender,0.18887441043519557,0.8805683718820263,39,0.001944066985967021
RP3betaRecommender,0.33271421034243875,0.1999666397189519,733,0.004760833611958638
RP3betaRecommender,0.11457565921726243,0.11327725515476593,780,0.004569068607359151
RP3betaRecommender,0.2017965674003624,0.733110145312211,323,0.003034460637984689
RP3betaRecommender,0.5106356477813159,0.678458685613325,232,0.003729989077269223
RP3betaRecommender,0.7564122870164837,0.4162253295465739,328,0.004770151259328469
RP3betaRecommender,0.29238282732091825,0.7795115766687797,468,0.0024715956861842137
RP3betaRecommender,0.6147444499788169,0.21319582771862855,702,0.004774228404853004
RP3betaRecommender,0.24324317288227315,0.42597309949398776,510,0.0047567742812290445
RP3betaRecommender,0.2983980326644349,0.1775326528971477,352,0.004813444455225036
RP3betaRecommender,0.4503026591825213,0.28816890113841154,389,0.004842233452499164
RP3betaRecommender,0.3477663236592206,0.41446012500505913,498,0.004794127046370393
RP3betaRecommender,0.39501503476520494,0.6033136150558109,90,0.004094115931560612
RP3betaRecommender,0.577965331705507,0.7648413972035946,715,0.001972292299227857
RP3betaRecommender,0.4634262343475821,0.3592182123898544,655,0.0048035529948758275
