recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.06060215120435972,0.035523504983189756,57,0.00472802533093422
SLIMElasticNetRecommender,0.0399671291507643,0.062311249429791056,207,0.004835040934628173
SLIMElasticNetRecommender,0.015406383892866471,0.06373227438764585,59,0.004030291700553007
SLIMElasticNetRecommender,0.0802093325811731,0.05951159581969931,86,0.004832480945775776
SLIMElasticNetRecommender,0.059291240413822055,0.023003612369025463,174,0.004788329377024261
SLIMElasticNetRecommender,0.09186565829561974,0.05117571373004536,251,0.004874176027386496
SLIMElasticNetRecommender,0.08566281293077081,0.07977669777767546,183,0.00481844934908529
SLIMElasticNetRecommender,0.021491113584900738,0.06889254521769725,231,0.004585854732188671
SLIMElasticNetRecommender,0.05091264892267185,0.08374363435991115,287,0.004890324838110072
SLIMElasticNetRecommender,0.03738829269859769,0.058192538550865196,167,0.004788583131310133
SLIMElasticNetRecommender,0.07253065717348181,0.09763215769980352,287,0.004813759833982921
SLIMElasticNetRecommender,0.0965095980984819,0.03877298337914804,297,0.004894980037391214
SLIMElasticNetRecommender,0.04247776412336354,0.03864403869650125,294,0.004809283934513174
SLIMElasticNetRecommender,0.06841050036076732,0.010660814422173013,266,0.004778759855410203
SLIMElasticNetRecommender,0.09975866089567399,0.0999539962148607,128,0.0047101096113956464
SLIMElasticNetRecommender,0.04889150253823724,0.08245502122132994,299,0.0049012372857081534
SLIMElasticNetRecommender,0.03148479348292721,0.04238810920029533,234,0.004669013232482584
SLIMElasticNetRecommender,0.051320961217855815,0.07673325088461516,260,0.004898684753254798
SLIMElasticNetRecommender,0.04978929847097054,0.08047974466811543,259,0.004896233002430045
SLIMElasticNetRecommender,0.02650639747731434,0.08775049432276208,208,0.0047616514303805285
SLIMElasticNetRecommender,0.06705449100191356,0.07176993080506751,135,0.004851950259592663
SLIMElasticNetRecommender,0.04647805492880948,0.07523059002013051,261,0.004892458387898069
SLIMElasticNetRecommender,0.05380471143809658,0.08994285421981027,270,0.004882414640952294
SLIMElasticNetRecommender,0.04804648563116627,0.09149872316745478,237,0.004884347623980097
SLIMElasticNetRecommender,0.03408431123390179,0.07853764296781676,212,0.004829434060943087
SLIMElasticNetRecommender,0.057353102830382856,0.06881707457276022,271,0.004905201709462136
SLIMElasticNetRecommender,0.060955846104772574,0.05122209249467942,276,0.004897137223235908
SLIMElasticNetRecommender,0.07735520573182574,0.0711676899507356,245,0.004849366476717433
SLIMElasticNetRecommender,0.057940560184114316,0.06563962491123715,299,0.004909264585376771
SLIMElasticNetRecommender,0.0627552944717349,0.06650505181621495,296,0.004887873216754165
SLIMElasticNetRecommender,0.0575931782052376,0.052857875775861804,279,0.004892698536983607
SLIMElasticNetRecommender,0.05512613700123043,0.07371170967678467,278,0.004902629001940295
SLIMElasticNetRecommender,0.0440244059288003,0.0845902383325271,279,0.004889097953056309
SLIMElasticNetRecommender,0.06471832063479474,0.06449486261273565,277,0.004880897979972949
SLIMElasticNetRecommender,0.0732727589498509,0.05793528447027995,224,0.004872642422575394
SLIMElasticNetRecommender,0.058652720102578285,0.0728431835739233,296,0.004894035922032299
SLIMElasticNetRecommender,0.055499372557306484,0.0635426728008623,249,0.004892717386094216
SLIMElasticNetRecommender,0.03788290966103021,0.045955095950755934,80,0.004638480996240328
SLIMElasticNetRecommender,0.07171809569926856,0.09461326519175928,188,0.004813114986859031
SLIMElasticNetRecommender,0.08632809728231784,0.06794794192177278,299,0.004839653314539476
SLIMElasticNetRecommender,0.015036970702361777,0.08250358042519143,249,0.004403437195707296
SLIMElasticNetRecommender,0.04903747630643113,0.07836110328302401,264,0.004896324314081351
SLIMElasticNetRecommender,0.052726451776234105,0.07603914459350304,283,0.004900366254204005
SLIMElasticNetRecommender,0.05478025559806051,0.05964246939012428,284,0.004895587568520632
SLIMElasticNetRecommender,0.04099348175443519,0.08691957696795155,289,0.004882304549525617
SLIMElasticNetRecommender,0.06140542475616708,0.07406753797486913,272,0.004881013050681923
SLIMElasticNetRecommender,0.04512396994146776,0.027413051289445146,221,0.004741550974487074
SLIMElasticNetRecommender,0.05294014204346458,0.06866604545074441,152,0.00487274963796375
SLIMElasticNetRecommender,0.066366936700132,0.06160441696206134,300,0.00488328490404535
SLIMElasticNetRecommender,0.05714897521666088,0.05610428975499905,285,0.004895338471971937
