recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,161,797,rp3beta,bm25plus,0.0048651318308432735
ItemKNNCFRecommender,41,1177,rp3beta,tfidf,0.005015957604563714
ItemKNNCFRecommender,128,1657,rp3beta,bm25plus,0.004910912434856783
ItemKNNCFRecommender,112,1719,rp3beta,bm25plus,0.004931413682704777
ItemKNNCFRecommender,66,1693,rp3beta,tfidf,0.005030549437410235
ItemKNNCFRecommender,163,1842,rp3beta,tfidf,0.004934154708667707
ItemKNNCFRecommender,42,755,rp3beta,tfidf,0.0049784897354629536
ItemKNNCFRecommender,27,848,rp3beta,bm25plus,0.004900085372917025
ItemKNNCFRecommender,165,854,rp3beta,bm25plus,0.0048643601494407565
ItemKNNCFRecommender,41,960,rp3beta,tfidf,0.004990280265582223
ItemKNNCFRecommender,76,373,rp3beta,tfidf,0.004906767600225265
ItemKNNCFRecommender,75,1380,rp3beta,tfidf,0.0050433180219677685
ItemKNNCFRecommender,76,1385,rp3beta,tfidf,0.005039518552042235
ItemKNNCFRecommender,91,1357,rp3beta,tfidf,0.005009831868559173
ItemKNNCFRecommender,126,1375,rp3beta,tfidf,0.004976384313079013
ItemKNNCFRecommender,198,1475,rp3beta,tfidf,0.0048909032416012
ItemKNNCFRecommender,71,1998,rp3beta,tfidf,0.005041533522726149
ItemKNNCFRecommender,17,1942,rp3beta,tfidf,0.0049499721310528565
ItemKNNCFRecommender,58,169,rp3beta,tfidf,0.004845609502688249
ItemKNNCFRecommender,96,493,rp3beta,tfidf,0.004965508179927158
ItemKNNCFRecommender,114,1146,rp3beta,tfidf,0.004985813817879299
ItemKNNCFRecommender,81,1497,rp3beta,tfidf,0.005016922248807642
ItemKNNCFRecommender,58,1946,rp3beta,tfidf,0.005035407582422478
ItemKNNCFRecommender,78,1132,rp3beta,tfidf,0.0050376096550781594
ItemKNNCFRecommender,95,1351,rp3beta,tfidf,0.005001870853737556
ItemKNNCFRecommender,63,1535,rp3beta,tfidf,0.005031129881632731
ItemKNNCFRecommender,128,1241,rp3beta,bm25plus,0.004906989445574688
ItemKNNCFRecommender,104,1813,rp3beta,tfidf,0.005013422143522974
ItemKNNCFRecommender,47,590,rp3beta,tfidf,0.004942630171878481
ItemKNNCFRecommender,146,978,rp3beta,bm25plus,0.004880052649028767
ItemKNNCFRecommender,28,1576,rp3beta,tfidf,0.005001775998795202
ItemKNNCFRecommender,74,1083,rp3beta,tfidf,0.005039336157000848
ItemKNNCFRecommender,83,1231,rp3beta,tfidf,0.005008693527000848
ItemKNNCFRecommender,70,1072,rp3beta,tfidf,0.005032901690671387
ItemKNNCFRecommender,50,718,rp3beta,tfidf,0.004989215970372181
ItemKNNCFRecommender,88,1255,rp3beta,bm25plus,0.004983367639138021
ItemKNNCFRecommender,103,1764,rp3beta,tfidf,0.005010096903676442
ItemKNNCFRecommender,71,1588,rp3beta,tfidf,0.005042163825944654
ItemKNNCFRecommender,65,1625,rp3beta,tfidf,0.005031169038548982
ItemKNNCFRecommender,33,1693,rp3beta,bm25plus,0.004995801074651553
ItemKNNCFRecommender,116,1413,rp3beta,tfidf,0.004992240340615225
ItemKNNCFRecommender,72,1297,rp3beta,tfidf,0.005040775229447866
ItemKNNCFRecommender,55,1864,rp3beta,tfidf,0.005030144976412688
ItemKNNCFRecommender,66,1995,rp3beta,tfidf,0.005037108993349852
ItemKNNCFRecommender,90,1324,rp3beta,tfidf,0.004999240475706477
ItemKNNCFRecommender,35,1619,rp3beta,tfidf,0.005020121360203174
ItemKNNCFRecommender,73,1445,rp3beta,tfidf,0.005054222446596159
ItemKNNCFRecommender,49,1462,rp3beta,bm25plus,0.005002758802159786
ItemKNNCFRecommender,84,1731,rp3beta,tfidf,0.005014328309977246
ItemKNNCFRecommender,14,1284,rp3beta,tfidf,0.004905935490021787
ItemKNNCFRecommender,70,974,rp3beta,tfidf,0.0050298377713978585
ItemKNNCFRecommender,73,1414,rp3beta,tfidf,0.005051133387356688
ItemKNNCFRecommender,97,1417,rp3beta,tfidf,0.004999081478293427
ItemKNNCFRecommender,57,1545,rp3beta,tfidf,0.005032859855755759
ItemKNNCFRecommender,73,1450,rp3beta,tfidf,0.005052864427771843
ItemKNNCFRecommender,79,1668,rp3beta,tfidf,0.005019511630323084
ItemKNNCFRecommender,41,1192,rp3beta,tfidf,0.005018967685936264
ItemKNNCFRecommender,62,1471,rp3beta,tfidf,0.005040009423960321
ItemKNNCFRecommender,88,1800,rp3beta,tfidf,0.005017237526444129
ItemKNNCFRecommender,99,1592,rp3beta,bm25plus,0.004958852588164565
ItemKNNCFRecommender,186,1854,rp3beta,tfidf,0.004912977703944548
ItemKNNCFRecommender,72,1331,rp3beta,tfidf,0.005041864224121825
ItemKNNCFRecommender,75,1407,rp3beta,tfidf,0.005041874463677953
ItemKNNCFRecommender,109,1404,rp3beta,tfidf,0.005001743436274102
ItemKNNCFRecommender,77,1518,rp3beta,tfidf,0.005030000836019966
ItemKNNCFRecommender,84,1450,rp3beta,tfidf,0.005017794098160913
ItemKNNCFRecommender,62,1350,rp3beta,tfidf,0.005046292753061127
ItemKNNCFRecommender,62,1371,rp3beta,tfidf,0.0050367912444588435
ItemKNNCFRecommender,49,1551,rp3beta,tfidf,0.00503819234237894
ItemKNNCFRecommender,54,1197,rp3beta,tfidf,0.005030688066533617
ItemKNNCFRecommender,68,1659,rp3beta,tfidf,0.005029517815008245
ItemKNNCFRecommender,76,1501,rp3beta,tfidf,0.005035461056780801
ItemKNNCFRecommender,44,1323,rp3beta,tfidf,0.005027861669549133
ItemKNNCFRecommender,62,1125,rp3beta,tfidf,0.005042901593166132
ItemKNNCFRecommender,60,1144,rp3beta,tfidf,0.005045530037949049
ItemKNNCFRecommender,61,891,rp3beta,tfidf,0.005000144367570218
ItemKNNCFRecommender,37,1041,rp3beta,tfidf,0.005002628213939102
ItemKNNCFRecommender,53,1127,rp3beta,bm25plus,0.004990834760166803
ItemKNNCFRecommender,93,1023,rp3beta,tfidf,0.0050049961385280695
ItemKNNCFRecommender,20,1150,rp3beta,tfidf,0.004938176690519193
ItemKNNCFRecommender,67,1271,rp3beta,tfidf,0.0050414780704705064
ItemKNNCFRecommender,58,1389,rp3beta,tfidf,0.0050477965789425564
ItemKNNCFRecommender,60,1227,rp3beta,tfidf,0.005040700873654135
ItemKNNCFRecommender,82,1443,rp3beta,tfidf,0.005023567027475123
ItemKNNCFRecommender,46,1102,rp3beta,tfidf,0.005018839523790112
ItemKNNCFRecommender,53,921,rp3beta,tfidf,0.005005523715289635
ItemKNNCFRecommender,65,1374,rp3beta,tfidf,0.005038756419630604
ItemKNNCFRecommender,58,1605,rp3beta,tfidf,0.005029557746066686
ItemKNNCFRecommender,148,1510,rp3beta,bm25plus,0.0049023509220904905
ItemKNNCFRecommender,71,237,rp3beta,tfidf,0.004853623566964597
ItemKNNCFRecommender,39,1305,rp3beta,tfidf,0.005023847464910494
ItemKNNCFRecommender,77,1418,rp3beta,tfidf,0.005036358438352421
ItemKNNCFRecommender,74,1369,rp3beta,tfidf,0.005039423534556392
ItemKNNCFRecommender,87,1563,rp3beta,tfidf,0.00500999216485192
ItemKNNCFRecommender,67,800,rp3beta,tfidf,0.004985673117340438
ItemKNNCFRecommender,58,1228,rp3beta,tfidf,0.0050362962674439914
ItemKNNCFRecommender,80,1473,rp3beta,tfidf,0.005020958184265495
ItemKNNCFRecommender,73,1193,rp3beta,tfidf,0.005043397100604759
ItemKNNCFRecommender,62,1159,rp3beta,tfidf,0.005046601286418446
ItemKNNCFRecommender,31,1165,rp3beta,tfidf,0.0049998912552243315
