recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,168,1913,rp3beta,bm25plus,0.03889505420323281
ItemKNNCFRecommender,49,1503,jaccard,bm25plus,0.04492516380439884
ItemKNNCFRecommender,44,381,jaccard,bm25plus,0.0446720620337312
ItemKNNCFRecommender,115,1243,jaccard,bm25,0.04609540138034953
ItemKNNCFRecommender,89,520,cosine,bm25,0.04552333973602731
ItemKNNCFRecommender,186,326,dice,bm25plus,0.04422852709000569
ItemKNNCFRecommender,80,686,rp3beta,bm25,0.040498245259636245
ItemKNNCFRecommender,73,1793,dice,tfidf,0.04361326324007058
ItemKNNCFRecommender,43,152,rp3beta,bm25,0.04288043937566033
ItemKNNCFRecommender,123,215,jaccard,bm25plus,0.04450457017052619
ItemKNNCFRecommender,158,1219,rp3beta,bm25,0.038230475778378195
ItemKNNCFRecommender,112,1410,asym,bm25plus,0.04420307326459424
ItemKNNCFRecommender,146,444,cosine,bm25,0.045601276622163976
ItemKNNCFRecommender,46,1571,dice,bm25plus,0.044541986350707434
ItemKNNCFRecommender,142,335,dice,bm25,0.04548617187262042
ItemKNNCFRecommender,121,1227,dice,bm25,0.04575635268694617
ItemKNNCFRecommender,182,985,dice,bm25,0.04582177449349156
ItemKNNCFRecommender,129,217,asym,tfidf,0.04366019397640184
ItemKNNCFRecommender,79,1267,dice,bm25,0.045753088498079526
ItemKNNCFRecommender,41,326,rp3beta,bm25,0.04269886636071787
ItemKNNCFRecommender,40,547,rp3beta,tfidf,0.043009518145575104
ItemKNNCFRecommender,32,381,asym,bm25,0.04556495182908365
ItemKNNCFRecommender,190,179,dice,bm25,0.04547019584355468
ItemKNNCFRecommender,19,659,cosine,bm25plus,0.044606095117613015
ItemKNNCFRecommender,77,1699,cosine,bm25,0.044982746688830406
ItemKNNCFRecommender,26,1136,jaccard,bm25,0.0460316558751141
ItemKNNCFRecommender,70,123,cosine,bm25plus,0.044283691491944756
ItemKNNCFRecommender,88,1660,asym,bm25,0.04493286400920221
ItemKNNCFRecommender,46,759,jaccard,bm25plus,0.044859973659949266
ItemKNNCFRecommender,192,806,asym,tfidf,0.04379339777200911
