recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.5081997048124581,0.8782069391127844,114,0.029800014468429347
RP3betaRecommender,0.38606722030703444,0.645932495346093,158,0.04520239685196286
RP3betaRecommender,0.8946595245089263,0.5077670960620593,187,0.04728039571124908
RP3betaRecommender,0.5190050075767394,0.2363093052235679,539,0.04247578211198511
RP3betaRecommender,0.33883422609362707,0.5395535533480634,546,0.0466795505697488
RP3betaRecommender,0.8650565818816073,0.48445807446690636,160,0.0476802899424065
RP3betaRecommender,0.2932905142589737,0.8561102825926198,620,0.029067195838540612
RP3betaRecommender,0.23608506280639077,0.6553683689264072,511,0.04393213767961579
RP3betaRecommender,0.49880717494884574,0.38882085785263576,424,0.04538634305899376
RP3betaRecommender,0.6229103690609364,0.45844864347702985,955,0.04535702489910378
RP3betaRecommender,0.877026939645921,0.16656933824902936,310,0.04349392984774556
RP3betaRecommender,0.898348976242469,0.30957374780808644,15,0.04483649640897166
RP3betaRecommender,0.7430418738321198,0.5933315417760824,281,0.047253643700957804
RP3betaRecommender,0.7604335267001625,0.7447199418961626,741,0.04319157684561817
RP3betaRecommender,0.10264061012170694,0.4292452442456959,259,0.047423366062461066
RP3betaRecommender,0.20188633691901542,0.3783629223201316,337,0.04616084438211224
RP3betaRecommender,0.6554375910084138,0.42857197163854466,26,0.04866251748603167
RP3betaRecommender,0.7348289205380671,0.3257593253525778,23,0.047503642878409635
RP3betaRecommender,0.6248923967744421,0.2292209685497381,86,0.049216775206188716
RP3betaRecommender,0.625251582628868,0.1379021835903243,6,0.027804203973395298
RP3betaRecommender,0.6357347881146094,0.25184376244002893,407,0.04330677466308041
RP3betaRecommender,0.7916639784854509,0.22401725420647522,115,0.04808235050857037
RP3betaRecommender,0.6987763352743284,0.1085940717797331,116,0.04811373597716595
RP3betaRecommender,0.6677375229947323,0.10418715783084646,91,0.0482336526462993
RP3betaRecommender,0.5592231289707623,0.19106911627692166,248,0.04545471705057569
RP3betaRecommender,0.4539640739278781,0.3051817380388029,77,0.04977254065732056
RP3betaRecommender,0.43978626262506626,0.3068609391881584,806,0.04271542519397751
RP3betaRecommender,0.5741117602526039,0.36860513097286574,220,0.04697612138666294
RP3betaRecommender,0.4464998484885214,0.27923125482513317,77,0.049732040135712675
RP3betaRecommender,0.45056781064040774,0.2448743892856088,383,0.04408817325759067
RP3betaRecommender,0.4271151258110262,0.29365619831265244,109,0.04883551624877613
RP3betaRecommender,0.4101861971011564,0.29409743180726305,90,0.04932869862015632
RP3betaRecommender,0.4067178372451985,0.17783357556888596,75,0.04890706803947434
RP3betaRecommender,0.3571171109609867,0.3454185189566989,179,0.0475938144606565
RP3betaRecommender,0.49215129427477594,0.259292632785351,197,0.0467425884774973
RP3betaRecommender,0.5866750026388852,0.20569446594999174,73,0.04954397146796363
RP3betaRecommender,0.5478831163221252,0.19071902130751098,135,0.04799808018773453
RP3betaRecommender,0.3093883724582457,0.2814787169981735,62,0.049594433676078985
RP3betaRecommender,0.28388971387968615,0.5486683595118322,173,0.047361193221980645
RP3betaRecommender,0.333183264205836,0.14980535802995668,56,0.0467362830773436
RP3betaRecommender,0.4899804976317436,0.4083750267382783,662,0.04471033043593719
RP3betaRecommender,0.37757425853078486,0.26843232384454685,155,0.04776026916881209
RP3betaRecommender,0.3007007330444843,0.34920132999299947,66,0.049749285275723115
RP3betaRecommender,0.2040441646732778,0.3464899526737008,43,0.049661455733303335
RP3betaRecommender,0.17393419560900397,0.34942781562293423,219,0.047167604098716516
RP3betaRecommender,0.28566952031836984,0.5072097937884569,48,0.04834378617667568
RP3betaRecommender,0.2351296234732659,0.4623157608410016,983,0.04552456649048958
RP3betaRecommender,0.13783482025987814,0.33796239251528715,149,0.047949839196295384
RP3betaRecommender,0.3186130767487989,0.2902258747388184,338,0.045127705067227096
RP3betaRecommender,0.2114642168910559,0.3894354696369095,44,0.04943802240223841
RP3betaRecommender,0.27214744114047096,0.4175953646845838,458,0.04590753131160589
RP3betaRecommender,0.5853553289348843,0.20537663550352703,72,0.049568739558379045
RP3betaRecommender,0.4647431186725243,0.8761743109468254,138,0.029493451101113455
RP3betaRecommender,0.5214695879363234,0.2680532560901283,15,0.04217713140459109
RP3betaRecommender,0.26263337846187684,0.21635211187755754,55,0.048348403202122414
RP3betaRecommender,0.3769652040632472,0.3311993354838795,279,0.04640470914533001
RP3betaRecommender,0.15322035076606555,0.723960665156407,880,0.03805430329938074
RP3betaRecommender,0.32166975180883084,0.451463733073702,201,0.04781027329178422
RP3betaRecommender,0.5307621877976921,0.3613158007592118,10,0.041704378044799116
RP3betaRecommender,0.18393782673610587,0.15284656630033974,124,0.04810015018735447
RP3betaRecommender,0.2493858103955195,0.31538120927060503,239,0.04668047361557873
RP3betaRecommender,0.5889384050664089,0.23326457141496398,80,0.049450090384971786
RP3betaRecommender,0.4657820121791212,0.21326016830584435,572,0.042153470422043426
RP3betaRecommender,0.21605030634176567,0.20316206468897838,62,0.04842662739119561
RP3betaRecommender,0.30655431961013985,0.2760131185917079,103,0.048930165911000634
RP3betaRecommender,0.5974161735171601,0.24206006897689658,37,0.048542971411335005
RP3betaRecommender,0.3508353721910053,0.12338892918574637,169,0.0474755716926398
RP3betaRecommender,0.11098706673646926,0.16919756084059112,100,0.048480337858717866
RP3betaRecommender,0.6790463518354539,0.3235575179423362,7,0.03775187036883038
RP3betaRecommender,0.40680403808869015,0.3876950953663944,66,0.04959267391124447
RP3betaRecommender,0.4125496465899218,0.3856303668777882,108,0.04882256019730102
