recommender,alpha,beta,MAP
RP3beta_ItemKNNCF,0.6242429538658373,0.6086412884375798,0.04866448552760227
RP3beta_ItemKNNCF,0.3395819503212071,0.5431324818390613,0.04798435801335401
RP3beta_ItemKNNCF,0.1042749639463102,0.044848666590458386,0.04965623405475261
RP3beta_ItemKNNCF,0.34202692153998826,0.6129899289497053,0.0478530610027852
RP3beta_ItemKNNCF,0.17056355229024478,0.4958637478260687,0.047357517417647405
RP3beta_ItemKNNCF,0.6588864102857503,0.7073323360244035,0.048515590026674764
RP3beta_ItemKNNCF,0.17373447179108636,0.04845447600526809,0.05009622750355628
RP3beta_ItemKNNCF,0.3898833248719261,0.8356131988085215,0.0476341176621245
RP3beta_ItemKNNCF,0.8848933101638699,0.7955637314505379,0.04879029272065499
RP3beta_ItemKNNCF,0.02397468664954383,0.4096463897092245,0.046420770431048315
RP3beta_ItemKNNCF,0.9168935708783315,0.08400275057434767,0.05044774578288653
RP3beta_ItemKNNCF,0.9041000735342548,0.017993561676235944,0.05016745284399602
RP3beta_ItemKNNCF,0.9839679678461792,0.24237538919482646,0.050187429111798985
RP3beta_ItemKNNCF,0.9980272864704748,0.24219136119749687,0.05021589562685128
RP3beta_ItemKNNCF,0.7608128375518826,0.25397768686089994,0.049923993317308346
RP3beta_ItemKNNCF,0.8002621001413003,0.22414870985292576,0.05008249540880009
RP3beta_ItemKNNCF,0.9991004944507182,0.3697549158169293,0.04987474304239484
RP3beta_ItemKNNCF,0.5882432800428161,0.13270086496594985,0.05027476245118393
RP3beta_ItemKNNCF,0.541622055175837,0.14008931970289754,0.05016655314821539
RP3beta_ItemKNNCF,0.4636005424316501,0.1356237260454368,0.0500415262076093
RP3beta_ItemKNNCF,0.7082266871507019,0.9855075952992381,0.04822056729720799
RP3beta_ItemKNNCF,0.8543642948553138,0.3285443273549491,0.04981585037682787
RP3beta_ItemKNNCF,0.9231148794854567,0.13420786562131348,0.05035667347361805
RP3beta_ItemKNNCF,0.563824355566227,0.1472856861599572,0.05015973567034329
RP3beta_ItemKNNCF,0.7789249185635738,0.11041895932450907,0.05031897723182236
RP3beta_ItemKNNCF,0.7743107841318994,0.0836181436081864,0.05044098496351531
RP3beta_ItemKNNCF,0.9095327373354822,0.0035269862372943606,0.049937572397262674
RP3beta_ItemKNNCF,0.697898051485742,0.33003605545408354,0.049579097098843526
RP3beta_ItemKNNCF,0.8288382019254401,0.19396822026574437,0.05025627999214934
RP3beta_ItemKNNCF,0.9294081094509125,0.451183067802679,0.04957304844737604
RP3beta_ItemKNNCF,0.7220686936740429,0.07551794456250592,0.05044460960145306
RP3beta_ItemKNNCF,0.7223091919447066,0.06762170684662543,0.05043595156839065
RP3beta_ItemKNNCF,0.7154751368982954,0.06259591768655061,0.05047242951389239
RP3beta_ItemKNNCF,0.6290530135176657,0.07846097690620273,0.05045881818343658
RP3beta_ItemKNNCF,0.6370921438106911,0.2966922291405682,0.04958875196534048
RP3beta_ItemKNNCF,0.514290401682824,0.17577148600049586,0.04989760498697817
RP3beta_ItemKNNCF,0.4307697656461502,0.004256197792325389,0.04998859061677111
RP3beta_ItemKNNCF,0.6311864364140582,0.5752456056956364,0.04877301669230472
RP3beta_ItemKNNCF,0.679441054897591,0.0715227268406448,0.050438785952020775
RP3beta_ItemKNNCF,0.5902248260406082,0.18863065611954466,0.049934340285967736
RP3beta_ItemKNNCF,0.7345044920716483,0.058966002312526286,0.05047734840731041
RP3beta_ItemKNNCF,0.8407923582135922,0.06748171735362882,0.050474470908026925
RP3beta_ItemKNNCF,0.8318580069330981,0.03797090726228648,0.0503587686167776
RP3beta_ItemKNNCF,0.861345828008685,0.08322594720779063,0.05044825754552868
RP3beta_ItemKNNCF,0.7514966316340124,0.050960607224874915,0.05042959187959858
RP3beta_ItemKNNCF,0.8661634050381085,5.1062295738257824e-05,0.049843980519435144
RP3beta_ItemKNNCF,0.8111894204792179,0.7191475270094719,0.04879238611595602
RP3beta_ItemKNNCF,0.21924999196471928,0.1919783210751425,0.04880768633990807
RP3beta_ItemKNNCF,0.6731615464222341,0.2689732736562865,0.04976631045808782
RP3beta_ItemKNNCF,0.6029917062939538,0.10068736269932951,0.05022599424568958
RP3beta_ItemKNNCF,0.952803865579998,0.041848294051192864,0.05034679236651024
RP3beta_ItemKNNCF,0.8802208620875134,0.09969242690192756,0.05041667666445344
RP3beta_ItemKNNCF,0.7435948684637622,0.16610292510799296,0.05026526070270345
RP3beta_ItemKNNCF,0.9513899497552785,0.2171044082428083,0.05025938202990752
RP3beta_ItemKNNCF,0.8152407013445739,0.04678670729502062,0.050433612646732295
RP3beta_ItemKNNCF,0.865261627427233,0.11279775660740679,0.050447520373877834
RP3beta_ItemKNNCF,0.7834638610766241,0.5094042038502286,0.04923412849613104
RP3beta_ItemKNNCF,0.6625095316415736,0.1538494130686885,0.05024187764912047
RP3beta_ItemKNNCF,0.9608368016902145,0.2228864782500985,0.05024195829235021
RP3beta_ItemKNNCF,0.8963068110711065,0.6344370497901597,0.04911179573473901
RP3beta_ItemKNNCF,0.5426924365805404,0.11890964448931805,0.05024559278954976
RP3beta_ItemKNNCF,0.867385289765568,0.0882509335400037,0.05044818033871276
RP3beta_ItemKNNCF,0.8442741205257431,0.029623345210503305,0.05027811153364117
RP3beta_ItemKNNCF,0.7963643851038897,0.08975444887760937,0.05041515346622107
RP3beta_ItemKNNCF,0.8931918019012883,0.978938536493156,0.04848300940133104
RP3beta_ItemKNNCF,0.7250644047177817,0.07233879039776381,0.05043985463914341
RP3beta_ItemKNNCF,0.763515829566265,0.13341185227758756,0.05021900242198957
RP3beta_ItemKNNCF,0.6973007851323011,0.026173425240643533,0.050290509844425256
RP3beta_ItemKNNCF,0.9348936065029021,0.15916613041820032,0.05022098658088878
RP3beta_ItemKNNCF,0.8490870069419895,0.2822878627216525,0.049931415055797235
RP3beta_ItemKNNCF,0.01885894257295484,0.06088805093448958,0.04721095447754956
RP3beta_ItemKNNCF,0.980060151314043,0.1050907142320243,0.05045405430709393
RP3beta_ItemKNNCF,0.9809937914493158,0.10719312026762648,0.05043315636512924
RP3beta_ItemKNNCF,0.9138922625781084,0.08227479189666544,0.05046301660153021
RP3beta_ItemKNNCF,0.9211158799510795,0.02955761686834211,0.050262668819611944
RP3beta_ItemKNNCF,0.9806876739679109,0.20751002434093513,0.05025707085125852
RP3beta_ItemKNNCF,0.812581467781201,0.08384361692657408,0.050442852131786314
RP3beta_ItemKNNCF,0.8812182939127896,0.12792525974847174,0.05035525128268326
RP3beta_ItemKNNCF,0.7405974001004626,0.17486127651648758,0.050251614100907116
RP3beta_ItemKNNCF,0.3570090422371629,0.059508409833624334,0.0502343215640991
RP3beta_ItemKNNCF,0.8428752228715841,0.00642495730442047,0.049978575339229454
RP3beta_ItemKNNCF,0.9179598128447107,0.08626068713327287,0.050432605786538486
RP3beta_ItemKNNCF,0.9948923240988615,0.14434413694384932,0.05035554254670802
RP3beta_ItemKNNCF,0.9441731445739249,0.41869577852959405,0.04965000822539234
RP3beta_ItemKNNCF,0.869461246155303,0.0544358854011248,0.050437050476579454
RP3beta_ItemKNNCF,0.9066831254699935,0.2497215008434283,0.050101959357597786
RP3beta_ItemKNNCF,0.6247105362155798,0.1150650151182708,0.05022757078506804
RP3beta_ItemKNNCF,0.9667444139255247,0.019207350710059648,0.05016902636525158
RP3beta_ItemKNNCF,0.7848673712214234,0.09422420655970595,0.05044458753434362
RP3beta_ItemKNNCF,0.4854442306411814,0.04527272291582526,0.05043682777378624
RP3beta_ItemKNNCF,0.6947855987869478,0.1550242292294593,0.05026310493633324
RP3beta_ItemKNNCF,0.8661405831609962,0.11858901475936019,0.05039131627726586
RP3beta_ItemKNNCF,0.8328093298786251,0.07269273912134687,0.05047227278155267
RP3beta_ItemKNNCF,0.8319325517563844,0.07232964131245803,0.05047048913610939
RP3beta_ItemKNNCF,0.8304463381733049,0.08344103428454673,0.05044528711187179
RP3beta_ItemKNNCF,0.7677418932514442,0.0635876966671112,0.05046322393982802
RP3beta_ItemKNNCF,0.6460774030689544,0.00085903783890659,0.049870952254686594
RP3beta_ItemKNNCF,0.803935162740516,0.0633970929950054,0.050480890768691965
RP3beta_ItemKNNCF,0.7546286622705722,0.035901844021514036,0.05038963467760438
RP3beta_ItemKNNCF,0.7947083508306966,0.05993979588840618,0.05044578313020671
RP3beta_ItemKNNCF,0.7126544636637173,0.17626389454109326,0.05018987649439127
RP3beta_ItemKNNCF,0.7701191302827515,0.06784351571346026,0.05045784180823063
RP3beta_ItemKNNCF,0.7340396327335542,0.02711195292710502,0.050278625244686015
RP3beta_ItemKNNCF,0.7744516336090562,0.06809810301174818,0.050462476826524716
RP3beta_ItemKNNCF,0.8186127299297147,0.05717199479706956,0.05041498482481297
RP3beta_ItemKNNCF,0.7698552395745135,0.13272289385500013,0.050210064301508976
RP3beta_ItemKNNCF,0.7710917182841854,0.06773013629316676,0.050466741671389204
RP3beta_ItemKNNCF,0.7950363746313158,0.0176573536249581,0.050200012506808056
RP3beta_ItemKNNCF,0.6755006917186418,0.9059032616190086,0.04825653998304278
RP3beta_ItemKNNCF,0.7508568098921332,0.04145815729780368,0.05041082211989097
RP3beta_ItemKNNCF,0.27197349356572065,0.10370009590688424,0.04981365998601944
RP3beta_ItemKNNCF,0.7711949110793096,0.06910571733862497,0.050467106971095806
RP3beta_ItemKNNCF,0.8057258984955389,0.07308048901172519,0.05045782104714855
RP3beta_ItemKNNCF,0.8310653070969448,0.1429509716144779,0.05021495545599186
RP3beta_ItemKNNCF,0.7108358753214705,0.019888175669685683,0.05025387573607507
RP3beta_ItemKNNCF,0.7316789234224186,0.11983284948932664,0.05024838114895599
RP3beta_ItemKNNCF,0.7823139422197602,0.07091198764040126,0.050460459172663306
RP3beta_ItemKNNCF,0.782810153250211,0.043841149117602014,0.05043590519196948
RP3beta_ItemKNNCF,0.8490884882883112,0.09792346664845561,0.05042366094261987
RP3beta_ItemKNNCF,0.7616480033890118,0.7297151341151698,0.04869141485295315
RP3beta_ItemKNNCF,0.8227013892825379,0.06737802997818758,0.050474060564182875
RP3beta_ItemKNNCF,0.09328388643913427,0.06673783125872115,0.04908409491026753
RP3beta_ItemKNNCF,0.8192948376206749,0.04461341150686332,0.05040272939749873
RP3beta_ItemKNNCF,0.8086705871734567,0.07710231567573451,0.050433489741633475
RP3beta_ItemKNNCF,0.8898510989162216,0.018588543618820397,0.05017108624069211
RP3beta_ItemKNNCF,0.8343753566955869,0.10060563641616316,0.05045500762650281
RP3beta_ItemKNNCF,0.7817318200255488,0.12781669394324105,0.050255058967005044
RP3beta_ItemKNNCF,0.7402355907189923,0.0011815139031264715,0.04986828934362411
RP3beta_ItemKNNCF,0.800490390691264,0.0531014456794365,0.05041341754306362
RP3beta_ItemKNNCF,0.6874731839835048,0.08390177227780088,0.050460086850286766
RP3beta_ItemKNNCF,0.7696918606314409,0.14901677448603778,0.050199882337299696
RP3beta_ItemKNNCF,0.8478821783794948,0.07060329419576059,0.050452841193261516
RP3beta_ItemKNNCF,0.7011606875101728,0.09060843693183905,0.05044982194224767
RP3beta_ItemKNNCF,0.6540783762478104,0.028547279897946733,0.050342662697516895
RP3beta_ItemKNNCF,0.6862301613848012,0.11140174911192263,0.05027137945185194
RP3beta_ItemKNNCF,0.7872097257026622,0.058941933933751745,0.05044308208088122
RP3beta_ItemKNNCF,0.7173726431643279,0.0846390291781759,0.05043428180400811
RP3beta_ItemKNNCF,0.8216176639078138,0.04027501713803774,0.0504000445066971
RP3beta_ItemKNNCF,0.7664095198809457,0.11663111566058676,0.05030196102007772
RP3beta_ItemKNNCF,0.7499018339236431,0.3399395899478803,0.04961586855238314
RP3beta_ItemKNNCF,0.8826063708845696,0.07131442993332986,0.05048195686548924
RP3beta_ItemKNNCF,0.8713620279995102,0.061654944116646154,0.05042894219141104
