recommender,alpha,betaMAP
RP3beta_ItemKNNCF,0.6507768481766214,0.4203523199186975,0.052427067736548504
RP3beta_ItemKNNCF,0.2858074469591352,0.7635711296359101,0.05267999079921154
RP3beta_ItemKNNCF,0.3920095580306193,0.6608387466770232,0.05276062357665776
RP3beta_ItemKNNCF,0.5996890581774306,0.11506529355519435,0.051429108508679044
RP3beta_ItemKNNCF,0.582297136830082,0.963078599209927,0.05277730235121681
RP3beta_ItemKNNCF,0.5184007970280475,0.6490236771550187,0.05280492124680258
RP3beta_ItemKNNCF,0.8707792337963022,0.37439078566914286,0.052231217862231276
RP3beta_ItemKNNCF,0.4792306967642781,0.03657900539919701,0.050901488166730215
RP3beta_ItemKNNCF,0.9880424499880672,0.8979319685370859,0.05264046886830288
RP3beta_ItemKNNCF,0.38793902440625927,0.18881289010059876,0.05227535184481802
RP3beta_ItemKNNCF,0.2965717191428008,0.9677879125605631,0.052677386240184976
RP3beta_ItemKNNCF,0.4562381442456882,0.19074147323241752,0.05220439720198015
RP3beta_ItemKNNCF,0.9748404737621598,0.1858192112262118,0.05142230146408703
RP3beta_ItemKNNCF,0.3223841494303915,0.22411203808683344,0.05244930143125929
RP3beta_ItemKNNCF,0.79752190194632,0.8743225098333051,0.052772066239365784
RP3beta_ItemKNNCF,0.7902334396334403,0.12711836969404833,0.051322053896433774
RP3beta_ItemKNNCF,0.3271342160104349,0.9765167418806918,0.0526598755221094
RP3beta_ItemKNNCF,0.07334364734041388,0.5776040581448403,0.05251217625081913
RP3beta_ItemKNNCF,0.43218979943504465,0.4463937464221823,0.05270243850269271
RP3beta_ItemKNNCF,0.8760032782164914,0.9143389311983411,0.05270945690461581
RP3beta_ItemKNNCF,0.7179902816352153,0.7800577289864692,0.05275938407609257
RP3beta_ItemKNNCF,0.039239538379244654,0.8329181221564238,0.05239833054200218
RP3beta_ItemKNNCF,0.6856463146714669,0.9504799707781397,0.052815634312818556
RP3beta_ItemKNNCF,0.32073088573956265,0.6735000484130858,0.05273968316865821
RP3beta_ItemKNNCF,0.3471502098646063,0.1414708885896656,0.05219939566894393
RP3beta_ItemKNNCF,0.5024276089248667,0.08516258461748427,0.05137583094781226
RP3beta_ItemKNNCF,0.3516850574596425,0.004565597899713558,0.05043888051881526
RP3beta_ItemKNNCF,0.03673538922892983,0.2864567936526019,0.05250834911661787
RP3beta_ItemKNNCF,0.6851724450619592,0.8484520981677967,0.052832503698565625
RP3beta_ItemKNNCF,0.9368749465767381,0.22605058187859484,0.051706251337139054
