recommender,alpha,beta,MAP
Slim_RP3beta_ItemKNNCF,0.6874423973817677,0.5471166320767433,0.05253605603573286
Slim_RP3beta_ItemKNNCF,0.22825027209698157,0.4202093358747324,0.05273633404228952
Slim_RP3beta_ItemKNNCF,0.0034792126082221486,0.6353988339739832,0.05225155414632818
Slim_RP3beta_ItemKNNCF,0.2284950870279222,0.557814556173865,0.05272111923026473
Slim_RP3beta_ItemKNNCF,0.5572551644545164,0.9162121341925331,0.05277167710929958
Slim_RP3beta_ItemKNNCF,0.5044618222973589,0.844684668542154,0.05275815302690523
Slim_RP3beta_ItemKNNCF,0.9739999484804767,0.6649612222917367,0.05243867370655003
Slim_RP3beta_ItemKNNCF,0.5427114468838513,0.3552924149140544,0.05242979264837499
Slim_RP3beta_ItemKNNCF,0.9097823924177867,0.31464821792139586,0.052009099061533365
Slim_RP3beta_ItemKNNCF,0.4704310339678911,0.6408286665708879,0.05281981404725115
Slim_RP3beta_ItemKNNCF,0.2568426458837355,0.008378731736814582,0.05058323912824295
Slim_RP3beta_ItemKNNCF,0.7089178200807854,0.9602914537224223,0.05280518786244643
Slim_RP3beta_ItemKNNCF,0.7729473105532182,0.9793371675292986,0.052795589258341546
Slim_RP3beta_ItemKNNCF,0.7244361241136599,0.7607562191885094,0.05272234179321661
Slim_RP3beta_ItemKNNCF,0.37832975505247995,0.20469859627782327,0.052272123292164685
Slim_RP3beta_ItemKNNCF,0.6485136776370793,0.7793556015165912,0.05282879756135036
Slim_RP3beta_ItemKNNCF,0.3719837626485915,0.7522170583801138,0.052728499916940424
Slim_RP3beta_ItemKNNCF,0.8449121425472497,0.7845198648936852,0.052670206718394424
Slim_RP3beta_ItemKNNCF,0.6069341274567129,0.6640384152917251,0.05276916934251999
Slim_RP3beta_ItemKNNCF,0.3913507313220096,0.4946011380691413,0.05279519781137824
Slim_RP3beta_ItemKNNCF,0.09146928270189114,0.8762911039056602,0.05248049085405392
Slim_RP3beta_ItemKNNCF,0.6383487209994146,0.8850085734353983,0.0528146066480839
Slim_RP3beta_ItemKNNCF,0.6399510503473653,0.8225216554320744,0.05279068873531909
Slim_RP3beta_ItemKNNCF,0.44344658960508015,0.7101214847826833,0.0527934014062511
Slim_RP3beta_ItemKNNCF,0.8116755707176783,0.6097227769334359,0.05251866964603172
Slim_RP3beta_ItemKNNCF,0.6316917391115205,0.8858503895321634,0.05283410527021098
Slim_RP3beta_ItemKNNCF,0.5056496197930457,0.7199734904459879,0.052849842393142686
Slim_RP3beta_ItemKNNCF,0.5774464597416382,0.9827205152419435,0.05275897379653131
Slim_RP3beta_ItemKNNCF,0.2961761323374337,0.8005529502284405,0.05268022037754857
Slim_RP3beta_ItemKNNCF,0.7186279173487689,0.5568132854656248,0.05251484339775614
Slim_RP3beta_ItemKNNCF,0.6598355091505349,0.7186828220987623,0.05276736887218462
Slim_RP3beta_ItemKNNCF,0.5093098074646144,0.6981443557751073,0.0528100814424734
Slim_RP3beta_ItemKNNCF,0.4608409180774614,0.5076491176167104,0.05279061070233327
Slim_RP3beta_ItemKNNCF,0.4304798934142866,0.6276720170264827,0.052830254257664334
Slim_RP3beta_ItemKNNCF,0.3151050269296823,0.589522422172096,0.0527197744611764
Slim_RP3beta_ItemKNNCF,0.5874397078477693,0.9238214200605839,0.05282182053265442
Slim_RP3beta_ItemKNNCF,0.10895976913626271,0.844616196421158,0.052510991868683694
Slim_RP3beta_ItemKNNCF,0.4194777802179906,0.44527445574951335,0.05273755253233725
Slim_RP3beta_ItemKNNCF,0.5188987361457311,0.7247642709759706,0.05283189562489212
Slim_RP3beta_ItemKNNCF,0.5159702704614508,0.5928244699056575,0.052810291193187094
Slim_RP3beta_ItemKNNCF,0.3334125367160614,0.6892557388858834,0.05272430717067245
Slim_RP3beta_ItemKNNCF,0.5550522379214355,0.7376051065959068,0.05278434362514255
Slim_RP3beta_ItemKNNCF,0.4913642581354921,0.8143398961005821,0.052780578469070465
Slim_RP3beta_ItemKNNCF,0.6717861727650392,0.8984906500691826,0.05278435700003995
Slim_RP3beta_ItemKNNCF,0.766525008335333,0.6518875482555582,0.05258757363257905
Slim_RP3beta_ItemKNNCF,0.6098457431102339,0.7757445445500066,0.052800144853873764
Slim_RP3beta_ItemKNNCF,0.5514821437709793,0.9324758524965723,0.052749570546508286
Slim_RP3beta_ItemKNNCF,0.4254085146484629,0.8580577324922117,0.05272569794904572
Slim_RP3beta_ItemKNNCF,0.19454394487618018,0.5094345275018066,0.05269035361765625
Slim_RP3beta_ItemKNNCF,0.5305404611049819,0.015055002531033146,0.05053883331405131
Slim_RP3beta_ItemKNNCF,0.8792415904166214,0.7542639164819946,0.05260001372492198
Slim_RP3beta_ItemKNNCF,0.6095654865074858,0.9404516417738061,0.05280896984386318
Slim_RP3beta_ItemKNNCF,0.5820789520697768,0.9068294838309693,0.052817663297655755
Slim_RP3beta_ItemKNNCF,0.6845760052330568,0.627933668157461,0.05264850873212278
Slim_RP3beta_ItemKNNCF,0.7589227148312256,0.8370997776971592,0.05279076266190119
Slim_RP3beta_ItemKNNCF,0.467136749501687,0.9918840710264955,0.0527239040233335
Slim_RP3beta_ItemKNNCF,0.49295067876443055,0.6785731432152062,0.0528103659672158
Slim_RP3beta_ItemKNNCF,0.3899971555664717,0.7852939726929998,0.05273053289319655
Slim_RP3beta_ItemKNNCF,0.6329864567938182,0.7333169121123042,0.05281324773542067
Slim_RP3beta_ItemKNNCF,0.5906055309026265,0.9274363476688534,0.05282634934308156
Slim_RP3beta_ItemKNNCF,0.34948255885761254,0.8718020816103924,0.05271896057388453
Slim_RP3beta_ItemKNNCF,0.5866065534459673,0.9309813589808437,0.05279875998136985
Slim_RP3beta_ItemKNNCF,0.5382184146125027,0.9547331300928071,0.05276658043047102
Slim_RP3beta_ItemKNNCF,0.7036188541533889,0.811469041096662,0.0528039196949197
Slim_RP3beta_ItemKNNCF,0.9980251760566888,0.9127968557360446,0.052643165028513746
Slim_RP3beta_ItemKNNCF,0.6393725443906444,0.8652481707657836,0.05279864712566515
Slim_RP3beta_ItemKNNCF,0.7320064844925702,0.7995088534269813,0.05276795575154617
Slim_RP3beta_ItemKNNCF,0.42494455687608146,0.7550646695575278,0.05275767380630068
Slim_RP3beta_ItemKNNCF,0.5741409895495598,0.7075263218428416,0.05283336949467401
Slim_RP3beta_ItemKNNCF,0.8018793708889286,0.6442378113668484,0.05254111211634945
Slim_RP3beta_ItemKNNCF,0.49881405227409187,0.7046417982526771,0.05284467628752817
Slim_RP3beta_ItemKNNCF,0.5009555077848951,0.7105240025848177,0.05285116815081825
Slim_RP3beta_ItemKNNCF,0.4786852337026555,0.7091261600186518,0.052830955204597296
Slim_RP3beta_ItemKNNCF,0.4819466975630233,0.6896162507676498,0.052848366862419914
