recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,197,316,asym,tfidf,0.04368611965071939
ItemKNNCFRecommender,75,173,dice,bm25,0.04542630531624201
ItemKNNCFRecommender,200,1553,dice,bm25,0.04576843101558937
ItemKNNCFRecommender,178,1277,asym,bm25,0.04492522796180565
ItemKNNCFRecommender,116,1038,asym,bm25,0.045100642965292835
ItemKNNCFRecommender,25,1781,jaccard,bm25,0.04607637061027747
ItemKNNCFRecommender,22,1482,asym,tfidf,0.04357540128173434
ItemKNNCFRecommender,191,1872,jaccard,bm25,0.046115545615496634
ItemKNNCFRecommender,73,466,cosine,tfidf,0.04377580473437128
ItemKNNCFRecommender,197,980,asym,tfidf,0.04370982484082264
ItemKNNCFRecommender,146,1946,jaccard,bm25plus,0.04497524111741715
ItemKNNCFRecommender,12,2000,jaccard,bm25,0.04609930894093931
ItemKNNCFRecommender,63,1925,jaccard,bm25plus,0.044948492195869376
ItemKNNCFRecommender,139,718,rp3beta,bm25,0.03855956282918557
ItemKNNCFRecommender,112,1534,jaccard,bm25,0.04618212838169677
ItemKNNCFRecommender,161,1598,jaccard,bm25,0.04615810977399446
ItemKNNCFRecommender,163,1539,rp3beta,bm25plus,0.03894074083191368
ItemKNNCFRecommender,111,1335,cosine,bm25,0.044914669366913886
ItemKNNCFRecommender,134,1713,jaccard,bm25,0.04607010467433281
ItemKNNCFRecommender,161,847,jaccard,bm25plus,0.04490766626203455
ItemKNNCFRecommender,103,1239,jaccard,bm25,0.046088988279338154
ItemKNNCFRecommender,180,1735,jaccard,bm25,0.04604569392161029
ItemKNNCFRecommender,165,1680,jaccard,bm25,0.046083266325753824
ItemKNNCFRecommender,96,1405,jaccard,bm25,0.04612623314494257
ItemKNNCFRecommender,92,1401,jaccard,bm25,0.04613976614001183
ItemKNNCFRecommender,88,1257,rp3beta,bm25,0.04030453761834827
ItemKNNCFRecommender,47,1161,cosine,bm25,0.045095217228225314
ItemKNNCFRecommender,123,1578,dice,bm25,0.04578661863022813
ItemKNNCFRecommender,51,1415,jaccard,tfidf,0.04384711250664195
ItemKNNCFRecommender,129,1122,jaccard,bm25plus,0.04481123874208248
ItemKNNCFRecommender,149,1638,jaccard,tfidf,0.04383070652340284
ItemKNNCFRecommender,97,1430,jaccard,bm25,0.04613791415651602
ItemKNNCFRecommender,87,1379,jaccard,bm25,0.04614555987077873
ItemKNNCFRecommender,118,1802,dice,bm25,0.04573306646092042
ItemKNNCFRecommender,82,1563,jaccard,bm25,0.0461526138410108
ItemKNNCFRecommender,80,1618,dice,bm25,0.045751394968525615
ItemKNNCFRecommender,63,1480,jaccard,bm25,0.04616517340113332
ItemKNNCFRecommender,44,158,asym,bm25,0.045568212128840595
ItemKNNCFRecommender,65,1552,jaccard,bm25,0.04617466620389212
ItemKNNCFRecommender,62,1811,cosine,bm25,0.045005195330749925
ItemKNNCFRecommender,32,954,rp3beta,tfidf,0.04321101751589246
ItemKNNCFRecommender,68,1504,jaccard,bm25,0.04615252773510086
ItemKNNCFRecommender,80,1582,jaccard,bm25,0.04615312425461945
ItemKNNCFRecommender,60,1858,jaccard,bm25,0.046108300348242454
ItemKNNCFRecommender,38,1481,jaccard,bm25,0.04615493767114928
ItemKNNCFRecommender,32,1176,asym,bm25,0.04507904181020007
ItemKNNCFRecommender,12,1304,jaccard,bm25,0.04609276697554159
ItemKNNCFRecommender,42,401,jaccard,bm25plus,0.04466813258439417
ItemKNNCFRecommender,52,1482,jaccard,bm25,0.04615093626038258
ItemKNNCFRecommender,23,1700,dice,tfidf,0.04363680910117095
